Date,Year,Month,Month Name,Quarter,Season,Pollutant,Station,Concentration
2015-01-01,2015,1,January,Q1,Winter,O3,Aylesford,33.3875
2015-01-01,2015,1,January,Q1,Winter,O3,Pictou,21.4125
2015-01-01,2015,1,January,Q1,Winter,O3,Port Hawkesbury,28.4125
2015-01-01,2015,1,January,Q1,Winter,NO2,Sydney,4.75
2015-01-02,2015,1,January,Q1,Winter,O3,Aylesford,33.4875
2015-01-02,2015,1,January,Q1,Winter,O3,Pictou,23.00416667
2015-01-02,2015,1,January,Q1,Winter,O3,Port Hawkesbury,23.59583333
2015-01-02,2015,1,January,Q1,Winter,NO2,Sydney,5.388888889
2015-01-03,2015,1,January,Q1,Winter,O3,Aylesford,36
2015-01-03,2015,1,January,Q1,Winter,O3,Pictou,28.04166667
2015-01-03,2015,1,January,Q1,Winter,O3,Port Hawkesbury,34.31666667
2015-01-03,2015,1,January,Q1,Winter,NO2,Sydney,0.763888889
2015-01-04,2015,1,January,Q1,Winter,O3,Aylesford,34.1875
2015-01-04,2015,1,January,Q1,Winter,O3,Pictou,26.57083333
2015-01-04,2015,1,January,Q1,Winter,O3,Port Hawkesbury,32.97083333
2015-01-04,2015,1,January,Q1,Winter,NO2,Sydney,4.375
2015-01-05,2015,1,January,Q1,Winter,O3,Aylesford,28.74583333
2015-01-05,2015,1,January,Q1,Winter,O3,Pictou,26.8
2015-01-05,2015,1,January,Q1,Winter,O3,Port Hawkesbury,26.8625
2015-01-05,2015,1,January,Q1,Winter,NO2,Sydney,4.027777778
2015-01-06,2015,1,January,Q1,Winter,O3,Aylesford,39.12083333
2015-01-06,2015,1,January,Q1,Winter,O3,Pictou,32.49583333
2015-01-06,2015,1,January,Q1,Winter,O3,Port Hawkesbury,34.4625
2015-01-06,2015,1,January,Q1,Winter,NO2,Sydney,2.375
2015-01-07,2015,1,January,Q1,Winter,O3,Aylesford,36.31666667
2015-01-07,2015,1,January,Q1,Winter,O3,Pictou,23.9
2015-01-07,2015,1,January,Q1,Winter,O3,Port Hawkesbury,29.80833333
2015-01-07,2015,1,January,Q1,Winter,NO2,Sydney,10.31944444
2015-01-08,2015,1,January,Q1,Winter,O3,Aylesford,34.35555556
2015-01-08,2015,1,January,Q1,Winter,O3,Pictou,26.025
2015-01-08,2015,1,January,Q1,Winter,O3,Port Hawkesbury,31.65833333
2015-01-08,2015,1,January,Q1,Winter,NO2,Sydney,5.222222222
2015-01-09,2015,1,January,Q1,Winter,O3,Aylesford,36.04166667
2015-01-09,2015,1,January,Q1,Winter,O3,Pictou,30.17083333
2015-01-09,2015,1,January,Q1,Winter,O3,Port Hawkesbury,32.14583333
2015-01-09,2015,1,January,Q1,Winter,NO2,Sydney,4.083333333
2015-01-10,2015,1,January,Q1,Winter,O3,Aylesford,34.56666667
2015-01-10,2015,1,January,Q1,Winter,O3,Pictou,19.99166667
2015-01-10,2015,1,January,Q1,Winter,O3,Port Hawkesbury,25.77916667
2015-01-10,2015,1,January,Q1,Winter,NO2,Sydney,6.166666667
2015-01-11,2015,1,January,Q1,Winter,O3,Aylesford,36.19583333
2015-01-11,2015,1,January,Q1,Winter,O3,Pictou,23.01666667
2015-01-11,2015,1,January,Q1,Winter,O3,Port Hawkesbury,28.02083333
2015-01-11,2015,1,January,Q1,Winter,NO2,Sydney,5.527777778
2015-01-12,2015,1,January,Q1,Winter,O3,Aylesford,34.90833333
2015-01-12,2015,1,January,Q1,Winter,O3,Pictou,22.45416667
2015-01-12,2015,1,January,Q1,Winter,O3,Port Hawkesbury,32.64166667
2015-01-12,2015,1,January,Q1,Winter,NO2,Sydney,6.083333333
2015-01-13,2015,1,January,Q1,Winter,O3,Aylesford,34.64583333
2015-01-13,2015,1,January,Q1,Winter,O3,Pictou,27.03333333
2015-01-13,2015,1,January,Q1,Winter,O3,Port Hawkesbury,33.5
2015-01-13,2015,1,January,Q1,Winter,NO2,Sydney,1.013888889
2015-01-14,2015,1,January,Q1,Winter,O3,Aylesford,35.50416667
2015-01-14,2015,1,January,Q1,Winter,O3,Pictou,19.15
2015-01-14,2015,1,January,Q1,Winter,O3,Port Hawkesbury,25.32083333
2015-01-14,2015,1,January,Q1,Winter,NO2,Sydney,9.055555556
2015-01-15,2015,1,January,Q1,Winter,O3,Aylesford,35.91666667
2015-01-15,2015,1,January,Q1,Winter,O3,Pictou,17.21666667
2015-01-15,2015,1,January,Q1,Winter,O3,Port Hawkesbury,25.75416667
2015-01-15,2015,1,January,Q1,Winter,NO2,Sydney,7.375
2015-01-16,2015,1,January,Q1,Winter,O3,Aylesford,34.2375
2015-01-16,2015,1,January,Q1,Winter,O3,Pictou,25.6375
2015-01-16,2015,1,January,Q1,Winter,O3,Port Hawkesbury,31.46666667
2015-01-16,2015,1,January,Q1,Winter,NO2,Sydney,6.541666667
2015-01-17,2015,1,January,Q1,Winter,O3,Aylesford,35.38333333
2015-01-17,2015,1,January,Q1,Winter,O3,Pictou,27.99166667
2015-01-17,2015,1,January,Q1,Winter,O3,Port Hawkesbury,31.40833333
2015-01-17,2015,1,January,Q1,Winter,NO2,Sydney,2.097222222
2015-01-18,2015,1,January,Q1,Winter,O3,Aylesford,39.00833333
2015-01-18,2015,1,January,Q1,Winter,O3,Pictou,28.725
2015-01-18,2015,1,January,Q1,Winter,O3,Port Hawkesbury,29.5375
2015-01-18,2015,1,January,Q1,Winter,NO2,Sydney,3.638888889
2015-01-19,2015,1,January,Q1,Winter,O3,Aylesford,42.05416667
2015-01-19,2015,1,January,Q1,Winter,O3,Pictou,30.53333333
2015-01-19,2015,1,January,Q1,Winter,O3,Port Hawkesbury,37.625
2015-01-19,2015,1,January,Q1,Winter,NO2,Sydney,1.583333333
2015-01-20,2015,1,January,Q1,Winter,O3,Aylesford,32.79583333
2015-01-20,2015,1,January,Q1,Winter,O3,Pictou,28.89583333
2015-01-20,2015,1,January,Q1,Winter,O3,Port Hawkesbury,30.53333333
2015-01-20,2015,1,January,Q1,Winter,NO2,Sydney,3.072463768
2015-01-21,2015,1,January,Q1,Winter,O3,Aylesford,36.04583333
2015-01-21,2015,1,January,Q1,Winter,O3,Pictou,25.65833333
2015-01-21,2015,1,January,Q1,Winter,O3,Port Hawkesbury,32.13333333
2015-01-21,2015,1,January,Q1,Winter,NO2,Sydney,3.183333333
2015-01-22,2015,1,January,Q1,Winter,O3,Aylesford,34.47916667
2015-01-22,2015,1,January,Q1,Winter,O3,Pictou,17.90416667
2015-01-22,2015,1,January,Q1,Winter,O3,Port Hawkesbury,30.375
2015-01-22,2015,1,January,Q1,Winter,NO2,Sydney,8.305555556
2015-01-23,2015,1,January,Q1,Winter,O3,Aylesford,37.04166667
2015-01-23,2015,1,January,Q1,Winter,O3,Pictou,27.10833333
2015-01-23,2015,1,January,Q1,Winter,O3,Port Hawkesbury,34.29375
2015-01-23,2015,1,January,Q1,Winter,NO2,Sydney,3.194444444
2015-01-24,2015,1,January,Q1,Winter,O3,Aylesford,35.46666667
2015-01-24,2015,1,January,Q1,Winter,O3,Pictou,28.43333333
2015-01-24,2015,1,January,Q1,Winter,O3,Port Hawkesbury,31.89166667
2015-01-24,2015,1,January,Q1,Winter,NO2,Sydney,5.138888889
2015-01-25,2015,1,January,Q1,Winter,O3,Aylesford,34.82916667
2015-01-25,2015,1,January,Q1,Winter,O3,Pictou,32.64583333
2015-01-25,2015,1,January,Q1,Winter,O3,Port Hawkesbury,31.825
2015-01-25,2015,1,January,Q1,Winter,NO2,Sydney,1.916666667
2015-01-26,2015,1,January,Q1,Winter,O3,Aylesford,40.0125
2015-01-26,2015,1,January,Q1,Winter,O3,Pictou,28.125
2015-01-26,2015,1,January,Q1,Winter,O3,Port Hawkesbury,31.35833333
2015-01-26,2015,1,January,Q1,Winter,NO2,Sydney,3.555555556
2015-01-27,2015,1,January,Q1,Winter,O3,Aylesford,39.22916667
2015-01-27,2015,1,January,Q1,Winter,O3,Pictou,33.42083333
2015-01-27,2015,1,January,Q1,Winter,O3,Port Hawkesbury,33.68333333
2015-01-27,2015,1,January,Q1,Winter,NO2,Sydney,3.25
2015-01-28,2015,1,January,Q1,Winter,O3,Aylesford,38.3625
2015-01-28,2015,1,January,Q1,Winter,O3,Pictou,26.00416667
2015-01-28,2015,1,January,Q1,Winter,O3,Port Hawkesbury,24.0375
2015-01-28,2015,1,January,Q1,Winter,NO2,Sydney,13.05555556
2015-01-29,2015,1,January,Q1,Winter,O3,Aylesford,39.43333333
2015-01-29,2015,1,January,Q1,Winter,O3,Pictou,25.145
2015-01-29,2015,1,January,Q1,Winter,O3,Port Hawkesbury,34.30416667
2015-01-29,2015,1,January,Q1,Winter,NO2,Sydney,2.194444444
2015-01-30,2015,1,January,Q1,Winter,O3,Aylesford,36.875
2015-01-30,2015,1,January,Q1,Winter,O3,Pictou,22.875
