Longitude (x),Latitude (y),Station Name,Climate ID
-64.51,44.83,AALDERSVILLE,8204020
-54.0,47.31,ARGENTIA (AUT),8400104
-67.72,46.71,AROOSTOOK,8100300
-65.47,43.45,BACCARO PT,8200255
-56.07,48.97,BADGER (AUT),8400301
-64.87,47.8,BAS CARAQUET,8100468
-64.83,47.8,BAS CARAQUET,8100467
-65.74,47.63,BATHURST A,8100506
-62.33,44.82,BEAVER ISLAND (AUT),8200558
-63.63,44.71,BEDFORD BASIN,8200573
-63.66,44.75,BEDFORD RANGE,8200574
-57.92,49.62,BERRY HILL,8400506
-53.11,48.67,BONAVISTA,8400601
-66.35,44.29,BRIER ISLAND,8200604
-57.62,47.62,BURGEO NL,8400801
-57.33,48.17,BURNT POND,8400812
-53.08,46.66,CAPE RACE (AUT),8401000
-62.68,45.77,CARIBOU POINT (AUT),8200774
-57.04,53.68,CARTWRIGHT A,8501106
-66.33,47.99,CHARLO AUTO,8100885
-63.12,46.29,CHARLOTTETOWN A,8300301
-60.95,46.65,CHETICAMP HIGHLANDS NATIONAL PARK,8200828
-64.09,53.56,CHURCHILL FALLS,8501136
-64.11,53.56,CHURCHILL FALLS A,8501131
-62.01,45.49,COLLEGEVILLE AUTO,8201001
-57.39,49.32,CORMACK RCS,8401295
-57.95,48.95,CORNER BROOK,8401300
-57.92,48.93,CORNER BROOK,8401298
-57.58,50.24,DANIEL'S HARBOUR,8401405
-63.47,45.42,DEBERT,8201390
-57.43,49.17,DEER LAKE,8401500
-57.39,49.21,DEER LAKE A,8401502
-66.01,46.59,DOAKTOWN AUTO RCS,8101201
-61.99,46.46,EAST POINT (AUT),8300418
-68.32,47.42,EDMUNDSTON,8101303
-56.11,50.72,ENGLEE (AUT),8401538
-60.65,45.92,ESKASONI FIRST NATION AUTOMATIC WEATHER STATION,8201780
-57.1,51.02,FEROLLE POINT (AUT),8401565
-66.61,45.92,FREDERICTON CDA CS,8101605
-66.54,45.87,FREDERICTON INTL A,8101505
