year,month,total_precip_mm,date
1940,3,80.8,1940-03-01
1940,4,139.7,1940-04-01
1940,5,56.4,1940-05-01
1940,6,85.9,1940-06-01
1940,7,59.4,1940-07-01
1940,8,10.2,1940-08-01
1940,9,181.1,1940-09-01
1940,10,43.4,1940-10-01
1940,12,177.8,1940-12-01
1941,1,147.1,1941-01-01
1941,2,51.8,1941-02-01
1941,3,101.6,1941-03-01
1941,4,27.7,1941-04-01
1941,5,104.1,1941-05-01
1941,6,54.1,1941-06-01
1941,7,97.5,1941-07-01
1941,8,121.9,1941-08-01
1941,9,35.3,1941-09-01
1941,10,113.5,1941-10-01
1941,11,111.3,1941-11-01
1941,12,94.5,1941-12-01
1942,1,164.8,1942-01-01
1942,2,68.3,1942-02-01
1942,3,181.1,1942-03-01
1942,4,69.6,1942-04-01
1942,5,83.8,1942-05-01
1942,6,100.3,1942-06-01
1942,7,40.1,1942-07-01
1942,8,52.6,1942-08-01
1942,9,100.1,1942-09-01
1942,10,151.4,1942-10-01
1942,11,103.4,1942-11-01
1942,12,129.3,1942-12-01
1943,1,100.6,1943-01-01
1943,2,172.7,1943-02-01
1943,3,84.1,1943-03-01
1943,4,79.0,1943-04-01
1943,5,127.3,1943-05-01
1943,6,128.0,1943-06-01
1943,7,133.1,1943-07-01
1943,8,89.9,1943-08-01
1943,9,75.7,1943-09-01
1943,10,95.3,1943-10-01
1943,11,185.9,1943-11-01
1943,12,95.3,1943-12-01
1944,1,39.9,1944-01-01
1944,2,150.4,1944-02-01
1944,3,132.3,1944-03-01
1944,4,128.5,1944-04-01
1944,5,17.3,1944-05-01
1944,6,128.3,1944-06-01
1944,7,75.2,1944-07-01
1944,8,25.1,1944-08-01
1944,9,125.5,1944-09-01
1944,10,157.2,1944-10-01
1944,11,120.4,1944-11-01
1944,12,93.7,1944-12-01
1945,1,179.8,1945-01-01
1945,2,110.7,1945-02-01
1945,3,93.7,1945-03-01
1945,4,69.1,1945-04-01
1945,5,217.2,1945-05-01
1945,6,172.5,1945-06-01
1945,7,35.6,1945-07-01
1945,8,73.2,1945-08-01
1945,9,34.0,1945-09-01
1945,10,135.1,1945-10-01
1945,11,169.4,1945-11-01
1945,12,136.1,1945-12-01
1946,1,104.9,1946-01-01
1946,2,184.7,1946-02-01
1946,3,50.5,1946-03-01
1946,4,171.5,1946-04-01
1946,5,126.2,1946-05-01
1946,6,77.0,1946-06-01
1946,7,42.2,1946-07-01
1946,8,93.7,1946-08-01
1946,9,116.6,1946-09-01
1946,10,50.0,1946-10-01
1946,11,52.6,1946-11-01
1946,12,177.0,1946-12-01
1947,1,122.7,1947-01-01
1947,2,62.5,1947-02-01
1947,3,145.5,1947-03-01
1947,4,144.5,1947-04-01
1947,5,151.6,1947-05-01
1947,6,144.8,1947-06-01
1947,7,56.1,1947-07-01
1947,8,5.6,1947-08-01
1947,9,101.9,1947-09-01
1947,10,22.9,1947-10-01
1947,11,112.3,1947-11-01
1947,12,103.4,1947-12-01
1948,1,249.9,1948-01-01
1948,2,111.0,1948-02-01
1948,3,144.5,1948-03-01
1948,4,117.9,1948-04-01
1948,5,245.9,1948-05-01
1948,6,136.7,1948-06-01
1948,7,54.9,1948-07-01
1948,8,26.2,1948-08-01
1948,9,21.1,1948-09-01
1948,10,156.0,1948-10-01
1948,11,190.0,1948-11-01
1948,12,101.3,1948-12-01
1949,1,138.7,1949-01-01
1949,2,85.3,1949-02-01
1949,3,83.6,1949-03-01
1949,4,116.8,1949-04-01
1949,5,76.5,1949-05-01
1949,6,50.0,1949-06-01
1949,7,27.2,1949-07-01
1949,8,60.5,1949-08-01
1949,9,132.3,1949-09-01
1949,10,52.8,1949-10-01
1949,11,135.9,1949-11-01
1949,12,143.8,1949-12-01
1950,1,197.6,1950-01-01
1950,2,91.2,1950-02-01
1950,3,113.5,1950-03-01
1950,4,105.4,1950-04-01
1950,5,51.8,1950-05-01
1950,6,88.4,1950-06-01
1950,7,79.8,1950-07-01
1950,8,112.8,1950-08-01
1950,9,91.9,1950-09-01
1950,10,50.3,1950-10-01
1950,11,291.8,1950-11-01
1950,12,204.5,1950-12-01
1951,1,137.2,1951-01-01
1951,2,86.6,1951-02-01
1951,3,65.5,1951-03-01
1951,4,90.2,1951-04-01
1951,5,135.4,1951-05-01
1951,6,26.4,1951-06-01
1951,7,105.4,1951-07-01
1951,8,131.8,1951-08-01
1951,9,96.5,1951-09-01
1951,10,65.5,1951-10-01
1951,11,192.5,1951-11-01
1951,12,164.8,1951-12-01
1952,1,268.0,1952-01-01
1952,2,129.8,1952-02-01
1952,3,64.5,1952-03-01
1952,4,49.3,1952-04-01
1952,5,102.4,1952-05-01
1952,6,118.6,1952-06-01
1952,7,24.6,1952-07-01
1952,8,259.8,1952-08-01
1952,9,51.1,1952-09-01
1952,10,101.6,1952-10-01
1952,11,38.4,1952-11-01
1952,12,98.3,1952-12-01
1953,1,149.4,1953-01-01
1953,2,196.1,1953-02-01
1953,3,261.6,1953-03-01
1953,4,88.4,1953-04-01
1953,5,87.4,1953-05-01
1953,6,22.9,1953-06-01
1953,7,148.6,1953-07-01
1953,8,127.8,1953-08-01
1953,9,133.1,1953-09-01
1953,10,92.2,1953-10-01
1953,11,35.3,1953-11-01
1953,12,148.1,1953-12-01
1954,1,155.7,1954-01-01
1954,2,136.1,1954-02-01
1954,3,103.4,1954-03-01
1954,4,86.1,1954-04-01
1954,5,89.2,1954-05-01
1954,6,128.5,1954-06-01
1954,7,82.0,1954-07-01
1954,8,93.0,1954-08-01
1954,9,71.9,1954-09-01
1954,10,169.9,1954-10-01
1954,11,150.1,1954-11-01
1954,12,144.3,1954-12-01
1955,1,61.0,1955-01-01
1955,2,69.3,1955-02-01
1955,3,138.9,1955-03-01
1955,4,74.4,1955-04-01
1955,5,41.7,1955-05-01
1955,6,48.8,1955-06-01
1955,7,107.7,1955-07-01
1955,8,133.1,1955-08-01
1955,9,137.2,1955-09-01
1955,10,79.0,1955-10-01
1955,11,141.2,1955-11-01
1955,12,74.2,1955-12-01
1956,1,312.2,1956-01-01
1956,2,159.0,1956-02-01
1956,3,158.2,1956-03-01
1956,4,88.4,1956-04-01
1956,5,136.1,1956-05-01
1956,6,34.8,1956-06-01
1956,7,59.9,1956-07-01
1956,8,134.9,1956-08-01
1956,9,60.7,1956-09-01
1956,10,66.8,1956-10-01
1956,11,110.5,1956-11-01
1956,12,106.2,1956-12-01
1957,1,184.2,1957-01-01
1957,2,57.7,1957-02-01
1957,3,64.3,1957-03-01
1957,4,122.7,1957-04-01
1957,5,85.6,1957-05-01
1957,6,23.4,1957-06-01
1957,7,84.3,1957-07-01
1957,8,52.8,1957-08-01
1957,9,65.8,1957-09-01
1957,10,79.2,1957-10-01
1957,11,176.5,1957-11-01
1957,12,89.7,1957-12-01
1958,1,208.3,1958-01-01
1958,2,127.0,1958-02-01
1958,3,32.3,1958-03-01
1958,4,151.1,1958-04-01
1958,5,144.8,1958-05-01
1958,6,87.4,1958-06-01
1958,7,60.7,1958-07-01
1958,8,181.4,1958-08-01
1958,9,141.7,1958-09-01
1958,10,89.4,1958-10-01
1958,11,136.4,1958-11-01
1958,12,102.6,1958-12-01
1959,1,172.5,1959-01-01
1959,2,121.7,1959-02-01
1959,3,113.5,1959-03-01
1959,4,101.1,1959-04-01
1959,5,30.0,1959-05-01
1959,6,218.9,1959-06-01
1959,7,106.7,1959-07-01
1959,8,34.8,1959-08-01
1959,9,82.0,1959-09-01
1959,10,381.5,1959-10-01
1959,11,248.7,1959-11-01
1959,12,121.4,1959-12-01
1960,1,85.3,1960-01-01
1960,2,193.8,1960-02-01
1960,3,101.3,1960-03-01
1960,4,76.7,1960-04-01
1960,5,124.5,1960-05-01
1960,6,80.5,1960-06-01
1960,7,47.5,1960-07-01
1960,8,24.9,1960-08-01
1960,9,48.8,1960-09-01
1960,10,94.5,1960-10-01
1960,11,69.6,1960-11-01
1960,12,125.7,1960-12-01
1961,1,90.4,1961-01-01
1961,2,86.4,1961-02-01
1961,3,85.9,1961-03-01
1961,4,105.2,1961-04-01
1961,5,103.1,1961-05-01
1961,6,54.4,1961-06-01
1961,7,118.1,1961-07-01
1961,8,44.7,1961-08-01
1961,9,54.1,1961-09-01
1961,10,179.6,1961-10-01
1961,11,152.1,1961-11-01
1961,12,84.3,1961-12-01
1962,1,98.6,1962-01-01
1962,2,102.4,1962-02-01
1962,3,25.7,1962-03-01
1962,4,182.9,1962-04-01
1962,5,28.2,1962-05-01
1962,6,78.0,1962-06-01
1962,7,52.1,1962-07-01
1962,8,107.4,1962-08-01
1962,9,159.0,1962-09-01
1962,10,75.9,1962-10-01
1962,11,197.6,1962-11-01
1962,12,133.4,1962-12-01
1963,1,127.5,1963-01-01
1963,2,143.3,1963-02-01
1963,3,122.4,1963-03-01
1963,4,126.2,1963-04-01
1963,5,121.9,1963-05-01
1963,6,47.5,1963-06-01
1963,7,40.4,1963-07-01
1963,8,143.8,1963-08-01
1963,9,81.3,1963-09-01
1963,10,67.8,1963-10-01
1963,11,238.3,1963-11-01
1963,12,152.9,1963-12-01
1964,1,124.5,1964-01-01
1964,2,184.2,1964-02-01
1964,3,119.6,1964-03-01
1964,4,113.3,1964-04-01
1964,5,30.2,1964-05-01
1964,6,72.1,1964-06-01
1964,7,90.9,1964-07-01
1964,8,164.6,1964-08-01
1964,9,72.9,1964-09-01
1964,10,100.8,1964-10-01
1964,11,78.5,1964-11-01
1964,12,179.8,1964-12-01
1965,1,82.0,1965-01-01
1965,2,119.4,1965-02-01
1965,3,20.1,1965-03-01
1965,4,63.0,1965-04-01
1965,5,24.9,1965-05-01
1965,6,71.9,1965-06-01
