year,month,total_precip_mm,date
1944,3,145.5,1944-03-01
1944,4,104.6,1944-04-01
1944,5,7.6,1944-05-01
1944,6,153.4,1944-06-01
1944,7,50.0,1944-07-01
1944,8,20.8,1944-08-01
1944,9,126.2,1944-09-01
1944,10,227.3,1944-10-01
1944,11,160.3,1944-11-01
1944,12,124.5,1944-12-01
1945,1,193.0,1945-01-01
1945,2,142.5,1945-02-01
1945,3,77.7,1945-03-01
1945,4,86.1,1945-04-01
1945,5,189.2,1945-05-01
1945,6,150.6,1945-06-01
1945,7,58.7,1945-07-01
1945,8,66.5,1945-08-01
1945,9,34.0,1945-09-01
1945,10,208.5,1945-10-01
1945,11,227.6,1945-11-01
1945,12,144.0,1945-12-01
1946,1,112.0,1946-01-01
1946,2,223.5,1946-02-01
1946,3,59.2,1946-03-01
1946,4,194.1,1946-04-01
1946,5,142.7,1946-05-01
1946,6,42.2,1946-06-01
1946,7,75.9,1946-07-01
1946,8,170.9,1946-08-01
1946,9,116.1,1946-09-01
1946,10,41.1,1946-10-01
1946,11,59.9,1946-11-01
1946,12,228.6,1946-12-01
1947,1,138.7,1947-01-01
1947,2,99.8,1947-02-01
1947,3,58.2,1947-03-01
1947,4,116.1,1947-04-01
1947,5,274.8,1947-05-01
1947,6,114.0,1947-06-01
1947,7,96.3,1947-07-01
1947,8,14.2,1947-08-01
1947,9,186.4,1947-09-01
1947,10,3.0,1947-10-01
1947,11,90.9,1947-11-01
1947,12,128.0,1947-12-01
1948,1,194.8,1948-01-01
1948,2,144.3,1948-02-01
1948,3,189.7,1948-03-01
1948,4,143.3,1948-04-01
1948,5,245.9,1948-05-01
1948,6,134.9,1948-06-01
1948,7,172.0,1948-07-01
1948,8,131.8,1948-08-01
1948,9,35.1,1948-09-01
1948,10,122.4,1948-10-01
1948,11,188.0,1948-11-01
1948,12,155.7,1948-12-01
1949,1,161.3,1949-01-01
1949,2,122.9,1949-02-01
1949,3,141.2,1949-03-01
1949,4,134.9,1949-04-01
1949,5,89.7,1949-05-01
1949,6,41.9,1949-06-01
1949,7,93.0,1949-07-01
1949,8,103.6,1949-08-01
1949,9,149.4,1949-09-01
1949,10,105.9,1949-10-01
1949,11,176.8,1949-11-01
1949,12,86.1,1949-12-01
1950,1,181.4,1950-01-01
1950,2,73.4,1950-02-01
1950,3,129.8,1950-03-01
1950,4,141.0,1950-04-01
1950,5,62.7,1950-05-01
1950,6,71.6,1950-06-01
1950,7,45.7,1950-07-01
1950,8,121.2,1950-08-01
1950,9,110.5,1950-09-01
1950,10,41.4,1950-10-01
1950,11,145.8,1950-11-01
1950,12,252.2,1950-12-01
1951,1,174.8,1951-01-01
1951,2,144.3,1951-02-01
1951,3,71.1,1951-03-01
1951,4,99.6,1951-04-01
1951,5,154.9,1951-05-01
1951,6,43.2,1951-06-01
1951,7,153.9,1951-07-01
1951,8,125.0,1951-08-01
1951,9,80.5,1951-09-01
1951,10,117.9,1951-10-01
1951,11,210.1,1951-11-01
1951,12,132.3,1951-12-01
1952,1,204.5,1952-01-01
1952,2,141.5,1952-02-01
1952,3,81.3,1952-03-01
1952,4,60.5,1952-04-01
1952,5,104.1,1952-05-01
1952,6,116.1,1952-06-01
1952,7,71.6,1952-07-01
1952,8,96.0,1952-08-01
1952,9,36.8,1952-09-01
1952,10,126.0,1952-10-01
1952,11,98.0,1952-11-01
1952,12,149.6,1952-12-01
1953,1,200.4,1953-01-01
1953,2,171.2,1953-02-01
1953,3,141.2,1953-03-01
1953,4,113.5,1953-04-01
1953,5,96.0,1953-05-01
1953,6,75.4,1953-06-01
1953,7,128.8,1953-07-01
1953,8,130.6,1953-08-01
1953,9,62.5,1953-09-01
1953,10,196.6,1953-10-01
1953,11,154.2,1953-11-01
