year,month,total_precip_mm,date
1941,4,115.6,1941-04-01
1941,5,141.5,1941-05-01
1941,6,63.8,1941-06-01
1941,7,66.5,1941-07-01
1941,8,83.1,1941-08-01
1941,9,59.9,1941-09-01
1941,10,150.1,1941-10-01
1941,11,117.9,1941-11-01
1941,12,147.3,1941-12-01
1942,1,133.4,1942-01-01
1942,2,66.0,1942-02-01
1942,3,144.0,1942-03-01
1942,4,143.5,1942-04-01
1942,5,55.4,1942-05-01
1942,6,102.6,1942-06-01
1942,7,117.9,1942-07-01
1942,8,59.4,1942-08-01
1942,9,117.1,1942-09-01
1942,10,172.0,1942-10-01
1942,11,142.2,1942-11-01
1942,12,103.1,1942-12-01
1943,1,46.7,1943-01-01
1943,2,126.2,1943-02-01
1943,3,117.3,1943-03-01
1943,4,56.6,1943-04-01
1943,5,123.4,1943-05-01
1943,6,74.2,1943-06-01
1943,7,94.2,1943-07-01
1943,8,113.0,1943-08-01
1943,9,151.6,1943-09-01
1943,10,107.7,1943-10-01
1943,11,222.5,1943-11-01
1943,12,54.4,1943-12-01
1944,1,51.1,1944-01-01
1944,2,98.8,1944-02-01
1944,3,60.5,1944-03-01
1944,4,68.1,1944-04-01
1944,5,41.7,1944-05-01
1944,6,132.8,1944-06-01
1944,7,55.9,1944-07-01
1944,8,25.1,1944-08-01
1944,9,110.0,1944-09-01
1944,10,253.0,1944-10-01
1944,11,199.1,1944-11-01
1944,12,144.5,1944-12-01
1945,1,178.6,1945-01-01
1945,2,80.0,1945-02-01
1945,3,76.5,1945-03-01
1945,4,84.3,1945-04-01
1945,5,160.8,1945-05-01
1945,6,158.2,1945-06-01
1945,7,66.3,1945-07-01
1945,8,100.3,1945-08-01
1945,9,89.2,1945-09-01
1945,10,214.6,1945-10-01
1945,11,212.6,1945-11-01
1945,12,129.8,1945-12-01
1946,1,55.9,1946-01-01
1946,2,115.3,1946-02-01
1946,3,38.6,1946-03-01
1946,4,124.0,1946-04-01
1946,5,100.1,1946-05-01
1946,6,39.9,1946-06-01
1946,7,68.1,1946-07-01
1946,8,137.4,1946-08-01
1946,9,130.6,1946-09-01
1946,10,73.9,1946-10-01
1946,11,40.1,1946-11-01
1946,12,164.3,1946-12-01
1947,1,107.2,1947-01-01
1947,2,108.5,1947-02-01
1947,3,126.5,1947-03-01
1947,4,68.6,1947-04-01
1947,5,137.2,1947-05-01
1947,6,104.9,1947-06-01
1947,7,74.2,1947-07-01
1947,8,71.9,1947-08-01
1947,9,226.6,1947-09-01
1947,10,45.2,1947-10-01
1947,11,156.0,1947-11-01
1947,12,97.0,1947-12-01
1948,1,202.2,1948-01-01
1948,2,100.6,1948-02-01
1948,3,79.2,1948-03-01
