Year,Provinces,Emissions,Sectors
2013,Newfoundland and Labrador,114,Crop and animal production [BS11A00]
2014,Newfoundland and Labrador,111,Crop and animal production (except cannabis) [BS11B00]
2015,Newfoundland and Labrador,102,Crop and animal production (except cannabis) [BS11B00]
2016,Newfoundland and Labrador,103,Crop and animal production (except cannabis) [BS11B00]
2017,Newfoundland and Labrador,95,Crop and animal production (except cannabis) [BS11B00]
2018,Newfoundland and Labrador,103,Crop and animal production (except cannabis) [BS11B00]
2019,Newfoundland and Labrador,110,Crop and animal production (except cannabis) [BS11B00]
2020,Newfoundland and Labrador,121,Crop and animal production (except cannabis) [BS11B00]
2021,Newfoundland and Labrador,118,Crop and animal production (except cannabis) [BS11B00]
2022,Newfoundland and Labrador,122,Crop and animal production (except cannabis) [BS11B00]
2023,Newfoundland and Labrador,128,Crop and animal production (except cannabis) [BS11B00]
2021,Newfoundland and Labrador,1,Cannabis production (licensed) [BS111CL]
2022,Newfoundland and Labrador,5,Cannabis production (licensed) [BS111CL]
2023,Newfoundland and Labrador,7,Cannabis production (licensed) [BS111CL]
2014,Newfoundland and Labrador,1,Cannabis production (unlicensed) [BS111CU]
2015,Newfoundland and Labrador,1,Cannabis production (unlicensed) [BS111CU]
2016,Newfoundland and Labrador,1,Cannabis production (unlicensed) [BS111CU]
2019,Newfoundland and Labrador,1,Cannabis production (unlicensed) [BS111CU]
2020,Newfoundland and Labrador,1,Cannabis production (unlicensed) [BS111CU]
2021,Newfoundland and Labrador,2,Cannabis production (unlicensed) [BS111CU]
2022,Newfoundland and Labrador,1,Cannabis production (unlicensed) [BS111CU]
2023,Newfoundland and Labrador,1,Cannabis production (unlicensed) [BS111CU]
2013,Newfoundland and Labrador,107,Forestry and logging [BS11300]
2014,Newfoundland and Labrador,123,Forestry and logging [BS11300]
2015,Newfoundland and Labrador,177,Forestry and logging [BS11300]
2016,Newfoundland and Labrador,154,Forestry and logging [BS11300]
2017,Newfoundland and Labrador,97,Forestry and logging [BS11300]
2018,Newfoundland and Labrador,131,Forestry and logging [BS11300]
2019,Newfoundland and Labrador,94,Forestry and logging [BS11300]
2020,Newfoundland and Labrador,56,Forestry and logging [BS11300]
2021,Newfoundland and Labrador,55,Forestry and logging [BS11300]
2022,Newfoundland and Labrador,57,Forestry and logging [BS11300]
2023,Newfoundland and Labrador,56,Forestry and logging [BS11300]
2013,Newfoundland and Labrador,186,"Fishing, hunting and trapping [BS11400]"
2014,Newfoundland and Labrador,196,"Fishing, hunting and trapping [BS11400]"
2015,Newfoundland and Labrador,280,"Fishing, hunting and trapping [BS11400]"
2016,Newfoundland and Labrador,235,"Fishing, hunting and trapping [BS11400]"
2017,Newfoundland and Labrador,237,"Fishing, hunting and trapping [BS11400]"
2018,Newfoundland and Labrador,257,"Fishing, hunting and trapping [BS11400]"
2019,Newfoundland and Labrador,233,"Fishing, hunting and trapping [BS11400]"
2020,Newfoundland and Labrador,151,"Fishing, hunting and trapping [BS11400]"
2021,Newfoundland and Labrador,145,"Fishing, hunting and trapping [BS11400]"
2022,Newfoundland and Labrador,151,"Fishing, hunting and trapping [BS11400]"
2023,Newfoundland and Labrador,151,"Fishing, hunting and trapping [BS11400]"
2013,Newfoundland and Labrador,12,Support activities for agriculture and forestry [BS11500]
2014,Newfoundland and Labrador,21,Support activities for agriculture and forestry [BS11500]
2015,Newfoundland and Labrador,62,Support activities for agriculture and forestry [BS11500]
2016,Newfoundland and Labrador,66,Support activities for agriculture and forestry [BS11500]
2017,Newfoundland and Labrador,17,Support activities for agriculture and forestry [BS11500]
2018,Newfoundland and Labrador,30,Support activities for agriculture and forestry [BS11500]
2019,Newfoundland and Labrador,27,Support activities for agriculture and forestry [BS11500]
2020,Newfoundland and Labrador,8,Support activities for agriculture and forestry [BS11500]
2021,Newfoundland and Labrador,8,Support activities for agriculture and forestry [BS11500]
2022,Newfoundland and Labrador,14,Support activities for agriculture and forestry [BS11500]
2023,Newfoundland and Labrador,14,Support activities for agriculture and forestry [BS11500]
2013,Newfoundland and Labrador,1305,Oil and gas extraction [BS21100]
2014,Newfoundland and Labrador,1434,Oil and gas extraction [BS21100]
2015,Newfoundland and Labrador,1279,Oil and gas extraction [BS21100]
2016,Newfoundland and Labrador,1381,Oil and gas extraction [BS21100]
2017,Newfoundland and Labrador,1434,Oil and gas extraction [BS21100]
2018,Newfoundland and Labrador,1866,Oil and gas extraction [BS21100]
