COORDINATE,COUNTRY/PROVINCES,DGUID,GHG EMISSIONS,SECTOR,UOM,UOM_ID,VECTOR,Year
,"","",,"","",,"",
1.1,Canada,2021A000011124,710002,"Total, industries and households",Kilotonnes,198,v79874995,2020
1.1,Canada,2021A000011124,725870,"Total, industries and households",Kilotonnes,198,v79874995,2021
1.1,Canada,2021A000011124,731305,"Total, industries and households",Kilotonnes,198,v79874995,2023
1.1,Canada,2021A000011124,738307,"Total, industries and households",Kilotonnes,198,v79874995,2022
1.1,Canada,2021A000011124,769866,"Total, industries and households",Kilotonnes,198,v79874995,2016
1.1,Canada,2021A000011124,788862,"Total, industries and households",Kilotonnes,198,v79874995,2017
1.1,Canada,2021A000011124,794102,"Total, industries and households",Kilotonnes,198,v79874995,2019
1.1,Canada,2021A000011124,794941,"Total, industries and households",Kilotonnes,198,v79874995,2015
1.1,Canada,2021A000011124,797662,"Total, industries and households",Kilotonnes,198,v79874995,2013
1.1,Canada,2021A000011124,797758,"Total, industries and households",Kilotonnes,198,v79874995,2018
1.1,Canada,2021A000011124,798496,"Total, industries and households",Kilotonnes,198,v79874995,2014
1.115,Canada,2021A000011124,110492,"Total, households",Kilotonnes,198,v79875109,2021
1.115,Canada,2021A000011124,111281,"Total, households",Kilotonnes,198,v79875109,2020
1.115,Canada,2021A000011124,112269,"Total, households",Kilotonnes,198,v79875109,2023
1.115,Canada,2021A000011124,114987,"Total, households",Kilotonnes,198,v79875109,2022
1.115,Canada,2021A000011124,126859,"Total, households",Kilotonnes,198,v79875109,2016
1.115,Canada,2021A000011124,128732,"Total, households",Kilotonnes,198,v79875109,2015
1.115,Canada,2021A000011124,129489,"Total, households",Kilotonnes,198,v79875109,2014
1.115,Canada,2021A000011124,129916,"Total, households",Kilotonnes,198,v79875109,2017
1.115,Canada,2021A000011124,131500,"Total, households",Kilotonnes,198,v79875109,2013
1.115,Canada,2021A000011124,132475,"Total, households",Kilotonnes,198,v79875109,2018
1.115,Canada,2021A000011124,133581,"Total, households",Kilotonnes,198,v79875109,2019
1.118,Canada,2021A000011124,682283,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v79875112,2020
1.118,Canada,2021A000011124,693574,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v79875112,2021
1.118,Canada,2021A000011124,693912,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v79875112,2023
1.118,Canada,2021A000011124,699899,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v79875112,2022
1.118,Canada,2021A000011124,724909,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v79875112,2016
1.118,Canada,2021A000011124,737607,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v79875112,2017
1.118,Canada,2021A000011124,742044,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v79875112,2015
1.118,Canada,2021A000011124,747051,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v79875112,2018
