Year,Sectors,Emissions
2013,Accommodation and food services,59
2013,Administrative and support services,34
2013,"Advertising, promotion, meals, entertainment, and travel",0
2013,"Advertising, public relations and related services",1
2013,Aerospace product and parts manufacturing,8
2013,Air transportation,381
2013,Animal food manufacturing,8
2013,"Arts, entertainment and recreation",2
2013,Balancing item: Aviation,-241
2013,Balancing item: Biomass,-1528
2013,Balancing item: Motor fuels,-250
2013,Balancing item: Non-energy Products from Fuels and Solvent Use,103
2013,Balancing item: Other differences,671
2013,Balancing item: Synthetic fluorinated gases,270
2013,Balancing item: Waste,510
2013,Basic chemical manufacturing,17
2013,Breweries,3
2013,Cement and concrete product manufacturing,277
2013,Clothing and leather and allied product manufacturing,13
2013,Coal mining,92
2013,Communication engineering construction,2
2013,"Computer systems design and other professional, scientific and technical services",12
2013,Converted paper product manufacturing,13
2013,Crop and animal production,573
2013,Dairy product manufacturing,12
2013,Depository credit intermediation and monetary authorities,7
2013,Educational services (except universities),48
2013,Educational services,1
2013,Electric power engineering construction,3
2013,"Electric power generation, transmission and distribution",7224
2013,Electrical  equipment and component manufacturing,1
2013,Electronic product manufacturing,4
2013,Fabricated metal product manufacturing,16
2013,"Fishing, hunting and trapping",219
2013,Forestry and logging,195
2013,Fruit and vegetable preserving and specialty food manufacturing,15
2013,Furniture and related product manufacturing,4
2013,Health care and social assistance,63
2013,Hospitals,26
2013,Households: Electricity and other fuels,2203
2013,Households: Motor fuels and lubricants,2330
2013,Insurance carriers,3
2013,"Legal, accounting and architectural, engineering and related services",13
2013,Lessors of real estate,76
2013,Machinery manufacturing,5
2013,Meat product manufacturing,33
2013,Miscellaneous chemical product manufacturing,3
2013,Miscellaneous food manufacturing,15
2013,Miscellaneous manufacturing,5
2013,Miscellaneous non-profit institutions serving households,20
2013,Motion picture and sound recording industries,4
2013,Motor vehicle manufacturing,1
2013,"Natural gas distribution, water, sewage and other systems",3
2013,Non-metallic mineral mining and quarrying,29
2013,Non-metallic mineral product manufacturing (except cement and concrete products),5
2013,"Non-profit arts, entertainment and recreation",1
2013,Non-profit education services,1
2013,Non-profit social assistance,2
2013,Non-residential building construction,8
2013,Nursing and residential care facilities,4
2013,Office supplies,0
2013,Oil and gas engineering construction,2
2013,Oil and gas extraction,591
2013,Operating supplies,0
2013,Other Indigenous government services,3
2013,Other activities of the construction industry,14
2013,Other engineering construction,2
2013,Other federal government services,232
2013,"Other finance, insurance and real estate services and management of companies and enterprises",68
2013,Other municipal government services,111
2013,Other provincial and territorial government services,54
2013,Owner-occupied dwellings,0
2013,Personal services and private households,11
2013,"Pesticide, fertilizer and other agricultural chemical manufacturing",4
2013,Petroleum and coal product manufacturing,777
2013,Pharmaceutical and medicine manufacturing,2
2013,Pipeline transportation,4
2013,Plastic product manufacturing,9
2013,Postal service and couriers and messengers,40
2013,Printing and related support activities,1
2013,"Publishing, pay/specialty services, telecommunications and other information services",14
2013,"Pulp, paper and paperboard mills",714
2013,Radio and television broadcasting,1
2013,Rail transportation,29
2013,Religious organizations,7
2013,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works),45
2013,Repair and maintenance,37
2013,Repair and maintenance,0
2013,Repair construction,11
2013,Residential building construction,24
2013,Retail trade,227
2013,Rubber product manufacturing,32
2013,Seafood product preparation and packaging,80
2013,Ship and boat building,2
2013,Soft drink and ice manufacturing,1
2013,Support activities for agriculture and forestry,53
2013,Support activities for mining and oil and gas extraction,69
2013,Textile and textile product mills,17
2013,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation",84
2013,Transportation engineering construction,14
2013,Transportation margins,0
2013,Truck transportation,347
2013,Universities,29
2013,Warehousing and storage,5
2013,Waste management and remediation services,41
2013,Water transportation,362
2013,Wholesale trade,113
2013,Wineries and distilleries,1
2013,Wood product manufacturing,127
2014,Accommodation and food services,51
2014,Administrative and support services,32
2014,"Advertising, promotion, meals, entertainment, and travel",0
2014,"Advertising, public relations and related services",2
2014,Aerospace product and parts manufacturing,4
2014,Air transportation,348
2014,Animal food manufacturing,8
2014,"Arts, entertainment and recreation",2
2014,Balancing item: Aviation,-238
2014,Balancing item: Biomass,-1918
2014,Balancing item: Motor fuels,-229
2014,Balancing item: Non-energy Products from Fuels and Solvent Use,18
2014,Balancing item: Other differences,585
2014,Balancing item: Synthetic fluorinated gases,281
2014,Balancing item: Waste,532
2014,Basic chemical manufacturing,6
2014,Breweries,2
2014,Cannabis production (unlicensed),3
2014,Cannabis stores (licensed),0
2014,Cannabis stores (unlicensed),1
2014,Cement and concrete product manufacturing,282
2014,Clothing and leather and allied product manufacturing,1
2014,Coal mining,1
2014,Communication engineering construction,2
2014,"Computer systems design and other professional, scientific and technical services",11
2014,Converted paper product manufacturing,12
2014,Crop and animal production (except cannabis),468
2014,Dairy product manufacturing,4
2014,Depository credit intermediation and monetary authorities,5
2014,Educational services (except universities),47
2014,Educational services,1
2014,Electric power engineering construction,4
2014,"Electric power generation, transmission and distribution",6736
2014,Electrical  equipment and component manufacturing,1
2014,Electronic product manufacturing,2
2014,Fabricated metal product manufacturing,13
2014,"Fishing, hunting and trapping",209
2014,Forestry and logging,186
2014,Fruit and vegetable preserving and specialty food manufacturing,23
2014,Furniture and related product manufacturing,2
2014,Health care and social assistance,60
2014,Hospitals,21
2014,Households: Electricity and other fuels,2049
2014,Households: Motor fuels and lubricants,2156
2014,Insurance carriers,2
2014,"Legal, accounting and architectural, engineering and related services",11
2014,Lessors of real estate,65
2014,Machinery manufacturing,2
2014,Meat product manufacturing,38
2014,Miscellaneous chemical product manufacturing,1
2014,Miscellaneous food manufacturing,15
2014,Miscellaneous manufacturing,2
2014,Miscellaneous non-profit institutions serving households,18
2014,Motion picture and sound recording industries,4
2014,Motor vehicle manufacturing,1
2014,"Natural gas distribution, water, sewage and other systems",2
2014,Non-metallic mineral mining and quarrying,28
2014,Non-metallic mineral product manufacturing (except cement and concrete products),7
2014,"Non-profit arts, entertainment and recreation",1
2014,Non-profit education services,1
2014,Non-profit social assistance,1
2014,Non-residential building construction,7
2014,Nursing and residential care facilities,4
2014,Office supplies,0
2014,Oil and gas engineering construction,1
2014,Oil and gas extraction,796
2014,Operating supplies,0
2014,Other Indigenous government services,3
2014,Other activities of the construction industry,14
2014,Other engineering construction,1
2014,Other federal government services,220
2014,"Other finance, insurance and real estate services and management of companies and enterprises",54
2014,Other municipal government services,102
2014,Other provincial and territorial government services,36
2014,Owner-occupied dwellings,0
2014,Personal services and private households,10
2014,"Pesticide, fertilizer and other agricultural chemical manufacturing",2
2014,Petroleum and coal product manufacturing,3
