Year,Provinces,Emissions,Sectors
2013,Newfoundland and Labrador,114.0,Crop and animal production
2014,Newfoundland and Labrador,111.0,Crop and animal production (except cannabis)
2015,Newfoundland and Labrador,102.0,Crop and animal production (except cannabis)
2016,Newfoundland and Labrador,103.0,Crop and animal production (except cannabis)
2017,Newfoundland and Labrador,95.0,Crop and animal production (except cannabis)
2018,Newfoundland and Labrador,103.0,Crop and animal production (except cannabis)
2019,Newfoundland and Labrador,110.0,Crop and animal production (except cannabis)
2020,Newfoundland and Labrador,121.0,Crop and animal production (except cannabis)
2021,Newfoundland and Labrador,118.0,Crop and animal production (except cannabis)
2022,Newfoundland and Labrador,122.0,Crop and animal production (except cannabis)
2023,Newfoundland and Labrador,128.0,Crop and animal production (except cannabis)
2021,Newfoundland and Labrador,1.0,Cannabis production (licensed)
2022,Newfoundland and Labrador,5.0,Cannabis production (licensed)
2023,Newfoundland and Labrador,7.0,Cannabis production (licensed)
2014,Newfoundland and Labrador,1.0,Cannabis production (unlicensed)
2015,Newfoundland and Labrador,1.0,Cannabis production (unlicensed)
2016,Newfoundland and Labrador,1.0,Cannabis production (unlicensed)
2019,Newfoundland and Labrador,1.0,Cannabis production (unlicensed)
2020,Newfoundland and Labrador,1.0,Cannabis production (unlicensed)
2021,Newfoundland and Labrador,2.0,Cannabis production (unlicensed)
2022,Newfoundland and Labrador,1.0,Cannabis production (unlicensed)
2023,Newfoundland and Labrador,1.0,Cannabis production (unlicensed)
2013,Newfoundland and Labrador,107.0,Forestry and logging
2014,Newfoundland and Labrador,123.0,Forestry and logging
2015,Newfoundland and Labrador,177.0,Forestry and logging
2016,Newfoundland and Labrador,154.0,Forestry and logging
2017,Newfoundland and Labrador,97.0,Forestry and logging
2018,Newfoundland and Labrador,131.0,Forestry and logging
2019,Newfoundland and Labrador,94.0,Forestry and logging
2020,Newfoundland and Labrador,56.0,Forestry and logging
2021,Newfoundland and Labrador,55.0,Forestry and logging
2022,Newfoundland and Labrador,57.0,Forestry and logging
2023,Newfoundland and Labrador,56.0,Forestry and logging
2013,Newfoundland and Labrador,186.0,"Fishing, hunting and trapping"
2014,Newfoundland and Labrador,196.0,"Fishing, hunting and trapping"
2015,Newfoundland and Labrador,280.0,"Fishing, hunting and trapping"
2016,Newfoundland and Labrador,235.0,"Fishing, hunting and trapping"
2017,Newfoundland and Labrador,237.0,"Fishing, hunting and trapping"
2018,Newfoundland and Labrador,257.0,"Fishing, hunting and trapping"
2019,Newfoundland and Labrador,233.0,"Fishing, hunting and trapping"
2020,Newfoundland and Labrador,151.0,"Fishing, hunting and trapping"
2021,Newfoundland and Labrador,145.0,"Fishing, hunting and trapping"
2022,Newfoundland and Labrador,151.0,"Fishing, hunting and trapping"
2023,Newfoundland and Labrador,151.0,"Fishing, hunting and trapping"
2013,Newfoundland and Labrador,12.0,Support activities for agriculture and forestry
2014,Newfoundland and Labrador,21.0,Support activities for agriculture and forestry
2015,Newfoundland and Labrador,62.0,Support activities for agriculture and forestry
2016,Newfoundland and Labrador,66.0,Support activities for agriculture and forestry
2017,Newfoundland and Labrador,17.0,Support activities for agriculture and forestry
2018,Newfoundland and Labrador,30.0,Support activities for agriculture and forestry
2019,Newfoundland and Labrador,27.0,Support activities for agriculture and forestry
2020,Newfoundland and Labrador,8.0,Support activities for agriculture and forestry
2021,Newfoundland and Labrador,8.0,Support activities for agriculture and forestry
2022,Newfoundland and Labrador,14.0,Support activities for agriculture and forestry
2023,Newfoundland and Labrador,14.0,Support activities for agriculture and forestry
2013,Newfoundland and Labrador,1305.0,Oil and gas extraction
2014,Newfoundland and Labrador,1434.0,Oil and gas extraction
2015,Newfoundland and Labrador,1279.0,Oil and gas extraction
2016,Newfoundland and Labrador,1381.0,Oil and gas extraction
2017,Newfoundland and Labrador,1434.0,Oil and gas extraction
2018,Newfoundland and Labrador,1866.0,Oil and gas extraction
2019,Newfoundland and Labrador,1666.0,Oil and gas extraction
2020,Newfoundland and Labrador,1450.0,Oil and gas extraction
2021,Newfoundland and Labrador,1253.0,Oil and gas extraction
2022,Newfoundland and Labrador,1203.0,Oil and gas extraction
2023,Newfoundland and Labrador,1191.0,Oil and gas extraction
2013,Newfoundland and Labrador,1184.0,Metal ore mining
2014,Newfoundland and Labrador,1189.0,Metal ore mining
2015,Newfoundland and Labrador,1427.0,Metal ore mining
2016,Newfoundland and Labrador,936.0,Metal ore mining
2017,Newfoundland and Labrador,927.0,Metal ore mining
2018,Newfoundland and Labrador,745.0,Metal ore mining
2019,Newfoundland and Labrador,1033.0,Metal ore mining
2020,Newfoundland and Labrador,1124.0,Metal ore mining
2021,Newfoundland and Labrador,972.0,Metal ore mining
2022,Newfoundland and Labrador,1206.0,Metal ore mining
2023,Newfoundland and Labrador,1180.0,Metal ore mining
2013,Newfoundland and Labrador,8.0,Non-metallic mineral mining and quarrying
2014,Newfoundland and Labrador,12.0,Non-metallic mineral mining and quarrying
2015,Newfoundland and Labrador,14.0,Non-metallic mineral mining and quarrying
2016,Newfoundland and Labrador,14.0,Non-metallic mineral mining and quarrying
2017,Newfoundland and Labrador,2.0,Non-metallic mineral mining and quarrying
2018,Newfoundland and Labrador,4.0,Non-metallic mineral mining and quarrying
2019,Newfoundland and Labrador,35.0,Non-metallic mineral mining and quarrying
2020,Newfoundland and Labrador,37.0,Non-metallic mineral mining and quarrying
2021,Newfoundland and Labrador,16.0,Non-metallic mineral mining and quarrying
2022,Newfoundland and Labrador,1.0,Non-metallic mineral mining and quarrying
2023,Newfoundland and Labrador,1.0,Non-metallic mineral mining and quarrying
2013,Newfoundland and Labrador,154.0,Support activities for mining and oil and gas extraction
2014,Newfoundland and Labrador,187.0,Support activities for mining and oil and gas extraction
2015,Newfoundland and Labrador,189.0,Support activities for mining and oil and gas extraction
2016,Newfoundland and Labrador,320.0,Support activities for mining and oil and gas extraction
2017,Newfoundland and Labrador,201.0,Support activities for mining and oil and gas extraction
2018,Newfoundland and Labrador,305.0,Support activities for mining and oil and gas extraction
2019,Newfoundland and Labrador,265.0,Support activities for mining and oil and gas extraction
2020,Newfoundland and Labrador,215.0,Support activities for mining and oil and gas extraction
2021,Newfoundland and Labrador,309.0,Support activities for mining and oil and gas extraction
2022,Newfoundland and Labrador,212.0,Support activities for mining and oil and gas extraction
2023,Newfoundland and Labrador,211.0,Support activities for mining and oil and gas extraction
2013,Newfoundland and Labrador,867.0,"Electric power generation, transmission and distribution"
2014,Newfoundland and Labrador,1206.0,"Electric power generation, transmission and distribution"
2015,Newfoundland and Labrador,1339.0,"Electric power generation, transmission and distribution"
2016,Newfoundland and Labrador,1523.0,"Electric power generation, transmission and distribution"
