NAPS_ID,Station_Name,City,Province/Territory_EN,Province_Code,Latitude,Longitude,Status,Start_Date,End_Date
10101,DUCKWORTH & ORDINANCE,ST. JOHN'S,NEWFOUNDLAND AND LABRADOR,NL,47.56806,-52.70222,0,1975-02-07,1988-07-26
10102,WATER STREET POST OFFICE,ST. JOHN'S,NEWFOUNDLAND AND LABRADOR,NL,47.56038,-52.71147,1,1988-07-31,
10301,CREDIT UNION,CORNER BROOK,NEWFOUNDLAND AND LABRADOR,NL,48.949479,-57.945387,0,2001-06-30,2014-05-22
10401,MOUNT PEARL,MOUNT PEARL,NEWFOUNDLAND AND LABRADOR,NL,47.50513,-52.79476,1,2002-05-04,
10501,ABITIBI SITE,GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,NL,48.92696,-55.65966,1,2004-05-17,
10601,GOOSE BAY,HAPPY VALLEY - GOOSE BAY,NEWFOUNDLAND AND LABRADOR,NL,53.306,-60.36314,1,2005-03-09,
10602,MACPHERSON AVENUE,CORNER BROOK,NEWFOUNDLAND AND LABRADOR,NL,48.95224,-57.92207,1,2009-07-14,
10701,FERROLE POINT,FERROLE POINT,NEWFOUNDLAND AND LABRADOR,NL,51.021995,-57.095567,0,2004-12-31,2009-10-31
10801,PORT AU CHOIX,PORT AUX CHOIX,NEWFOUNDLAND AND LABRADOR,NL,50.7123,-57.36421,1,2010-06-15,
10901,MARYSTOWN_BURIN,BURIN,NEWFOUNDLAND AND LABRADOR,NL,47.09899,-55.19852,1,2011-10-23,
11001,LABRADOR CITY - SMOKEY MOUNTAIN,LABRADOR CITY,NEWFOUNDLAND AND LABRADOR,NL,52.9518,-66.9156,0,2014-01-01,2015-12-31
11002,FIREHALL-LABRADORCITY2,LABRADOR CITY,NEWFOUNDLAND AND LABRADOR,NL,52.945487,-66.910306,1,2016-01-01,
20101,CHARLOTTETOWN - 56 FITZROY ST.,CHARLOTTETOWN,PRINCE EDWARD ISLAND,PE,46.23543,-63.13078,0,1974-01-03,1997-12-31
20104,CHARLOTTETOWN - 3 BRIGHTON RD.,CHARLOTTETOWN,PRINCE EDWARD ISLAND,PE,46.233,-63.13667,1,2014-01-01,
20201,NORTH CAPE - ATLANTIC WIND TEST SITE,NORTH CAPE,PRINCE EDWARD ISLAND,PE,47.055,-63.99722,0,1992-09-17,1997-12-31
