NAPS ID,City,Province/Territory,Latitude,Longitude
10102,St. John's,NL,47.56038,-52.71147
10401,Mount Pearl,NL,47.50513,-52.79476
10501,Grand Falls - Windsor,NL,48.92696,-55.65966
10602,Corner Brook,NL,48.95224,-57.92207
30118,Halifax,NS,44.64643,-63.57338
30310,Sydney,NS,46.14222,-60.17252
40103,Fredericton,NB,45.95732,-66.64672
40206,Saint John,NB,45.26968,-66.06151
40302,Moncton,NB,46.10158,-64.78966
50103,Montréal,QC,45.64103,-73.49968
50109,Montréal,QC,45.50265,-73.66391
50110,Montréal,QC,45.59458,-73.64154
50113,Laval,QC,45.54746,-73.74832
50115,Montréal,QC,45.50153,-73.57431
50128,Montréal,QC,45.46832,-73.7412
50129,Montréal,QC,45.65169,-73.57382
50204,Gatineau,QC,45.43599,-75.72343
50308,Quebec,QC,46.82118,-71.22049
54401,Saint-Anicet,QC,45.12062,-74.2896
54501,L'assomption,QC,45.80942,-73.43473
55201,Lemieux,QC,46.3037,-72.06069
60104,Ottawa,ON,45.43433,-75.676
60204,Windsor,ON,42.31578,-83.04367
60303,Kingston,ON,44.22008,-76.52141
60430,Toronto,ON,43.70944,-79.5435
60433,Toronto,ON,43.66417,-79.38722
60434,Mississauga,ON,43.54697,-79.65869
60512,Hamilton,ON,43.25778,-79.86167
60903,London,ON,43.00672,-81.20642
70118,Winnipeg,MB,49.93207,-97.11317
70119,Winnipeg,MB,49.89799,-97.14653
80110,Regina,SK,50.45017,-104.61722
80211,Saskatoon,SK,52.13613,-106.66293
90120,Edmonton,AB,53.50022,-113.52606
90121,Edmonton,AB,53.54823,-113.36811
90130,Edmonton,AB,53.54445,-113.49884
90218,Calgary,AB,51.00943,-114.02542
90222,Calgary,AB,51.07922,-114.14183
90228,Calgary,AB,51.04701,-114.07564
90302,Red Deer,AB,52.29867,-113.79352
90402,Medicine Hat,AB,50.04893,-110.68116
90502,Lethbridge,AB,49.71621,-112.8006
90601,Fort Saskatchewan,AB,53.69874,-113.22285
90701,Fort Mcmurray,AB,56.73341,-111.39047
92001,Grande Prairie,AB,55.1766,-118.8078
100110,Metro Van - Burnaby,BC,49.27921,-122.97071
100111,Metro Van - Port Moody,BC,49.28089,-122.84929
100112,Metro Van - Vancouver,BC,49.28227,-123.12188
100118,Metro Van - Vancouver,BC,49.26167,-123.16347
100119,Metro Van - Burnaby,BC,49.21519,-122.98567
100121,Metro Van - North Vancouver,BC,49.30147,-123.02042
100127,Metro Van - Surrey,BC,49.13293,-122.69422
100128,Metro Van - Richmond,BC,49.14144,-123.10822
100132,Metro Van - North Vancouver,BC,49.32399,-123.0835
100134,Metro Van - Richmond,BC,49.18626,-123.15242
100135,Metro Van - Coquitlam,BC,49.28827,-122.79157
100138,Metro Van - West Vancouver,BC,49.36861,-123.27674
100140,Metro Van - Delta,BC,49.00988,-123.082
100202,Prince George,BC,53.91472,-122.74194
100701,Kelowna,BC,49.86234,-119.47737
101003,Metro Van - Abbotsford,BC,49.04258,-122.30982
101101,Metro Van-Chilliwack,BC,49.15585,-121.94028
101202,Metro Van-Pitt Meadows,BC,49.24523,-122.70889
101301,Metro Van-Langley,BC,49.09561,-122.5671
101401,Metro Van-Hope,BC,49.36989,-121.49912
101501,Metro Van - Maple Ridge,BC,49.21494,-122.58206
101701,Quesnel,BC,52.98169,-122.49323
102401,Smithers,BC,54.78331,-127.17732
105604,Osoyoos,BC,49.05584,-119.50792
106800,Ucluelet,BC,48.9218,-125.54121
119003,Whitehorse,YU,60.71861,-135.04919
129003,Yellowknife,NT,62.45207,-114.364
