*Stations2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Definitions_Définitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*DataSources_SourcesdesDonnées,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**********Stations2024**********,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPS_ID,Station_Name,Status,Location_Address,City,Province/Territory_EN,Province/territoire_FR,Postal_Code,Timezone_UTC,Latitude,Longitude,Elevation_m,Start_Date,End_Date,Combined_Stations,Inlet_Height_m,Network,SO2,CO,NO2,NO,NOX,O3,PM2.5_Continuous,PM10_Continuous,PM2.5_RM,PM10_Integrated,PM2.5-10,PM2.5_Speciation,VOC,Carbonyl,PAC,Site_Type,Urbanization,Neighbourhood,Land_Use,Scale,PC,CD,CSD,CMA/CA,AQMS_Airzone,Core_Site
Identifiant_SNPA,Nom_de_la_station,Statut,Adresse_de_l'emplacement,Ville,Province/Territory_EN,Province/territoire_FR,Code_postal,Fuseau_horaire_TUC,Latitude,Longitude,Élévation_m,Date_de_début,Date_de_fin,Stations_combinées,Hauteur_d'entrée_m,Réseau,SO2,CO,NO2,NO,NOX,O3,PM2.5_en_continu,PM10_en_continu,PM2.5_MR,PM10_ponctuelle,PM2.5-10,PM2.5_Caractérisation,COV,Carbonyle,CAP,Catégorie_de_site,Urbanisation,Quartier,Utilisation_du_sol,Échelle,CP,DR,SDR,RMR/AR,SGQA_zone_atmosphérique,Site_principal
10101,DUCKWORTH & ORDINANCE,0,DUCKWORTH & ORDINANCE,ST. JOHN'S,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,A1C 1E4,-3.5,47.56806,-52.70222,7,1975-02-07,1988-07-26,,,N,X,X,,,,,,,X,,X,,,,,PE,LU,P4,R,N,0792. St. John's,01. Division No.  1,"519. St. John's, CY","001. St. John's, CMA/RMR",Newfoundland and Labrador - Newfoundland,
10102,WATER STREET POST OFFICE,1,354 WATER STREET,ST. JOHN'S,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,A1C 1C4,-3.5,47.56038,-52.71147,7,1988-07-31,,,4,N,X,X,X,X,X,X,X,X,X,,,,X,,X,PE,LU,P4,C,N,0792. St. John's,01. Division No.  1,"519. St. John's, CY","001. St. John's, CMA/RMR",Newfoundland and Labrador - Newfoundland,2
10301,CREDIT UNION,0,BROOK STREET,CORNER BROOK,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,A2H 2T7,-3.5,48.949479,-57.945387,5,2001-06-30,2014-05-22,10602,,N,X,X,X,X,X,X,X,,,,,,,,X,PE,SU,P3,I,N,0204. Corner Brook,05. Division No.  5,"018. Corner Brook, CY","015. Corner Brook, CA/AR",Newfoundland and Labrador - Newfoundland,
10401,MOUNT PEARL,1,OLD PLACENTIA ROAD,MOUNT PEARL,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,A1N 4P4,-3.5,47.50513,-52.79476,135,2002-05-04,,,4,N,X,X,X,X,X,X,X,X,,,,,,,,PE,LU,P3,R,N,0792. St. John's,01. Division No.  1,"542. Mount Pearl, CY","001. St. John's, CMA/RMR",Newfoundland and Labrador - Newfoundland,
10501,ABITIBI SITE,1,SCOTT AVENUE,GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,A2A 2K1,-3.5,48.92696,-55.65966,62,2004-05-17,,,3,N,X,X,X,X,X,X,X,X,,,,,,,,PE,SU,P3,I,N,0332. Grand Falls-Windsor,06. Division No.  6,"017. Grand Falls-Windsor, T","010. Grand Falls-Windsor, CA/AR",Newfoundland and Labrador - Newfoundland,
10601,GOOSE BAY,1,ABBOT STREET,HAPPY VALLEY - GOOSE BAY,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,A0P 1C0,-3.5,53.306,-60.36314,39,2005-03-09,,,4,C,,,,,,X,,,,,,,,,,PE,SU,P2,R,U,0354. Happy Valley-Goose Bay,10. Division No. 10,"025. Happy Valley-Goose Bay, T",none,Newfoundland and Labrador - Labrador,
10602,MACPHERSON AVENUE,1,MACPHERSON AVE,CORNER BROOK,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,A2H 6Z4,-3.5,48.95224,-57.92207,100,2009-07-14,,10301,3,N,X,X,X,X,X,X,X,X,,,,,,,,PE,SU,P3,R,N,0204. Corner Brook,05. Division No.  5,"018. Corner Brook, CY","015. Corner Brook, CA/AR",Newfoundland and Labrador - Newfoundland,
10701,FERROLE POINT,0,FERROLE POINT LIGHTHOUSE,FERROLE POINT,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,A0K 4L0,-3.5,51.021995,-57.095567,13,2004-12-31,2009-10-31,10801,,N,,,,,,X,,,,,,,,,,RB,NU,P1,F,R,none,09. Division No.  9,"021. Division No.  9, Subd. C, SNO",none,Newfoundland and Labrador - Newfoundland,
10801,PORT AU CHOIX,1,PORT AU CHOIX (Town Hall),PORT AUX CHOIX,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,A0K 4C0,-3.5,50.7123,-57.36421,13,2010-06-15,,10701,6,N,,,,,,X,,,,,,,,,,RB,NU,P2,F,R,none,09. Division No.  9,"022. Port au Choix, T",none,Newfoundland and Labrador - Newfoundland,
