NAPS_ID,Station_Name,City,Province/Territory_EN,Province_Code,Latitude,Longitude,Status,Start_Date,End_Date
10102,WATER STREET POST OFFICE,ST. JOHN'S,NEWFOUNDLAND AND LABRADOR,NL,47.56038,-52.71147,1,1988-07-31,
10401,MOUNT PEARL,MOUNT PEARL,NEWFOUNDLAND AND LABRADOR,NL,47.50513,-52.79476,1,2002-05-04,
10501,ABITIBI SITE,GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,NL,48.92696,-55.65966,1,2004-05-17,
10601,GOOSE BAY,HAPPY VALLEY - GOOSE BAY,NEWFOUNDLAND AND LABRADOR,NL,53.306,-60.36314,1,2005-03-09,
10602,MACPHERSON AVENUE,CORNER BROOK,NEWFOUNDLAND AND LABRADOR,NL,48.95224,-57.92207,1,2009-07-14,
10801,PORT AU CHOIX,PORT AUX CHOIX,NEWFOUNDLAND AND LABRADOR,NL,50.7123,-57.36421,1,2010-06-15,
10901,MARYSTOWN_BURIN,BURIN,NEWFOUNDLAND AND LABRADOR,NL,47.09899,-55.19852,1,2011-10-23,
11001,LABRADOR CITY - SMOKEY MOUNTAIN,LABRADOR CITY,NEWFOUNDLAND AND LABRADOR,NL,52.9518,-66.9156,0,2014-01-01,2015-12-31
11002,FIREHALL-LABRADORCITY2,LABRADOR CITY,NEWFOUNDLAND AND LABRADOR,NL,52.945487,-66.910306,1,2016-01-01,
20104,CHARLOTTETOWN - 3 BRIGHTON RD.,CHARLOTTETOWN,PRINCE EDWARD ISLAND,PE,46.233,-63.13667,1,2014-01-01,
20301,WELLINGTON - 40 HACKMATACK RD.,WELLINGTON,PRINCE EDWARD ISLAND,PE,46.47843,-63.98763,1,2014-01-01,
20401,SOUTHAMPTON - 2580 CARDIGAN RD.,SOUTHAMPTON,PRINCE EDWARD ISLAND,PE,46.38635,-62.58272,1,2014-01-01,
30113,HALIFAX - JOHNSTON BUILDING,HALIFAX,NOVA SCOTIA,NS,44.64711,-63.57366,1,2006-04-13,
30118,HALIFAX - VOGUE BUILDING,HALIFAX,NOVA SCOTIA,NS,44.646425,-63.573383,0,1990-12-03,2018-01-14
30120,DARTMOUTH - LAKE MAJOR,DARTMOUTH,NOVA SCOTIA,NS,44.7198,-63.48076,1,2001-06-18,
30201,PORT HAWKESBURY,PORT HAWKESBURY,NOVA SCOTIA,NS,45.6141612,-61.3623563,1,2003-01-20,
30310,SYDNEY - WELTON ST.,SYDNEY,NOVA SCOTIA,NS,46.14222,-60.17252,0,1974-01-11,2024-10-15
30501,KEJIMKUJIK NATIONAL PARK,KEJIMKUJIK,NOVA SCOTIA,NS,44.433611,-65.205833,0,1985-04-16,2016-12-31
30502,KEJIMKUJIK NATIONAL PARK - B,KEJIMKUJIK,NOVA SCOTIA,NS,44.43244,-65.20264,1,2016-01-01,
30701,AYLESFORD MOUNTAIN,AYLESFORD,NOVA SCOTIA,NS,45.07254,-64.84025,1,1991-07-02,
30901,PICTOU,PICTOU,NOVA SCOTIA,NS,45.681744,-62.696575,1,2001-01-01,
31001,SABLE ISLAND,SABLE ISLAND,NOVA SCOTIA,NS,43.932297,-60.009287,0,2003-05-23,2015-04-18
31101,KENTVILLE - AGRI-FOOD CANADA,KENTVILLE,NOVA SCOTIA,NS,45.067284,-64.477425,1,2002-08-16,
31201,GRANTON,GRANTON,NOVA SCOTIA,NS,45.63115,-62.73838,0,,2016-03-25
40103,FREDERICTON - ABERDEEN ST.,FREDERICTON,NEW BRUNSWICK,NB,45.957318,-66.646719,0,1999-04-16,2017-03-30
40104,FREDERICTON - NEEDHAM ST.,FREDERICTON,NEW BRUNSWICK,NB,45.957289,-66.645236,1,2016-08-31,
40203,SAINT JOHN - FOREST HILLS,SAINT JOHN,NEW BRUNSWICK,NB,45.308762,-66.008384,1,1980-01-01,
40206,SAINT JOHN - CUSTOMS BUILDING,SAINT JOHN,NEW BRUNSWICK,NB,45.269677,-66.06151,0,1991-11-14,2016-03-08
40207,SAINT JOHN - WEST SIDE,SAINT JOHN,NEW BRUNSWICK,NB,45.252898,-66.080065,1,1997-09-16,
40208,SAINT JOHN - CHAMPLAIN HEIGHTS SCHOOL,SAINT JOHN,NEW BRUNSWICK,NB,45.291218,-66.00305,1,2000-07-11,
40209,SAINT JOHN - CASTLE ST.,SAINT JOHN,NEW BRUNSWICK,NB,45.28028,-66.05611,1,2009-01-01,
40302,MONCTON - THANET ST.,MONCTON,NEW BRUNSWICK,NB,46.101578,-64.789661,1,1998-07-17,
40401,HASTINGS TOWER - FUNDY PARK,FUNDY NAT. PARK,NEW BRUNSWICK,NB,45.59222,-64.99444,0,1989-06-09,2015-05-25
