station_id,Month,Day,Baseline Mean Temp (°C)
8100300,1,1,-8.66
8100300,1,2,-9.565384615384616
8100300,1,3,-10.623076923076923
8100300,1,4,-9.168000000000001
8100300,1,5,-9.56
8100300,1,6,-9.904
8100300,1,7,-10.156521739130435
8100300,1,8,-10.97391304347826
8100300,1,9,-8.930434782608696
8100300,1,10,-9.434782608695652
8100300,1,11,-10.284
8100300,1,12,-9.988000000000001
8100300,1,13,-9.228000000000002
8100300,1,14,-10.344000000000001
8100300,1,15,-12.604000000000001
8100300,1,16,-10.44
8100300,1,17,-10.311538461538463
8100300,1,18,-10.496153846153845
8100300,1,19,-9.978260869565217
8100300,1,20,-10.5375
8100300,1,21,-14.144
8100300,1,22,-14.720833333333333
8100300,1,23,-12.888
8100300,1,24,-10.856
8100300,1,25,-11.44
8100300,1,26,-11.734615384615385
8100300,1,27,-12.288461538461538
8100300,1,28,-11.196153846153846
8100300,1,29,-13.496153846153845
8100300,1,30,-11.984615384615385
8100300,1,31,-12.073076923076924
8100300,2,1,-11.396
8100300,2,2,-10.995999999999999
8100300,2,3,-11.065384615384614
8100300,2,4,-11.223076923076924
8100300,2,5,-10.588461538461539
8100300,2,6,-11.512
8100300,2,7,-10.936
8100300,2,8,-10.347999999999999
8100300,2,9,-11.704
8100300,2,10,-9.58
8100300,2,11,-10.565384615384614
8100300,2,12,-9.603846153846154
8100300,2,13,-11.4375
8100300,2,14,-11.445833333333333
8100300,2,15,-9.956
8100300,2,16,-8.86
8100300,2,17,-9.56
8100300,2,18,-9.784
8100300,2,19,-8.404
8100300,2,20,-7.2192307692307685
8100300,2,21,-8.126923076923077
8100300,2,22,-8.211538461538462
8100300,2,23,-7.315384615384616
8100300,2,24,-7.476923076923077
8100300,2,25,-7.85
8100300,2,26,-7.932
8100300,2,27,-7.404
8100300,2,28,-6.204166666666667
8100300,2,29,-10.442857142857141
8100300,3,1,-7.704347826086957
8100300,3,2,-6.3500000000000005
8100300,3,3,-6.004166666666666
8100300,3,4,-6.418181818181818
8100300,3,5,-4.826086956521739
8100300,3,6,-5.547826086956522
8100300,3,7,-5.752173913043479
8100300,3,8,-4.586956521739131
8100300,3,9,-6.047826086956522
8100300,3,10,-6.391304347826087
8100300,3,11,-3.2434782608695656
8100300,3,12,-3.2666666666666666
8100300,3,13,-4.440909090909091
8100300,3,14,-3.7636363636363637
8100300,3,15,-1.2695652173913043
8100300,3,16,-3.1958333333333333
8100300,3,17,-4.029166666666667
8100300,3,18,-3.5875000000000004
8100300,3,19,-3.170833333333334
8100300,3,20,-2.3249999999999997
8100300,3,21,-1.0458333333333332
8100300,3,22,-1.8958333333333333
8100300,3,23,-2.75
8100300,3,24,-3.154166666666667
8100300,3,25,-3.2291666666666665
8100300,3,26,-1.3083333333333333
8100300,3,27,-0.6916666666666668
8100300,3,28,-0.2625
8100300,3,29,0.6083333333333333
8100300,3,30,0.2791666666666666
8100300,3,31,1.2625
8100300,4,1,1.0541666666666665
8100300,4,2,-0.20869565217391303
8100300,4,3,0.4640000000000001
8100300,4,4,0.868
8100300,4,5,0.564
8100300,4,6,1.2479999999999998
8100300,4,7,1.456
8100300,4,8,1.472
8100300,4,9,2.02
8100300,4,10,2.444
8100300,4,11,2.8708333333333336
8100300,4,12,3.324
8100300,4,13,3.912
8100300,4,14,3.688
8100300,4,15,4.216666666666667
8100300,4,16,4.079166666666667
8100300,4,17,4.708
8100300,4,18,3.7119999999999997
8100300,4,19,5.5360000000000005
8100300,4,20,5.496
8100300,4,21,5.667999999999999
8100300,4,22,5.756
8100300,4,23,5.35
8100300,4,24,5.803846153846154
8100300,4,25,5.980769230769231
8100300,4,26,6.107692307692308
