Longitude (x),Latitude (y),Station Name,Climate ID,Province
-64.51,44.83,AALDERSVILLE,8204020,NOVA SCOTIA
-54.0,47.31,ARGENTIA (AUT),8400104,NEWFOUNDLAND AND LABRADOR
-67.72,46.71,AROOSTOOK,8100300,NEW BRUNSWICK
-65.47,43.45,BACCARO PT,8200255,NOVA SCOTIA
-56.07,48.97,BADGER (AUT),8400301,NEWFOUNDLAND AND LABRADOR
-64.87,47.8,BAS CARAQUET,8100468,NEW BRUNSWICK
-64.83,47.8,BAS CARAQUET,8100467,NEW BRUNSWICK
-65.74,47.63,BATHURST A,8100506,NEW BRUNSWICK
-62.33,44.82,BEAVER ISLAND (AUT),8200558,NOVA SCOTIA
-63.63,44.71,BEDFORD BASIN,8200573,NOVA SCOTIA
-63.66,44.75,BEDFORD RANGE,8200574,NOVA SCOTIA
-57.92,49.62,BERRY HILL,8400506,NEWFOUNDLAND AND LABRADOR
-53.11,48.67,BONAVISTA,8400601,NEWFOUNDLAND AND LABRADOR
-66.35,44.29,BRIER ISLAND,8200604,NOVA SCOTIA
-57.62,47.62,BURGEO NL,8400801,NEWFOUNDLAND AND LABRADOR
-57.33,48.17,BURNT POND,8400812,NEWFOUNDLAND AND LABRADOR
-53.08,46.66,CAPE RACE (AUT),8401000,NEWFOUNDLAND AND LABRADOR
-62.68,45.77,CARIBOU POINT (AUT),8200774,NOVA SCOTIA
-57.04,53.68,CARTWRIGHT A,8501106,NEWFOUNDLAND AND LABRADOR
-66.33,47.99,CHARLO AUTO,8100885,NEW BRUNSWICK
-63.12,46.29,CHARLOTTETOWN A,8300301,PRINCE EDWARD ISLAND
-60.95,46.65,CHETICAMP HIGHLANDS NATIONAL PARK,8200828,NOVA SCOTIA
-64.09,53.56,CHURCHILL FALLS,8501136,NEWFOUNDLAND AND LABRADOR
-64.11,53.56,CHURCHILL FALLS A,8501131,NEWFOUNDLAND AND LABRADOR
-62.01,45.49,COLLEGEVILLE AUTO,8201001,NOVA SCOTIA
-57.39,49.32,CORMACK RCS,8401295,NEWFOUNDLAND AND LABRADOR
