Climate ID,Date,Monthly_Average_Max_Temp_C,Monthly_Average_Min_Temp_C,Monthly_Average_Mean_Temp_C,Monthly_Max_Temp_C,Monthly_Min_Temp_C,Monthly_Average_Heat_Deg_Days_C,Monthly_Average_Cool_Deg_Days_C
8100300,1995-01-01,-3.8548,-14.2581,-9.0613,11.5,-40.0,27.0613,0.0
8100300,1995-02-01,-6.1964,-20.9464,-13.6,5.0,-32.0,31.6,0.0
8100300,1995-03-01,1.6613,-8.2097,-3.2871,10.5,-26.0,21.2871,0.0
8100300,1995-04-01,6.5667,-4.6667,0.96,14.0,-15.5,17.04,0.0
8100300,1995-05-01,17.5161,3.4032,10.4839,24.5,-3.0,7.5161,0.0
8100300,1995-06-01,25.5333,9.05,17.32,33.5,3.0,2.31,1.63
8100300,1995-07-01,27.0484,13.8548,20.4774,32.0,8.5,0.1968,2.6742
8100300,1995-08-01,25.9355,10.8065,18.3968,35.5,3.0,1.3548,1.7516
8100300,1995-09-01,19.4667,6.1333,12.82,26.5,-1.5,5.18,0.0
8100300,1995-10-01,15.4677,4.7419,10.1194,23.5,-2.0,7.8806,0.0
8100300,1995-11-01,3.4667,-5.3667,-0.9567,16.0,-22.5,18.9567,0.0
8100300,1995-12-01,-4.5968,-14.5806,-9.5935,2.0,-29.5,27.5935,0.0
8100300,1996-01-01,-5.8548,-18.7903,-12.3323,6.5,-32.5,30.3323,0.0
8100300,1996-02-01,-5.2414,-16.1552,-10.7103,8.0,-32.0,28.7103,0.0
8100300,1996-03-01,0.4839,-10.129,-4.8323,8.0,-25.0,22.8323,0.0
8100300,1996-04-01,9.3833,-0.6333,4.3933,18.5,-9.0,13.6067,0.0
8100300,1996-05-01,15.2258,2.9194,9.0839,20.0,-4.0,8.9161,0.0
8100300,1996-06-01,24.1833,10.7,17.46,32.0,4.0,1.5567,1.0167
8100300,1996-07-01,24.4839,14.2097,19.3677,29.5,9.0,0.2871,1.6548
8100300,1996-08-01,23.9839,14.1452,19.0903,31.0,11.0,0.2645,1.3548
8100300,1996-09-01,19.1833,9.1833,14.21,26.0,2.5,3.8333,0.0433
8100300,1996-10-01,12.3871,1.3065,6.871,23.0,-5.0,11.129,0.0
8100300,1996-11-01,3.0,-5.2333,-1.12,19.0,-19.5,19.12,0.0
8100300,1996-12-01,1.5161,-5.7419,-2.1161,11.5,-24.5,20.1161,0.0
8100300,1997-01-01,-6.5,-16.5484,-11.5387,4.5,-36.5,29.5387,0.0
8100300,1997-02-01,-4.6607,-16.7143,-10.7214,2.5,-33.5,28.7214,0.0
8100300,1997-03-01,-1.0968,-14.5161,-7.8258,8.0,-31.0,25.8258,0.0
8100300,1997-04-01,7.8333,-3.5833,2.1267,16.0,-12.0,15.8733,0.0
8100300,1997-05-01,14.7581,2.6774,8.7419,24.0,-2.5,9.2581,0.0
8100300,1997-06-01,23.2667,8.1333,15.72,30.0,-0.5,2.8033,0.5233
8100300,1997-07-01,25.8065,12.1129,18.9839,32.0,5.0,0.7645,1.7484
8100300,1997-08-01,22.7258,9.7258,16.2452,30.5,4.0,2.0516,0.2968
8100300,1997-09-01,18.1667,7.0833,12.6433,24.0,-2.0,5.39,0.0333
8100300,1997-10-01,11.0968,0.4677,5.8097,21.0,-8.0,12.1903,0.0
8100300,1997-11-01,4.1333,-4.5167,-0.1967,17.0,-15.5,18.1967,0.0
8100300,1997-12-01,-3.7419,-12.9839,-8.3839,1.5,-22.5,26.3839,0.0
8100300,1998-01-01,-5.0806,-14.629,-9.8774,6.0,-32.5,27.8774,0.0
8100300,1998-02-01,-1.3036,-15.6071,-8.4643,6.5,-27.0,26.4643,0.0
8100300,1998-03-01,2.8065,-8.5484,-2.8871,16.5,-19.5,20.8871,0.0
8100300,1998-04-01,10.3167,-1.1833,4.58,22.0,-6.5,13.42,0.0
8100300,1998-05-01,20.2742,7.2258,13.7742,29.0,-2.0,4.3226,0.0968
8100300,1998-06-01,21.8333,9.4667,15.6733,28.5,0.0,2.9767,0.65
8100300,1998-07-01,27.3548,12.629,20.0129,33.5,8.0,0.1935,2.2065
8100300,1998-08-01,24.7742,11.2903,18.0548,33.0,5.0,1.0387,1.0935
8100300,1998-09-01,18.5,8.1667,13.3567,23.5,-1.0,4.6433,0.0
8100300,1998-10-01,10.8548,1.5968,6.2452,17.0,-7.0,11.7548,0.0
8100300,1998-11-01,3.25,-4.9667,-0.86,9.0,-13.0,18.86,0.0
8100300,1998-12-01,-0.2097,-9.9032,-5.0742,8.5,-24.0,23.0742,0.0
8100300,1999-01-01,-5.0,-18.7258,-11.8774,8.0,-36.5,29.8774,0.0
8100300,1999-02-01,-1.3571,-14.5357,-7.9643,5.5,-31.0,25.9643,0.0
8100300,1999-03-01,3.8065,-5.0484,-0.6161,13.0,-15.5,18.6161,0.0
