station_id,Trend (°C / decade),Latitude (y),Longitude (x),Province
8100300,0.44685528490949594,46.71,-67.72,NEW BRUNSWICK
8100467,0.04582206943036089,47.8,-64.83,NEW BRUNSWICK
8100468,-10.809353546907307,47.8,-64.87,NEW BRUNSWICK
8100506,4.209381109486579,47.63,-65.74,NEW BRUNSWICK
8100885,0.3391296192204315,47.99,-66.33,NEW BRUNSWICK
8100989,0.2572556927053881,47.01,-65.47,NEW BRUNSWICK
8101201,1.7843468677409886,46.59,-66.01,NEW BRUNSWICK
8101303,0.5013053733043165,47.42,-68.32,NEW BRUNSWICK
8101505,0.5438065753656955,45.87,-66.54,NEW BRUNSWICK
8101605,0.30802413820176755,45.92,-66.61,NEW BRUNSWICK
8101746,0.25758135715545233,45.6,-64.95,NEW BRUNSWICK
8101792,-0.7813119495078996,45.83,-66.43,NEW BRUNSWICK
8101925,-0.22249047923122697,44.71,-66.8,NEW BRUNSWICK
8102326,2.0538124052353073,46.79,-65.01,NEW BRUNSWICK
8102536,-0.1030542660378393,45.95,-66.9,NEW BRUNSWICK
8102848,0.39179017745098943,45.69,-65.17,NEW BRUNSWICK
8103050,0.45574779197338816,48.01,-64.49,NEW BRUNSWICK
8103201,1.0313981759395174,46.11,-64.68,NEW BRUNSWICK
8103202,3.391809414690991,46.11,-64.68,NEW BRUNSWICK
8103780,0.2855219328447769,45.51,-66.1,NEW BRUNSWICK
8104201,0.0833229926765769,45.07,-66.45,NEW BRUNSWICK
8104295,0.6120412972712819,47.44,-65.6,NEW BRUNSWICK
8104901,0.8121833566879864,45.32,-65.89,NEW BRUNSWICK
8104905,-3.9050962479272417,45.29,-65.81,NEW BRUNSWICK
8104935,0.32272525034196786,45.21,-67.25,NEW BRUNSWICK
8105210,0.6002120183359899,45.74,-65.53,NEW BRUNSWICK
8105603,0.9643016920280417,46.15,-67.54,NEW BRUNSWICK
8200255,0.7233598113130537,43.45,-65.47,NOVA SCOTIA
8200558,0.49786203704243115,44.82,-62.33,NOVA SCOTIA
8200573,1.7666590873837724,44.71,-63.63,NOVA SCOTIA
8200574,1.816515282013535,44.75,-63.66,NOVA SCOTIA
8200604,-0.46518754205094265,44.29,-66.35,NOVA SCOTIA
8200774,0.5845220007652975,45.77,-62.68,NOVA SCOTIA
8200828,2.821914027540796,46.65,-60.95,NOVA SCOTIA
8201001,1.7417129474226676,45.49,-62.01,NOVA SCOTIA
8201390,0.028980232711899697,45.42,-63.47,NOVA SCOTIA
8201780,0.752785985573849,45.92,-60.65,NOVA SCOTIA
8201969,-0.09476867985349813,46.55,-61.04,NOVA SCOTIA
