Climate ID,Date,Monthly_Max_Gust_kmh,Monthly_Mean_Gust_Direction_10sdeg
8100467,2007-08-01,91.0,22.3
8100467,2007-09-01,72.0,25.52
8100467,2007-10-01,69.0,24.16
8100467,2007-11-01,93.0,20.24
8100467,2007-12-01,96.0,23.03
8100467,2008-01-01,78.0,20.82
8100467,2008-02-01,80.0,20.42
8100467,2008-03-01,85.0,20.73
8100467,2008-04-01,89.0,22.3
8100467,2008-05-01,70.0,16.0
8100467,2008-06-01,50.0,16.12
8100467,2008-07-01,52.0,19.14
8100467,2008-08-01,56.0,17.56
8100467,2008-09-01,72.0,21.35
8100467,2008-10-01,65.0,22.52
8100467,2008-11-01,85.0,21.71
8100467,2008-12-01,120.0,20.74
8100467,2009-01-01,93.0,23.44
8100467,2009-02-01,98.0,19.86
8100467,2009-03-01,85.0,17.83
8100467,2009-04-01,72.0,19.92
8100467,2009-05-01,72.0,18.18
8100467,2009-06-01,65.0,16.75
8100467,2009-07-01,52.0,18.0
8100467,2009-08-01,70.0,22.82
8100467,2009-09-01,56.0,23.92
8100467,2009-10-01,74.0,19.88
8100467,2009-11-01,80.0,22.71
8100467,2009-12-01,96.0,17.93
8100467,2010-01-01,93.0,23.29
8100467,2010-02-01,72.0,16.7
8100467,2010-03-01,72.0,20.45
8100467,2010-04-01,69.0,15.3
8100467,2010-05-01,76.0,26.44
8100467,2010-06-01,70.0,19.3
8100467,2010-07-01,52.0,24.12
8100467,2010-08-01,52.0,22.15
8100467,2010-09-01,65.0,20.12
8100467,2010-10-01,70.0,24.67
8100467,2010-11-01,70.0,21.27
8100467,2010-12-01,104.0,18.19
8100467,2011-01-01,100.0,19.92
8100467,2011-02-01,69.0,20.13
8100467,2011-03-01,82.0,20.83
8100467,2011-04-01,80.0,19.96
8100467,2011-05-01,69.0,9.91
8100467,2011-06-01,44.0,16.0
8100467,2011-07-01,89.0,21.07
8100467,2011-08-01,63.0,20.25
8100467,2011-09-01,69.0,21.83
8100467,2011-10-01,70.0,20.12
8100467,2011-11-01,80.0,23.17
8100467,2011-12-01,87.0,21.0
8100467,2012-01-01,74.0,23.44
8100467,2012-02-01,80.0,22.71
8100467,2012-03-01,70.0,21.15
8100467,2012-04-01,83.0,19.41
8100467,2012-05-01,65.0,20.65
8100467,2012-06-01,76.0,14.48
8100467,2012-07-01,52.0,23.12
8100467,2012-08-01,50.0,23.83
8100467,2012-09-01,59.0,20.8
8100467,2012-10-01,74.0,22.05
8100467,2012-11-01,80.0,24.54
8100467,2012-12-01,78.0,19.5
8100467,2013-01-01,74.0,27.19
8100467,2013-02-01,91.0,18.68
8100467,2013-03-01,63.0,14.06
8100467,2013-04-01,70.0,22.88
8100467,2013-05-01,72.0,10.13
8100467,2013-06-01,50.0,19.0
8100467,2013-07-01,56.0,21.71
8100467,2013-08-01,54.0,24.62
8100467,2013-09-01,52.0,20.61
8100467,2013-10-01,63.0,26.95
8100467,2013-11-01,72.0,26.84
8100467,2013-12-01,69.0,22.08
8100467,2014-01-01,72.0,26.1
8100467,2014-02-01,100.0,21.52
8100467,2014-03-01,83.0,21.54
8100467,2014-04-01,76.0,15.71
8100467,2014-05-01,46.0,8.81
8100467,2014-06-01,48.0,19.21
8100467,2014-07-01,98.0,19.35
8100467,2014-08-01,63.0,16.0
8100467,2014-09-01,63.0,23.91
8100467,2014-10-01,61.0,18.4
8100467,2014-11-01,85.0,21.33
8100467,2014-12-01,80.0,21.25
8100467,2015-01-01,82.0,24.2
8100467,2015-02-01,76.0,25.1
8100467,2015-03-01,82.0,23.6
8100467,2015-04-01,65.0,19.77
8100467,2015-05-01,63.0,20.61
8100467,2015-06-01,52.0,22.7
8100467,2015-07-01,56.0,18.54
8100467,2015-08-01,67.0,21.92
8100467,2015-09-01,67.0,23.43
8100467,2015-10-01,80.0,26.71
8100467,2015-11-01,72.0,25.88
8100467,2015-12-01,76.0,23.92
8100467,2016-01-01,76.0,23.52
8100467,2016-02-01,72.0,22.77
