Climate ID,Date,Monthly_Average_Rain_mm,Monthly_Average_Snow_cm,Monthly_Average_Precip_mm,Monthly_Snow_on_Grnd_cm,MonthlyMax_Snow_on_Grnd_cm
8100300,1995-01-01,2.129,2.7032,4.8323,40.0,61.0
8100300,1995-02-01,0.0,2.6286,2.6286,55.2857,70.0
8100300,1995-03-01,0.2774,1.3935,1.671,67.9231,96.0
8100300,1995-04-01,1.4533,0.6867,2.14,19.3333,42.0
8100300,1995-05-01,1.6194,0.0839,1.7032,0.0,0.0
8100300,1995-06-01,1.2933,0.0,1.2933,0.0,0.0
8100300,1995-07-01,0.9161,0.0,0.9161,0.0,0.0
8100300,1995-08-01,2.5419,0.0,2.5419,0.0,0.0
8100300,1995-09-01,1.08,0.0,1.08,0.0,0.0
8100300,1995-10-01,4.4258,0.0,4.4258,0.0,0.0
8100300,1995-11-01,1.4667,0.1379,1.6769,0.75,2.0
8100300,1995-12-01,0.0,2.0581,2.0581,30.0,45.0
8100300,1996-01-01,2.9806,1.3871,4.3677,30.6452,55.0
8100300,1996-02-01,0.8345,3.2759,4.1103,36.9655,63.0
8100300,1996-03-01,0.3484,1.7806,2.129,43.6774,68.0
8100300,1996-04-01,2.34,0.6867,3.0267,0.9333,14.0
8100300,1996-05-01,2.0258,0.2065,2.2323,0.2258,5.0
8100300,1996-06-01,3.42,0.0,3.42,0.0,0.0
8100300,1996-07-01,3.9742,0.0,3.9742,0.0,0.0
8100300,1996-08-01,1.9032,0.0,1.9032,0.0,0.0
8100300,1996-09-01,2.9933,0.0,2.9933,0.0,0.0
8100300,1996-10-01,2.671,0.0,2.671,0.0,0.0
8100300,1996-11-01,0.8667,0.9533,1.82,2.6333,10.0
8100300,1996-12-01,2.8903,1.0452,3.9355,1.7742,10.0
8100300,1997-01-01,0.2645,3.2452,3.5097,22.871,46.0
8100300,1997-02-01,0.0,3.1857,3.1857,49.75,66.0
8100300,1997-03-01,0.4581,1.6968,2.1548,64.129,70.0
8100300,1997-04-01,0.82,0.4067,1.2267,17.2333,45.0
8100300,1997-05-01,4.7419,0.0,4.7419,0.0,0.0
8100300,1997-06-01,1.6467,0.0,1.6467,0.0,0.0
8100300,1997-07-01,1.6065,0.0,1.6065,0.0,0.0
8100300,1997-08-01,3.0903,0.0,3.0903,0.0,0.0
8100300,1997-09-01,2.1333,0.0,2.1333,0.0,0.0
8100300,1997-10-01,0.4645,0.8903,1.3548,0.9677,16.0
8100300,1997-11-01,0.9333,1.14,2.0733,4.0333,22.0
8100300,1997-12-01,0.0323,3.6,3.6323,41.8889,102.0
8100300,1998-01-01,0.0452,3.2839,3.329,143.5161,169.0
8100300,1998-02-01,1.6214,0.0714,1.6929,130.2143,160.0
8100300,1998-03-01,2.1548,1.2323,3.3871,58.0,97.0
8100300,1998-04-01,1.9733,0.34,2.3133,8.3,28.0
8100300,1998-05-01,2.7032,0.0,2.7032,0.0,0.0
8100300,1998-06-01,2.5333,0.0,2.5333,0.0,0.0
8100300,1998-07-01,3.9032,0.0,3.9032,0.0,0.0
8100300,1998-08-01,2.4,0.0,2.4,0.0,0.0
8100300,1998-09-01,3.6467,0.0,3.6467,0.0,0.0
8100300,1998-10-01,2.4903,0.0,2.4903,0.0,0.0
8100300,1998-11-01,1.2933,1.1,2.3933,1.9,14.0
8100300,1998-12-01,0.6194,1.6387,2.2581,4.9231,20.0
8100300,1999-01-01,1.5097,2.8323,4.3419,41.4516,58.0
8100300,1999-02-01,1.1143,1.5286,2.6429,46.1429,59.0
8100300,1999-03-01,0.471,2.6,3.071,33.129,58.0
8100300,1999-04-01,1.2267,0.82,2.0467,1.7333,17.0
8100300,1999-05-01,1.5871,0.0194,1.6065,0.0,0.0
8100300,1999-06-01,2.9733,0.0,2.9733,0.0,0.0
8100300,1999-07-01,1.8194,0.0,1.8194,0.0,0.0
8100300,1999-08-01,4.1613,0.0,4.1613,0.0,0.0
8100300,1999-09-01,8.1933,0.0,8.1933,0.0,0.0
8100300,1999-10-01,3.4129,0.0323,3.4452,0.0,0.0
8100300,1999-11-01,2.0933,0.3333,2.4267,0.5,4.0
8100300,1999-12-01,1.9548,0.7097,2.6645,2.6129,12.0
8100300,2000-01-01,0.3613,2.8839,3.2452,27.0968,52.0
8100300,2000-02-01,0.6345,1.7793,2.4138,56.8621,82.0
8100300,2000-03-01,0.5484,1.1419,1.6903,33.0968,50.0
8100300,2000-04-01,4.3,0.6133,4.9133,0.3333,4.0
8100300,2000-05-01,3.7097,0.0,3.7097,0.0,0.0
8100300,2000-06-01,1.8067,0.0,1.8067,0.0,0.0
8100300,2000-07-01,2.2645,0.0,2.2645,0.0,0.0
8100300,2000-08-01,2.7355,0.0,2.7355,0.0,0.0
8100300,2000-09-01,1.32,0.0,1.32,0.0,0.0
8100300,2000-10-01,2.071,0.7935,2.8645,0.871,18.0
8100300,2000-11-01,1.8467,0.18,2.0267,0.4,4.0
8100300,2000-12-01,1.0645,2.1226,3.1871,6.7097,22.0
8100300,2001-01-01,0.0,0.729,0.729,27.1613,32.0
8100300,2001-02-01,0.1429,2.3357,2.4786,54.7143,68.0
8100300,2001-03-01,0.0129,3.0774,3.0903,61.0968,69.0
8100300,2001-04-01,0.6267,0.5467,1.1733,35.5667,93.0
8100300,2001-05-01,1.7871,0.0,1.7871,0.0,0.0
8100300,2001-06-01,2.3933,0.0,2.3933,0.0,0.0
8100300,2001-07-01,6.1419,0.0,6.1419,0.0,0.0
8100300,2001-08-01,2.9226,0.0,2.9226,0.0,0.0
8100300,2001-09-01,2.9467,0.0,2.9467,0.0,0.0
8100300,2001-10-01,2.0903,0.0,2.0903,0.0,0.0
8100300,2003-04-01,0.8867,0.68,1.5667,0.0,0.0
8100300,2003-05-01,2.1613,0.0,2.1613,0.0,0.0
8100300,2003-06-01,2.7,0.0,2.7,0.0,0.0
8100300,2003-07-01,3.2581,0.0,3.2581,0.0,0.0
8100300,2003-08-01,1.9533,0.0,1.9533,0.0,0.0
8100300,2003-09-01,1.2286,0.0,1.2286,0.0,0.0
8100300,2003-10-01,4.7806,0.3742,5.1548,0.7742,9.0
8100300,2003-11-01,2.9933,0.6067,3.6,0.5333,7.0
8100300,2003-12-01,1.0903,2.3548,3.4452,13.871,44.0
8100300,2004-01-01,0.0,1.4867,1.4867,16.1935,31.0
8100300,2004-02-01,0.0138,0.9429,0.9571,29.6897,36.0
8100300,2004-03-01,0.5871,0.4857,1.1357,15.2903,26.0
8100300,2004-04-01,1.8154,0.3067,2.1692,1.8667,11.0
8100300,2004-05-01,1.0258,0.0,1.0258,0.0,0.0
8100300,2004-06-01,3.0,0.0,3.0,0.0,0.0
8100300,2004-07-01,4.0452,0.0,4.0452,0.0,0.0
8100300,2004-08-01,3.671,0.0,3.671,0.0,0.0
8100300,2004-09-01,2.0133,0.0,2.0133,0.0,0.0
8100300,2004-10-01,1.2774,0.0,1.2774,0.0,0.0
8100300,2004-11-01,2.26,0.2867,2.5467,0.4667,7.0
8100300,2004-12-01,1.8903,1.7806,3.671,13.3548,26.0
8100300,2005-01-01,0.4774,2.0839,2.5613,15.2258,36.0
8100300,2005-02-01,0.04,0.7786,0.912,26.9643,34.0
8100300,2007-07-01,2.7533,0.0,2.7533,0.0,0.0
8100300,2007-08-01,4.3161,0.0,4.3161,0.0,0.0
8100300,2007-09-01,1.34,0.0,1.34,0.0,0.0
8100300,2007-10-01,2.8258,0.0645,2.8903,0.0645,2.0
8100300,2007-11-01,5.1333,1.34,6.4733,3.3333,14.0
8100300,2007-12-01,0.4258,3.4968,3.9226,33.7742,46.0
8100300,2008-01-01,0.9032,1.929,2.8323,38.4516,55.0
8100300,2008-02-01,0.7241,4.4069,5.131,66.8966,84.0
8100300,2008-03-01,0.6903,2.7161,3.4065,82.871,92.0
8100300,2008-04-01,2.26,0.24,2.5,40.1333,86.0
8100300,2008-05-01,2.1355,0.0,2.1355,0.0,0.0
8100300,2008-06-01,4.4333,0.0,4.4333,0.0,0.0
8100300,2008-07-01,3.3548,0.0,3.3548,0.0,0.0
8100300,2008-08-01,2.7161,0.0,2.7161,0.0,0.0
8100300,2008-09-01,4.1067,0.0,4.1067,0.0,0.0
8100300,2008-10-01,3.7935,0.0129,3.8065,0.0,0.0
8100300,2008-11-01,3.6533,0.5133,4.1667,0.8667,5.0
8100300,2008-12-01,1.6581,2.5032,4.1613,15.0645,34.0
8100300,2009-01-01,0.0,2.729,2.729,30.4839,60.0
8100300,2009-02-01,0.8286,2.25,3.0786,48.7857,58.0
8100300,2009-03-01,0.6516,1.7806,2.4323,35.1935,41.0
8100300,2009-04-01,2.84,0.3867,3.2267,2.1,16.0
8100300,2009-05-01,3.7742,0.0,3.7742,0.0,0.0
8100300,2009-06-01,3.48,0.0,3.48,0.0,0.0
8100300,2009-07-01,4.7742,0.0,4.7742,0.0,0.0
8100300,2009-08-01,1.5115,0.0,1.5115,0.0,0.0
8100300,2009-09-01,2.1207,0.0,2.1207,0.0,0.0
8100300,2009-10-01,3.4677,0.4645,3.9323,0.8387,13.0
8100300,2009-11-01,3.28,0.3767,3.6567,0.1667,5.0
8100300,2009-12-01,1.1258,1.9097,3.0355,14.3871,33.0
8100300,2010-01-01,1.2258,1.4613,2.6871,20.2581,30.0
8100300,2010-02-01,0.8036,1.9893,2.7929,19.3571,27.0
8100300,2010-03-01,2.8,0.3871,3.1871,9.5806,24.0
8100300,2010-04-01,2.6133,0.0,2.6133,0.0,0.0
8100300,2010-05-01,1.7968,0.0,1.7968,0.0,0.0
8100300,2010-06-01,4.97,0.0,4.97,0.0,0.0
8100300,2010-07-01,3.1667,0.0,3.1667,0.0,0.0
8100300,2010-08-01,2.2636,0.0,2.2636,0.0,0.0
