"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.63","SHEARWATER A","8205090","1944-01","1944","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1944-02","1944","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1944-03","1944","03","2.5","","-6.5","","-2.0","","13.3","","-16.1","","131.6","","14.0","","145.5","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1944-04","1944","04","8.1","","-1.0","","3.6","","13.9","","-3.3","S","94.0","","10.7","","104.6","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1944-05","1944","05","16.4","","5.2","","10.8","","29.4","","-1.7","","7.6","","0.0","","7.6","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1944-06","1944","06","18.6","","8.8","","13.7","","30.6","","2.2","","153.4","","0.0","","153.4","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1944-07","1944","07","24.6","","13.8","","19.2","","31.7","","9.4","","50.0","","0.0","","50.0","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1944-08","1944","08","24.2","","14.9","","19.6","","31.1","","10.0","S","20.8","","0.0","","20.8","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1944-09","1944","09","19.7","","11.4","","15.6","","22.8","S","4.4","","126.2","","0.0","","126.2","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1944-10","1944","10","13.1","","6.1","","9.6","","18.9","","-3.3","","227.3","","0.0","","227.3","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1944-11","1944","11","8.6","","1.9","","5.3","","18.9","","-3.9","","160.3","","0.0","T","160.3","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1944-12","1944","12","3.1","","-5.7","","-1.3","","11.7","","-15.0","S","95.3","","29.2","","124.5","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1945-01","1945","01","1.1","","-7.4","","-3.2","","10.0","","-18.9","","148.6","","44.5","","193.0","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1945-02","1945","02","0.3","","-7.6","","-3.7","","7.8","","-13.3","","82.8","","59.7","","142.5","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1945-03","1945","03","5.6","","-2.7","","1.5","","18.3","","-11.7","","59.9","","17.8","","77.7","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1945-04","1945","04","9.9","","1.7","","5.8","","27.8","","-3.9","","86.1","","0.0","T","86.1","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1945-05","1945","05","11.7","","4.0","","7.9","","22.8","","-3.3","","189.2","","0.0","","189.2","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1945-06","1945","06","16.8","","8.6","","12.7","","25.6","","3.3","S","150.6","","0.0","","150.6","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1945-07","1945","07","23.1","","13.8","","18.5","","29.4","","10.0","","58.7","","0.0","","58.7","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1945-08","1945","08","22.2","","14.6","","18.4","","27.8","","10.0","","66.5","","0.0","","66.5","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1945-09","1945","09","19.9","","11.9","","15.9","","33.3","","3.3","","34.0","","0.0","","34.0","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1945-10","1945","10","13.0","","5.6","","9.3","","18.9","","-1.1","","208.5","","0.0","","208.5","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1945-11","1945","11","7.9","","0.8","","4.4","","15.6","","-6.1","","201.7","","25.9","","227.6","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1945-12","1945","12","0.5","","-6.3","","-2.9","","9.4","S","-15.0","","101.1","","42.9","","144.0","","","","","","",""
"-63.50","44.63","SHEARWATER A","8205090","1946-01","1946","01","-0.3","","-9.3","","-4.8","","10.6","","-22.8","","54.1","","57.9","","112.0","","","","","","",""
