"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-60.05","46.17","SYDNEY A","8205700","1941-01","1941","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1941-02","1941","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1941-03","1941","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1941-04","1941","04","6.1","","-2.0","","2.1","","18.3","","-10.0","","86.4","","29.2","","115.6","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1941-05","1941","05","11.7","","2.3","","7.0","","20.6","","-3.9","","134.4","","7.1","","141.5","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1941-06","1941","06","17.7","","6.6","","12.2","","29.4","","0.0","","63.8","","0.0","","63.8","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1941-07","1941","07","23.9","","12.9","","18.4","","31.7","","5.6","","66.5","","0.0","","66.5","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1941-08","1941","08","19.2","","10.9","","15.1","","27.8","","4.4","","83.1","","0.0","","83.1","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1941-09","1941","09","15.8","","6.8","","11.3","","25.0","","-0.6","","59.9","","0.0","","59.9","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1941-10","1941","10","11.2","","2.8","","7.0","","17.2","S","-1.1","","150.1","","0.0","T","150.1","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1941-11","1941","11","6.9","","-0.6","","3.2","","14.4","S","-7.8","","106.9","","10.9","","117.9","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1941-12","1941","12","1.4","","-4.8","","-1.7","","6.7","S","-12.2","S","96.3","","51.1","","147.3","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1942-01","1942","01","-1.1","","-10.2","","-5.7","","8.9","","-16.7","","76.5","","56.9","","133.4","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1942-02","1942","02","-2.2","","-9.6","","-5.9","","5.6","","-16.7","","27.4","","38.6","","66.0","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1942-03","1942","03","2.7","","-3.9","","-0.6","","7.8","","-14.4","","102.1","","41.9","","144.0","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1942-04","1942","04","7.0","","-1.1","","3.0","","27.2","","-7.2","","117.9","","25.7","","143.5","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1942-05","1942","05","15.6","","4.6","","10.1","","28.3","","-0.6","","54.1","","1.3","","55.4","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1942-06","1942","06","18.4","","7.8","","13.1","","27.2","","1.7","","102.6","","0.0","","102.6","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1942-07","1942","07","23.5","","13.2","","18.4","","29.4","S","6.7","","117.9","","0.0","","117.9","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1942-08","1942","08","23.4","","13.4","","18.4","","30.6","","5.0","","59.4","","0.0","","59.4","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1942-09","1942","09","21.7","","11.2","","16.5","","32.2","S","1.1","","117.1","","0.0","","117.1","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1942-10","1942","10","14.9","","5.4","","10.2","","19.4","S","-1.7","","172.0","","0.0","","172.0","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1942-11","1942","11","7.3","","-0.1","","3.6","","18.3","","-6.1","S","137.2","","5.1","","142.2","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1942-12","1942","12","-1.6","","-6.9","","-4.3","","8.9","","-16.7","","77.2","","25.9","","103.1","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1943-01","1943","01","-4.7","","-13.7","","-9.2","","3.3","","-23.3","","2.5","","44.2","","46.7","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1943-02","1943","02","0.4","","-9.6","","-4.6","","10.6","","-23.9","","83.1","","43.2","","126.2","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1943-03","1943","03","1.4","","-6.8","","-2.7","","12.8","","-17.2","","90.9","","26.4","","117.3","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1943-04","1943","04","6.1","","-1.6","","2.3","","20.6","","-7.8","","39.6","","17.0","","56.6","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1943-05","1943","05","10.9","","1.9","","6.4","","25.6","","-2.8","","123.4","","0.0","T","123.4","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1943-06","1943","06","15.3","","5.8","","10.6","","23.9","","1.7","S","74.2","","0.0","","74.2","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1943-07","1943","07","22.7","","","M","","M","29.4","","6.1","","94.2","","0.0","","94.2","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1943-08","1943","08","21.2","","","M","","M","28.9","","5.6","","113.0","","0.0","","113.0","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1943-09","1943","09","","M","10.9","","","M","27.8","","5.6","S","151.6","","0.0","","151.6","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1943-10","1943","10","14.6","","6.3","","10.5","","22.2","","-2.8","","107.7","","0.0","","107.7","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1943-11","1943","11","7.9","","1.5","","4.7","","14.4","","-6.1","","217.4","","5.1","","222.5","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1943-12","1943","12","-0.2","","-7.6","","-3.9","","6.1","S","-17.8","","33.8","","20.6","","54.4","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1944-01","1944","01","-1.4","","-7.3","","-4.4","","6.1","","-12.8","","16.8","","34.3","","51.1","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1944-02","1944","02","-2.7","","-11.7","","-7.2","","9.4","","-19.4","","45.5","","53.3","","98.8","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1944-03","1944","03","0.4","","-6.8","","-3.2","","12.8","","-15.6","","50.0","","10.4","","60.5","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1944-04","1944","04","5.4","","-2.0","","1.7","","17.8","","-7.2","","28.2","","39.9","","68.1","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1944-05","1944","05","14.9","","3.4","","9.2","","27.2","","-1.7","","41.7","","0.0","","41.7","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1944-06","1944","06","19.0","","8.9","","14.0","","34.4","","2.2","","132.8","","0.0","","132.8","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1944-07","1944","07","22.4","","12.1","","17.3","","30.6","","6.1","","55.9","","0.0","","55.9","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1944-08","1944","08","25.0","","14.9","","20.0","","35.0","S","8.9","S","25.1","","0.0","","25.1","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1944-09","1944","09","19.2","","11.2","","15.2","","25.6","","1.7","","110.0","","0.0","","110.0","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1944-10","1944","10","12.4","","5.0","","8.7","","19.4","","-5.6","","252.2","","0.8","","253.0","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1944-11","1944","11","8.1","","2.8","","5.5","","20.0","","-1.1","S","199.1","","0.0","T","199.1","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1944-12","1944","12","1.8","","-4.2","","-1.2","","11.1","","-14.4","","86.1","","58.4","","144.5","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1945-01","1945","01","0.7","","-6.4","","-2.9","","9.4","","-15.6","","129.0","","49.5","","178.6","","","","","","",""
"-60.05","46.17","SYDNEY A","8205700","1945-02","1945","02","-1.3","","-7.8","","-4.6","","6.1","S","-15.6","","27.7","","52.3","","80.0","","","","","","",""
