Year,Provinces,Emissions
2013-01-01,Alberta,291469.0
2013-01-01,British Columbia,60865.0
2013-01-01,Manitoba,21237.0
2013-01-01,New Brunswick,14040.0
2013-01-01,Newfoundland and Labrador,9795.0
2013-01-01,Northwest Territories,1578.0
2013-01-01,Nova Scotia,18043.0
2013-01-01,Nunavut,687.0
2013-01-01,Ontario,168058.0
2013-01-01,Prince Edward Island,1645.0
2013-01-01,Quebec,78819.0
2013-01-01,Saskatchewan,83193.0
2013-01-01,Yukon,597.0
2014-01-01,Alberta,293636.0
2014-01-01,British Columbia,60407.0
2014-01-01,Manitoba,21194.0
2014-01-01,New Brunswick,13727.0
2014-01-01,Newfoundland and Labrador,10788.0
2014-01-01,Northwest Territories,1542.0
2014-01-01,Nova Scotia,16121.0
2014-01-01,Nunavut,678.0
2014-01-01,Ontario,164388.0
2014-01-01,Prince Edward Island,1580.0
2014-01-01,Quebec,76633.0
2014-01-01,Saskatchewan,86262.0
2014-01-01,Yukon,501.0
2015-01-01,Alberta,288519.0
2015-01-01,British Columbia,59724.0
2015-01-01,Manitoba,20874.0
2015-01-01,New Brunswick,13800.0
2015-01-01,Newfoundland and Labrador,10969.0
2015-01-01,Northwest Territories,1575.0
2015-01-01,Nova Scotia,16303.0
2015-01-01,Nunavut,629.0
2015-01-01,Ontario,163265.0
2015-01-01,Prince Edward Island,1543.0
2015-01-01,Quebec,76906.0
2015-01-01,Saskatchewan,87386.0
2015-01-01,Yukon,528.0
2016-01-01,Alberta,274453.0
2016-01-01,British Columbia,61609.0
2016-01-01,Manitoba,21178.0
2016-01-01,New Brunswick,14624.0
2016-01-01,Newfoundland and Labrador,11016.0
2016-01-01,Northwest Territories,1307.0
2016-01-01,Nova Scotia,15574.0
2016-01-01,Nunavut,734.0
2016-01-01,Ontario,163113.0
2016-01-01,Prince Edward Island,1584.0
2016-01-01,Quebec,76911.0
2016-01-01,Saskatchewan,82248.0
2016-01-01,Yukon,527.0
2017-01-01,Alberta,284380.0
2017-01-01,British Columbia,62558.0
2017-01-01,Manitoba,21651.0
2017-01-01,New Brunswick,13553.0
2017-01-01,Newfoundland and Labrador,10923.0
2017-01-01,Northwest Territories,1403.0
2017-01-01,Nova Scotia,15881.0
2017-01-01,Nunavut,739.0
2017-01-01,Ontario,157928.0
2017-01-01,Prince Edward Island,1609.0
2017-01-01,Quebec,79260.0
2017-01-01,Saskatchewan,87149.0
2017-01-01,Yukon,560.0
2018-01-01,Alberta,282884.0
2018-01-01,British Columbia,64501.0
2018-01-01,Manitoba,22445.0
2018-01-01,New Brunswick,13404.0
2018-01-01,Newfoundland and Labrador,10676.0
2018-01-01,Northwest Territories,1426.0
2018-01-01,Nova Scotia,16547.0
2018-01-01,Nunavut,736.0
2018-01-01,Ontario,163633.0
2018-01-01,Prince Edward Island,1587.0
2018-01-01,Quebec,79943.0
2018-01-01,Saskatchewan,88608.0
2018-01-01,Yukon,635.0
2019-01-01,Alberta,284601.0
2019-01-01,British Columbia,63291.0
2019-01-01,Manitoba,22218.0
2019-01-01,New Brunswick,13099.0
2019-01-01,Newfoundland and Labrador,10841.0
2019-01-01,Northwest Territories,1419.0
2019-01-01,Nova Scotia,15780.0
2019-01-01,Nunavut,733.0
2019-01-01,Ontario,164943.0
2019-01-01,Prince Edward Island,1627.0
2019-01-01,Quebec,81876.0
2019-01-01,Saskatchewan,86172.0
2019-01-01,Yukon,688.0
2020-01-01,Alberta,266043.0
2020-01-01,British Columbia,59085.0
2020-01-01,Manitoba,21146.0
2020-01-01,New Brunswick,11112.0
2020-01-01,Newfoundland and Labrador,8597.0
2020-01-01,Northwest Territories,1216.0
2020-01-01,Nova Scotia,14392.0
2020-01-01,Nunavut,634.0
2020-01-01,Ontario,148749.0
2020-01-01,Prince Edward Island,1577.0
2020-01-01,Quebec,74524.0
2020-01-01,Saskatchewan,74591.0
2020-01-01,Yukon,593.0
2021-01-01,Alberta,268491.0
2021-01-01,British Columbia,60588.0
2021-01-01,Manitoba,20681.0
2021-01-01,New Brunswick,11814.0
2021-01-01,Newfoundland and Labrador,7980.0
2021-01-01,Northwest Territories,1280.0
2021-01-01,Nova Scotia,14249.0
2021-01-01,Nunavut,698.0
2021-01-01,Ontario,151583.0
2021-01-01,Prince Edward Island,1622.0
2021-01-01,Quebec,77529.0
2021-01-01,Saskatchewan,76404.0
2021-01-01,Yukon,643.0
2022-01-01,Alberta,265466.0
2022-01-01,British Columbia,61543.0
2022-01-01,Manitoba,21728.0
2022-01-01,New Brunswick,12421.0
2022-01-01,Newfoundland and Labrador,8051.0
2022-01-01,Northwest Territories,1353.0
2022-01-01,Nova Scotia,14290.0
2022-01-01,Nunavut,694.0
2022-01-01,Ontario,157559.0
2022-01-01,Prince Edward Island,1600.0
2022-01-01,Quebec,79284.0
2022-01-01,Saskatchewan,75230.0
2022-01-01,Yukon,657.0
2023-01-01,Alberta,263377.0
2023-01-01,British Columbia,60417.0
2023-01-01,Manitoba,21275.0
2023-01-01,New Brunswick,11468.0
2023-01-01,Newfoundland and Labrador,7919.0
2023-01-01,Northwest Territories,1359.0
2023-01-01,Nova Scotia,13539.0
2023-01-01,Nunavut,711.0
2023-01-01,Ontario,158727.0
2023-01-01,Prince Edward Island,1592.0
2023-01-01,Quebec,78928.0
2023-01-01,Saskatchewan,73910.0
2023-01-01,Yukon,668.0
