"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada","2021A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","797662","","","","0"
"2014","Canada","2021A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","798496","","","","0"
"2015","Canada","2021A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","794941","","","","0"
"2016","Canada","2021A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","769866","","","","0"
"2017","Canada","2021A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","788862","","","","0"
"2018","Canada","2021A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","797758","","","","0"
"2019","Canada","2021A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","794102","","","","0"
"2020","Canada","2021A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","710002","","","","0"
"2021","Canada","2021A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","725870","","","","0"
"2022","Canada","2021A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","738307","","","","0"
"2023","Canada","2021A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","731305","","","","0"
"2013","Canada","2021A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","666162","","","","0"
"2014","Canada","2021A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","669007","","","","0"
"2015","Canada","2021A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","666209","","","","0"
"2016","Canada","2021A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","643007","","","","0"
"2017","Canada","2021A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","658947","","","","0"
"2018","Canada","2021A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","665283","","","","0"
"2019","Canada","2021A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","660522","","","","0"
"2020","Canada","2021A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","598721","","","","0"
"2021","Canada","2021A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","615378","","","","0"
"2022","Canada","2021A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","623320","","","","0"
"2023","Canada","2021A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","619036","","","","0"
"2013","Canada","2021A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","131500","","","","0"
"2014","Canada","2021A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","129489","","","","0"
"2015","Canada","2021A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","128732","","","","0"
"2016","Canada","2021A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","126859","","","","0"
"2017","Canada","2021A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","129916","","","","0"
"2018","Canada","2021A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","132475","","","","0"
"2019","Canada","2021A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","133581","","","","0"
"2020","Canada","2021A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","111281","","","","0"
"2021","Canada","2021A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","110492","","","","0"
"2022","Canada","2021A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","114987","","","","0"
"2023","Canada","2021A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","112269","","","","0"
"2013","Canada","2021A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","750044","","","","0"
"2014","Canada","2021A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","747495","","","","0"
"2015","Canada","2021A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","742044","","","","0"
"2016","Canada","2021A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","724909","","","","0"
"2017","Canada","2021A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","737607","","","","0"
"2018","Canada","2021A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","747051","","","","0"
"2019","Canada","2021A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","747308","","","","0"
"2020","Canada","2021A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","682283","","","","0"
"2021","Canada","2021A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","693574","","","","0"
"2022","Canada","2021A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","699899","","","","0"
"2023","Canada","2021A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","693912","","","","0"
"2013","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-47618","","","","0"
"2014","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-50999","","","","0"
"2015","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-52896","","","","0"
"2016","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-44957","","","","0"
"2017","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-51256","","","","0"
"2018","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-50708","","","","0"
"2019","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-46797","","","","0"
"2020","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-27718","","","","0"
"2021","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-32295","","","","0"
"2022","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-38409","","","","0"
"2023","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-37394","","","","0"
"2013","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","9034","","","","0"
"2014","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10051","","","","0"
"2015","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10703","","","","0"
"2016","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10913","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10664","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10350","","","","0"
