*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-03-25"
"",""
"Annual Summary Report",""
"Pollutant: CO",""
"Units: ppm",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56037903","-52.71147156","7","1HR","0.02","0.09","0.11","0.13","0.15","0.18","0.21","0.25","0.32","0.37","0.68","1.23","98.86156648","0.14","0.15","0.16","0.16","0.15","0.14","0.15","0.14","0.13","0.14","0.15","0.13","0.15","0.063564513","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513077","-52.79476166","135","1HR","0.06","0.11","0.13","0.15","0.17","0.2","0.23","0.26","0.29","0.31","0.57","0.86","99.89754098","0.14","0.14","0.13","0.14","0.15","0.16","0.2","0.21","0.18","0.16","0.17","0.13","0.16","0.053661328","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92695999","-55.65966034","62","1HR","0.04","0.09","0.11","0.12","0.14","0.16","0.17","0.19","0.24","0.29","0.48","0.7","89.84517304","0.16","","0.16","0.15","0.12","0.1","0.1","0.1","0.1","0.12","0.14","0.16","0.13","0.043862832","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95223999","-57.92206955","100","1HR","0","0.09","0.12","0.14","0.15","0.16","0.18","0.21","0.26","0.3","0.45","0.57","99.32832423","0.17","0.17","0.17","0.16","0.15","0.13","0.12","0.11","0.1","0.11","0.14","0.16","0.14","0.042343646","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899139","-55.19852066","1","1HR","0","0.08","0.1","0.12","0.13","0.14","0.15","0.17","0.19","0.25","1.68","1.85","88.20582878","0.14","0.15","0.14","0.19","0.13","0.11","0.1","0.11","0.11","0.11","0.1","0.09","0.12","0.085447278","",""
"011002","Labrador City","NL","317 Hudson Drive","52.94548798","-66.91030884","558","1HR","0.05","0.87","1.52","2.36","3.9","5.52","9.55","15.48","27.81","38.31","73.36","97.84","96.73269581","3.06","4.27","4.94","3.22","3.73","3.88","3.47","3.22","2.93","4.46","6.83","9.67","4.52","7.031083206","",""
"030118","Halifax","NS","1649 Barrington Street","44.64642334","-63.57338333","18","1HR","0","0.08","0.12","0.15","0.21","0.26","0.33","0.4","0.46","0.51","0.68","1.76","99.03233151","0.19","0.31","0.33","0.24","0.14","0.11","0.15","0.14","0.14","0.15","0.15","0.13","0.18","0.104141798","",""
"030310","Sydney","NS","71 Welton Street","46.14221954","-60.17251968","27","1HR","0","0.04","0.08","0.11","0.13","0.15","0.18","0.22","0.27","0.34","0.64","0.95","97.59790528","0.06","0.14","0.14","0.14","0.11","0.06","0.08","0.1","0.09","0.12","0.15","0.15","0.11","0.06718471","",""
"040103","Fredericton","NB","437 Aberdeen Street","45.95731735","-66.64672089","21","1HR","0","0.11","0.15","0.18","0.22","0.25","0.31","0.38","0.57","0.73","1.37","2.02","99.79508197","0.27","0.29","0.23","0.18","0.17","0.15","0.17","0.17","0.15","0.19","0.19","0.32","0.21","0.12281668","",""
"040206","Saint John","NB","189 Prince William","45.26967621","-66.06150818","29","1HR","0.11","0.15","0.17","0.18","0.21","0.22","0.25","0.28","0.34","0.4","0.75","0.88","18.39708561","0.19","0.2","","","","","","","","","","","","","",""
"040209","Saint John","NB","8 Castle Street","45.28028107","-66.05610657","41","1HR","0","0.1","0.13","0.14","0.16","0.17","0.19","0.21","0.25","0.28","0.47","0.67","74.21448087","","","","0.17","0.15","0.13","0.14","0.14","0.13","0.14","0.15","0.17","","","",""
"040302","Moncton","NB","5 Thanet Street","46.10157776","-64.78965759","9","1HR","0","0.05","0.11","0.17","0.24","0.27","0.31","0.35","0.44","0.53","0.91","1.59","99.94307832","0.18","0.23","0.24","0.19","0.21","0.1","0.14","0.16","0.13","0.2","0.21","0.17","0.18","0.11559888","",""
"050109","Montréal","QC","2495 Duncan / Decarie, Mt-Royal","45.5026474","-73.66390991","41","1HR","0.09","0.16","0.2","0.24","0.28","0.32","0.39","0.46","0.57","0.66","1.09","1.4","99.53324226","0.33","0.27","0.3","0.24","0.25","0.24","0.22","0.23","0.24","0.24","0.29","0.27","0.26","0.108333667","",""
"050113","Laval","QC","1160 Boul Pie-Ix","45.54746246","-73.7483139","35","1HR","0.06","0.13","0.16","0.18","0.22","0.25","0.32","0.41","0.51","0.61","1.09","1.33","95.32103825","0.3","0.24","0.25","0.2","0.2","0.17","0.16","0.17","0.18","0.2","0.24","0.23","0.21","0.102505349","",""
