*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-03-25"
"",""
"Annual Summary Report",""
"Pollutant: NOX",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56037903","-52.71147156","7","1HR","0","1.4","2.5","4.1","7.5","11.4","20","30","46.3","59.2","124.1","198.7","98.98679417","8.6","6.3","5.2","8.1","11.1","8.6","11.1","6.4","8.7","7","12.3","7.3","8.4","12.31997074","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513077","-52.79476166","135","1HR","0","0.6","1.1","1.6","2.2","2.8","4.2","6.1","10.1","14.8","39.5","76.2","99.92030965","2.5","2.3","2","2.2","1.9","2.5","2","2.2","2","2.3","3.3","2.6","2.3","3.19530137","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92695999","-55.65966034","62","1HR","0","0.6","1","1.6","2.4","3.3","5.9","9.6","16.5","22.7","56.7","115.6","93.19216758","3.6","","3","3.7","3.4","2.5","1.8","3.1","2.6","3","2.4","2.6","2.9","4.977713947","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95223999","-57.92206955","100","1HR","0","0.7","1.2","1.9","3.3","4.6","7.5","10.9","15.9","20","36.1","88.5","99.26001821","3.6","3.3","3.4","3.5","3.2","3","3.6","2.2","2.9","3.1","3.7","4","3.3","4.059268113","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899139","-55.19852066","1","1HR","-2","0.1","0.3","0.5","0.9","1.2","1.8","2.5","4.8","8.4","24.3","49.7","99.72677596","1.9","1.8","1.4","0.9","0.9","0.6","0.4","0.5","0.4","0.7","1.1","0.8","0.9","1.896925207","",""
"011002","Labrador City","NL","317 Hudson Drive","52.94548798","-66.91030884","558","1HR","-1.2","0.7","1.5","2.3","3.8","5.4","9.5","15.3","27.8","38.1","73.4","97.8","96.73269581","1.7","4.3","4.9","3.2","3.7","3.9","3.5","3.2","2.9","4.5","6.8","9.7","4.4","7.066548196","",""
"020104","Charlottetown","PE","3 Brighton Road","46.23300171","-63.13666916","21","1HR","0","0.3","0.7","1.2","1.9","2.7","4.6","7.1","12.3","17.6","40","62.9","98.25819672","2.6","3.2","2.5","2.1","1.7","1.1","1.4","1.4","1.9","2.7","2.8","2.4","2.1","3.450482642","",""
"020301","Wellington","PE","40 Route 125 (Hackmatack Road)","46.4784317","-63.98762894","6","1HR","0","0","0.2","0.4","0.8","1.1","1.6","2.3","3.1","3.8","8.2","18","84.66530055","0.8","1.2","0.9","0.7","0.6","0.7","0.8","0.5","0.1","","0.4","0.5","0.7","0.855559521","",""
"020401","Southampton","PE","2580 Route 313 (Cardigan Road)","46.38634872","-62.58272171","30","1HR","0","0","0","0.1","0.3","0.5","0.8","1.2","1.9","2.4","5.8","17.4","68.72723133","0.3","","","","0.2","","0.2","0.3","0.3","0.4","0.3","0.4","","","",""
"030118","Halifax","NS","1649 Barrington Street","44.64642334","-63.57338333","18","1HR","0.1","4","7.5","11.3","17.2","22.1","31.1","40.9","54.2","65.1","134.1","249.7","99.53324226","19.5","16.9","15.1","12.8","15","12.7","15.2","11.1","15.7","19.2","16.7","14","15.3","13.9595571","",""
