*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DMAX8HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2/11/2026"
"",""
"Annual Summary Report",""
"Pollutant: O3 ",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
" ",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DMax8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"Daily Max 8hr is valid if at least 18 hours in day have valid running 8-hour average",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily max 8-hr average",""
"Annual average and standard deviation are reported if 50% of days have daily max 8-hr average and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56038","-52.71147","7","1HR","3","16","25","30","35","38","40","42","44","46","50","54","98.9640255","32","33","37","35","29","26","23","23","22","27","27","37","29","9.202148943","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513","-52.79476","135","1HR","1","17","24","29","33","35","37","38","40","41","45","50","99.74954463","32","33","34","33","28","25","21","21","22","26","25","34","28","7.651555617","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92696","-55.65966","62","1HR","1","14","23","29","34","37","40","42","44","45","49","51","90.51684882","32","","38","36","32","26","21","19","18","23","25","35","28","9.886890835","",""
"010601","Happy Valley - Goose Bay","NL","Abbot Street","53.306","-60.36314","39","1HR","1","16","24","30","35","37","39","41","44","45","54","60","98.78187614","34","34","35","35","35","27","20","19","20","26","27","33","29","8.862125002","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95224","-57.92207","100","1HR","2","16","23","28","34","37","40","41","43","45","49","52","99.70400729","32","37","37","35","28","26","20","20","19","24","24","34","28","9.077356239","",""
"010801","Port Aux Choix","NL","Port Au Choix (Town Hall)","50.7123","-57.36421","13","1HR","3","17","23","29","34","37","39","41","43","44","47","48","80.39617486","","","36","36","32","28","21","21","21","28","27","36","","","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","1HR","1","18","25","31","36","38","40","42","44","45","50","55","99.49908925","35","38","38","37","31","27","24","21","21","25","27","36","30","9.204678174","",""
"011002","Labrador City","NL","317 Hudson Drive","52.945487","-66.910306","558","1HR","0","18","28","36","43","46","49","51","54","56","64","70","94.1370674","45","41","41","42","40","31","26","24","24","30","31","37","34","11.92381406","",""
"020104","Charlottetown","PE","3 Brighton Road","46.233","-63.13667","21","1HR","1","17","24","29","33","35","38","40","43","45","55","64","98.37204007","31","33","35","34","29","26","24","22","25","21","25","31","28","8.529740395","",""
"020301","Wellington","PE","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","1HR","0","13","22","28","33","36","38","40","43","45","60","68","94.91120219","32","35","35","35","28","25","21","19","18","20","23","","27","10.09455203","",""
"020401","Southampton","PE","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","1HR","1","15","23","30","34","36","39","41","43","45","51","58","87.47723133","34","35","36","34","29","","22","20","20","21","24","33","28","9.41706189","",""
"030118","Halifax","NS","1649 Barrington Street","44.646425","-63.573383","18","1HR","0","9","15","19","23","26","29","32","36","38","43","47","99.63570128","19","21","21","25","19","19","18","16","15","15","18","23","19","7.832938464","",""
"030120","Dartmouth","NS","341 Cherrybrook Road","44.7198","-63.48076","68","1HR","1","15","23","29","33","36","39","42","45","46","51","54","97.95081967","31","34","36","36","29","27","25","21","21","22","24","30","28","9.195179519","",""
"030201","Port Hawkesbury","NS","18 Embree Street","45.614161","-61.362356","14","1HR","1","17","24","29","34","36","39","41","43","45","52","58","98.53142077","33","35","36","34","29","27","26","22","22","22","25","31","28","8.614584785","",""
"030310","Sydney","NS","71 Welton Street","46.14222","-60.17252","27","1HR","1","16","24","29","34","36","39","40","42","44","48","59","98.87295082","33","33","35","35","29","25","25","22","21","23","25","32","28","8.8278076","",""
"030501","Kejimkujik","NS","National Park","44.433611","-65.205833","127","1HR","3","15","22","28","33","36","39","41","44","46","53","60","97.928051","32","35","36","36","29","25","24","21","19","21","23","29","27","9.060764814","",""
"030502","Kejimkujik","NS","National Park","44.43244","-65.20264","124","1HR","1","14","23","28","34","36","40","43","46","49","58","71","98.04189435","32","34","36","35","30","27","27","22","20","21","22","29","28","9.909643261","",""
"030701","Aylesford","NS","1009 Brow Mountain Road, Kings County","45.07254","-64.84025","235","1HR","8","21","27","32","35","38","40","43","46","49","63","75","98.69080146","35","36","37","37","32","29","29","26","25","27","28","32","31","7.792581315","",""
"030901","Pictou","NS","91 Beeches Road","45.681744","-62.696575","12","1HR","1","13","19","23","28","31","34","36","39","41","47","49","97.19945355","27","28","30","28","25","22","21","18","17","17","19","25","23","8.186703576","",""
"031101","Kentville","NS","32 Main Street","45.067284","-64.477425","60","1HR","2","15","24","29","34","37","40","43","45","48","56","70","94.68351548","","35","36","35","29","27","27","24","22","22","24","31","28","9.514646593","",""
"040103","Fredericton","NB","437 Aberdeen Street","45.957318","-66.646719","21","1HR","0","9","18","24","30","33","36","38","41","43","52","61","99.85200364","28","29","31","32","27","23","21","18","14","16","18","25","24","10.15788555","",""
"040203","Saint John","NB","Mountain Road","45.308762","-66.008384","41","1HR","1","15","23","28","33","36","39","41","44","46","50","62","99.84061931","32","34","36","35","28","23","22","21","21","23","25","32","28","9.119442532","",""
"040206","Saint John","NB","189 Prince William","45.269677","-66.06151","29","1HR","1","24","29","32","35","37","39","40","43","44","51","51","18.39708561","30","32","","","","","","","","","","","","","",""
"040207","Saint John","NB","476 Lancaster Avenue W.","45.252898","-66.080065","59","1HR","1","15","22","27","31","34","37","40","44","46","51","59","99.20309654","27","29","33","35","29","26","25","21","19","21","22","28","26","8.661746083","",""
"040209","Saint John","NB","8 Castle Street","45.28028","-66.05611","41","1HR","1","12","19","24","29","33","37","40","44","45","51","58","78.44945355","","","","34","26","24","24","19","18","19","21","27","","","",""
"040302","Moncton","NB","5 Thanet Street","46.101578","-64.789661","9","1HR","0","8","18","25","30","33","36","39","42","45","58","77","98.64526412","27","28","30","32","26","22","19","19","16","18","20","25","24","10.77113083","",""
"040701","Norton - Kings County","NB","308 Hwy 124","45.64192","-65.70127","20","1HR","0","7","18","26","32","35","38","41","44","46","55","64","96.4708561","28","31","33","33","30","23","21","17","15","17","19","26","24","11.68575208","",""
"040901","St. Andrews","NB","Marine Science Drive, Route 127","45.086912","-67.074036","25","1HR","0","13","21","27","33","36","39","41","44","47","58","76","97.79143898","32","34","35","36","29","24","22","19","18","20","22","30","27","9.957569472","",""
"041101","St. Leonard","NB","St. Leonard Airport (Ysl)","47.157628","-67.831015","239","1HR","0","10","17","23","29","32","36","39","42","44","53","77","84.20992714","","","33","34","27","22","18","17","15","18","18","26","","","",""
"041201","Miramichi","NB","55 Route 11 Hwy","47.071087","-65.423534","18","1HR","1","11","19","26","32","35","38","40","42","44","49","55","97.14253188","31","33","35","34","27","23","19","18","15","19","21","30","25","10.21798335","",""
"041302","Bathurst","NB","1255 Rough Waters Drive","47.609693","-65.633509","16","1HR","2","13","21","27","32","34","37","39","41","42","51","55","97.71174863","29","31","33","33","29","25","21","20","18","21","23","31","26","8.865937338","",""
"050103","Montréal","QC","1050 A, Boul. Saint-Jean-Baptiste","45.641026","-73.499682","19","1HR","0","8","17","23","29","33","38","42","48","53","69","77","99.12340619","21","27","29","33","29","25","23","22","19","15","15","23","23","11.52864907","",""
"050109","Montréal","QC","2495 Duncan / Decarie, Mt-Royal","45.502648","-73.663913","41","1HR","0","5","13","20","26","30","35","38","43","47","58","62","99.54462659","18","22","23","29","27","23","21","20","16","13","11","16","20","11.23257798","",""
"050113","Laval","QC","1160 Boul Pie-Ix","45.547463","-73.748317","35","1HR","0","9","19","26","32","36","40","45","51","55","67","83","99.74954463","22","28","30","34","32","28","26","26","21","18","17","24","26","12.04366346","",""
"050115","Montréal","QC","1001 Boul De Maisonneuve Ouest","45.501531","-73.574311","56","1HR","16","17","21","23","25","28","29","29","29","29","29","29","0.147996357","","","","","","","","","","","","","","","",""
"050119","Longueuil","QC","Face Au 1819 Rue Victoria","45.52207","-73.4881","32","1HR","0","10","19","26","32","35","40","45","51","57","71","82","99.76092896","23","28","30","33","32","28","27","27","22","18","16","23","26","11.90080249","",""
"050121","Longueuil","QC","8361 Rue Oceanie - Brossard","45.44298","-73.468631","15","1HR","1","9","23","28","31","33","34","36","37","37","40","40","6.921675774","25","","","","","","","","","","","","","","",""
"050122","Brossard","QC","En Face Du 8400 Avenue Sorbonne","45.448663","-73.480819","17","1HR","0","11","20","27","33","36","41","45","51","56","71","79","85.8151184","","31","31","34","32","28","28","27","23","20","18","25","27","11.83297604","",""
"050126","Montréal","QC","20965 Ch. Sainte-Marie","45.426542","-73.928929","39","1HR","0","11","21","27","34","37","41","46","52","56","69","75","99.47632058","25","30","32","36","34","29","26","27","23","19","18","25","27","11.84988292","",""
"050128","Montréal","QC","90-A Rue Herve-Saint-Martin, Dorval","45.468322","-73.741198","33","1HR","0","8","17","24","31","34","39","43","50","53","65","75","99.28278689","22","26","28","33","31","27","25","25","20","17","14","20","24","12.19445483","",""
"050129","Montréal","QC","12400 Wilfrid-Ouellette (R-D-P)","45.651691","-73.573825","29","1HR","0","10","19","26","32","35","40","45","52","56","74","88","97.96220401","23","28","30","34","32","28","26","26","22","17","16","23","25","11.88695417","",""
"050134","Montréal","QC","2580 Saint-Joseph Est","45.54271","-73.57176","53","1HR","0","9","17","23","29","32","39","44","49","54","67","80","98.99817851","19","23","24","33","31","27","26","25","20","16","15","21","23","11.60077741","",""
"050135","Montréal","QC","4240 Rue Charleroi","45.5934","-73.63726","41","1HR","0","8","17","24","30","33","38","43","50","53","68","80","98.22404372","20","26","28","32","31","27","25","25","20","16","15","21","24","11.65224551","",""
"050136","Montréal","QC","75 Rue Ontario Est","45.512189","-73.566842","32","1HR","0","9","17","23","29","32","38","44","50","55","69","79","90.6079235","","23","25","28","31","27","26","25","21","16","14","20","23","11.50295655","",""
"050137","Terrebonne","QC","Rues Vaillant Et De Grand-Champ","45.70476","-73.65776","34","1HR","2","12","18","24","29","32","35","37","38","39","40","40","10.16621129","","","","","","","","","","","","25","","","",""
"050138","Montréal","QC","1540 Roberval","45.464611","-73.582583","25","1HR","0","6","15","22","28","31","36","42","48","53","68","80","98.9640255","19","23","24","28","28","26","24","24","20","15","13","19","22","11.84887862","",""
"050204","Gatineau","QC","255 St-Redempteur, Hull","45.435987","-75.723429","62","1HR","0","10","19","26","32","36","40","45","52","57","68","74","99.65846995","22","28","29","34","34","28","26","28","22","18","18","23","26","12.05308266","",""
"050308","Québec","QC","600 Rue Des Sables","46.821177","-71.220495","8","1HR","0","8","16","23","29","32","37","40","44","48","61","71","98.49726776","23","27","28","31","27","24","21","21","17","14","15","22","23","10.94198237","",""
"050310","Québec","QC","1150 Boul. Rene-Levesque O.","46.794873","-71.246387","69","1HR","1","9","18","25","31","34","38","42","45","49","65","71","97.65482696","27","29","31","34","29","25","23","23","18","16","18","24","25","11.02110129","",""
"050311","Québec","QC","1465, Rue Felix-Antoine-Savard","46.774167","-71.369722","26","1HR","1","8","17","24","31","34","39","42","46","49","65","71","95.61703097","26","29","31","33","27","23","21","21","16","15","18","26","24","11.55276389","",""
"050404","Sherbrooke","QC","655, Rue Papineau","45.41231","-71.8746","211","1HR","0","12","21","27","33","36","40","44","49","52","61","69","99.70400729","27","31","34","35","32","28","25","23","20","19","19","27","27","11.07360426","",""
"050504","Saguenay","QC","789 Boul Des Etudiants, Chicoutimi","48.416374","-71.052412","82","1HR","0","10","18","25","31","34","38","40","44","47","69","73","99.32832423","29","31","33","34","29","21","19","19","15","16","19","29","24","10.74151639","",""
"050604","Rouyn-Noranda","QC","1570 Rue Paradis","48.234087","-78.982778","289","1HR","0","13","22","28","33","36","40","43","47","51","61","66","94.5582878","28","32","35","36","32","27","23","22","20","22","24","30","27","10.24047816","",""
"050803","Trois Rivières","QC","Rue Whitehead","46.357175","-72.546187","12","1HR","0","10","18","25","32","35","39","43","48","53","71","76","98.88433515","26","30","33","35","31","25","23","23","18","16","17","25","25","11.55714572","",""
"051501","St. Zéphirin-De-Courval","QC","701 Rang Saint-Michel","46.042233","-72.659761","50","1HR","0","11","20","27","32","35","39","43","49","54","68","70","98.90710383","29","32","35","35","31","26","22","22","19","18","18","28","26","10.99164909","",""
"052001","Charette","QC","Au Nord Du 170 2e Rang","46.4416","-72.89241","114","1HR","1","10","18","26","32","36","39","42","47","51","67","75","99.48770492","29","33","36","36","31","23","19","19","16","17","20","28","25","11.3199535","",""
"052201","Saint-Simon","QC","Derriere Le 83, 4e Rang Est","45.715614","-72.840249","38","1HR","1","10","19","26","32","35","39","42","47","50","67","71","97.23360656","27","31","32","32","29","26","21","22","19","18","18","29","25","11.15117101","",""
"052301","Saint-Faustin-Lac-Carré","QC","4507 Chemin Du Lac (Caribou)","46.035","-74.48083","413","1HR","1","15","23","30","35","38","42","45","50","54","65","74","97.11976321","31","34","38","39","36","27","22","24","22","23","22","30","29","10.33264434","",""
"052401","La Pêche","QC","Lac Philippe - Masham","45.622378","-76.018046","191","1HR","0","12","21","28","34","38","43","47","53","57","68","77","95.45765027","28","34","37","38","36","27","24","25","19","18","20","26","28","12.20406199","",""
"052601","Varennes","QC","4744 Montee Baronie","45.722896","-73.376808","17","1HR","0","10","21","28","34","37","41","45","52","56","73","80","74.94307832","28","31","32","33","29","26","23","23","20","","","","","","",""
"052801","Auclair","QC","66 Rang St-Gregoire Nord","47.73333","-68.70722","301","1HR","3","14","22","29","35","37","41","44","47","49","60","67","97.58652095","34","35","38","39","32","25","20","22","18","21","22","32","28","10.3250538","",""
"053201","La Doré","QC","Route 167- La Dore","48.80972","-72.73889","222","1HR","0","11","19","26","31","34","38","41","46","49","61","71","82.4795082","31","32","","36","31","23","20","20","17","20","21","31","25","10.3813896","",""
"053301","Deschambault","QC","334, 3 E Rang - Deshambault","46.682373","-71.965903","48","1HR","0","6","17","25","32","35","40","43","48","52","67","75","99.52185792","28","33","34","34","28","22","19","18","15","15","17","26","24","12.52709218","",""
"053501","St-François-Île-D'orléans","QC","Face Au 198,  Royale Île D'orléans","47.015308","-70.862523","59","1HR","2","15","23","29","34","37","40","42","46","50","60","71","96.83515483","31","34","37","37","34","26","23","25","21","21","21","30","28","9.72117726","",""
"053601","Notre-Dame-Du-Rosaire","QC","Rang St-Louis","46.84889","-70.45418","411","1HR","0","12","23","30","35","37","41","44","47","50","64","81","89.46948998","32","35","37","38","31","25","19","22","18","20","20","31","28","10.84569219","",""
"053701","St-Hilaire-De-Dorset","QC","Rang Dorset","45.824861","-70.856025","497","1HR","5","19","27","33","38","41","45","48","52","55","65","67","98.66803279","35","37","40","41","39","33","28","28","25","25","26","34","33","9.840603436","",""
"053801","Tingwick","QC","Chemin Du Radar Et Warwick","45.905785","-71.948695","243","1HR","7","17","25","31","36","39","42","46","50","55","66","70","99.55601093","33","36","38","39","38","30","26","25","24","23","24","31","31","9.82064653","",""
"053901","Lac-Édouard","QC","Derriere L'hopital Village","47.64722","-72.29056","366","1HR","0","5","17","24","31","35","39","42","47","51","67","73","86.74863388","","33","35","34","27","22","16","17","14","17","17","28","24","12.46830086","",""
"054102","Sutton","QC","Mont Sutton/Round Top Ridge","45.08861","-72.55694","845","1HR","8","21","29","34","39","41","45","49","54","58","66","69","98.13296903","34","36","40","41","41","34","31","31","29","28","29","32","34","9.381737461","",""
"054201","Chapais","QC","Chapais","49.822282","-74.9764","381","1HR","1","13","21","28","34","37","40","43","45","48","57","64","97.893898","32","34","37","36","32","25","20","17","18","22","23","32","27","10.41593112","",""
"054401","Saint-Anicet","QC","1128 De La Guerre","45.120624","-74.2896","50","1HR","0","11","22","29","34","37","41","45","50","54","66","70","95.76502732","28","32","33","35","33","29","24","25","22","19","20","28","28","11.55479008","",""
"054501","L'assomption","QC","801 St-Etienne/Route 344","45.80942","-73.43473","10","1HR","0","10","19","26","32","35","39","43","49","54","70","80","95.78779599","26","31","33","34","31","26","22","23","19","17","18","26","25","11.603626","",""
"054801","Stukely-Sud","QC","Chemin Montbel","45.365683","-72.265099","334","1HR","5","18","28","34","38","41","45","49","54","58","66","67","68.71584699","33","35","38","40","38","31","27","26","","","","","","","",""
"054901","Ditton","QC","Chemin Du Petit-Canada Ouest","45.37333","-71.250167","475","1HR","1","13","24","30","36","38","43","46","50","54","64","68","98.58834244","33","36","38","39","36","29","23","23","19","22","24","31","29","11.0840076","",""
"055001","Mont Saint-Michel","QC","215 4 Ieme Rang De Gravel","46.76866","-75.432728","256","1HR","0","6","18","26","32","36","40","43","46","49","63","68","98.11020036","30","32","36","36","30","20","15","15","14","18","20","28","25","12.14314169","",""
"055101","Senneterre","QC","Chemin Riviere Bell","48.431648","-77.196674","299","1HR","0","11","20","28","34","37","40","43","47","49","59","68","97.49544627","30","34","37","38","33","25","19","17","16","21","23","30","27","11.29440199","",""
"055201","Lemieux","QC","1290 Rte Des Atocas","46.3037","-72.060685","92","1HR","0","8","20","28","33","36","39","43","49","53","65","67","68.81830601","27","30","32","33","29","24","20","20","16","","","","","","",""
"055301","Saint-Jean-Sur-Richelieu","QC","Ferme Exp., 1134 Route 219","45.29413","-73.34857","35","1HR","0","11","21","28","33","36","40","44","50","54","66","75","94.88843352","29","31","34","34","31","27","23","24","21","19","19","28","27","11.37768474","",""
"055501","Frelighsburg","QC","Frelighsburg","45.041384","-72.856506","203","1HR","1","17","26","32","37","39","43","47","52","56","66","70","89.45810565","32","34","37","39","39","32","29","28","25","23","25","","31","10.23966786","",""
"055601","Mingan","QC","Mingan","50.27136","-64.2265","14","1HR","0","13","22","29","35","37","39","41","43","44","48","52","94.22814208","34","35","37","36","27","26","17","15","17","21","25","33","27","10.21291076","",""
"055702","Lévis","QC","200 Rue Des Commandeurs","46.806029","-71.167506","106","1HR","0","12","20","26","32","35","39","41","45","48","58","67","96.22040073","27","30","33","35","31","24","24","24","18","18","17","25","26","10.3730621","",""
"060104","Ottawa","ON","Rideau & Wurtemburg","45.43433","-75.676","68","1HR","0","10","19","26","32","35","40","44","51","55","68","73","99.12340619","21","28","29","34","34","28","25","27","22","18","17","22","26","11.52681877","",""
"060106","Ottawa","ON","960 Carling Ave (Cow Lane)","45.38287","-75.71387","79","1HR","0","10","20","26","32","35","40","44","50","54","67","71","97.82559199","23","30","30","33","32","27","25","27","22","19","18","22","26","11.64820351","",""
"060204","Windsor","ON","467 University Ave. West","42.315778","-83.043667","176","1HR","-1","9","20","27","34","39","47","54","62","68","80","95","99.60154827","20","26","28","35","37","40","35","30","25","22","17","17","28","14.57092316","",""
"060211","Windsor","ON","College & South St. / 928 South St.","42.292889","-83.073139","180","1HR","0","9","20","27","34","39","47","55","63","68","83","95","99.55601093","21","26","28","33","35","39","36","30","25","22","18","19","28","14.83897931","",""
"060304","Kingston","ON","Near 23 Beechgrove Lane","44.21987","-76.52113","84","1HR","1","15","25","30","36","39","45","52","59","63","77","82","98.3492714","27","30","32","37","37","34","33","34","28","23","23","28","31","11.94504753","",""
"060410","Toronto","ON","Lawrence & Kennedy","43.74792","-79.27406","168","1HR","0","8","19","25","31","35","42","49","59","65","77","99","98.59972678","19","27","25","31","33","32","30","30","24","20","16","19","25","13.40305477","",""
"060421","Toronto","ON","Yonge St. & Hendon Ave.","43.781584","-79.41773","190","1HR","0","9","19","26","32","36","42","49","58","64","76","85","98.62249545","20","26","24","31","34","34","31","31","24","20","17","20","26","13.25522464","",""
"060428","Brampton","ON","525 Main St. N./ Peel Manor","43.69875","-79.78092","229","1HR","0","9","20","27","34","37","43","50","59","64","73","79","98.99817851","22","26","26","31","34","34","32","32","25","20","18","25","27","13.50964274","",""
"060430","Toronto","ON","125 Resources Road","43.709444","-79.5435","141","1HR","0","4","14","21","28","33","40","47","56","61","72","79","99.00956284","17","23","21","28","28","28","26","27","20","17","13","16","22","13.92022234","",""
"060433","Toronto","ON","Bay/Wellesey St.","43.66417","-79.38722","105","1HR","0","11","19","25","31","34","40","47","55","61","72","81","99.11202186","20","26","25","31","33","31","29","31","25","21","17","19","26","12.06872167","",""
