*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-03-25"
"",""
"Pollutant: CO",""
"Units: ppm",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56037903","-52.71147156","7","1HR","0","0.11","0.14","0.16","0.19","0.21","0.25","0.3","0.38","0.44","0.72","1.14","99.70319635","0.17","0.17","0.17","0.19","0.18","0.15","0.14","0.17","0.19","0.19","0.19","0.19","0.17","0.071538428","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513077","-52.79476166","135","1HR","0.04","0.19","0.23","0.25","0.28","0.3","0.34","0.37","0.4","0.43","0.67","1.39","99.38356164","0.18","0.24","0.24","0.25","0.24","0.27","0.3","0.33","0.3","0.26","0.25","0.22","0.26","0.066547109","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92695999","-55.65966034","62","1HR","0.03","0.09","0.11","0.13","0.15","0.16","0.18","0.21","0.26","0.32","0.57","0.8","96.87214612","0.16","0.17","0.17","0.15","0.12","0.09","0.09","0.12","0.12","0.13","0.15","0.17","0.14","0.048717144","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95223999","-57.92206955","100","1HR","0.04","0.1","0.12","0.14","0.15","0.17","0.19","0.21","0.26","0.31","0.53","1.08","98.84703196","0.16","0.16","0.17","0.15","0.13","0.12","0.11","0.13","0.14","0.13","0.15","0.15","0.14","0.044646853","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899139","-55.19852066","1","1HR","0","0.09","0.11","0.12","0.13","0.14","0.15","0.17","0.19","0.21","0.3","0.37","97.43150685","0.11","0.12","0.15","0.13","0.14","0.11","0.09","0.12","0.13","0.11","0.12","0.12","0.12","0.029050944","",""
"030113","Halifax","NS","1672 Granville Street","44.64710999","-63.5736618","28","1HR","0.05","0.1","0.12","0.14","0.15","0.16","0.18","0.21","0.25","0.28","0.6","1.92","74.28082192","","","0.16","0.15","0.13","0.11","0.13","0.15","0.15","0.16","0.15","0.15","","","",""
"030118","Halifax","NS","1649 Barrington Street","44.64642334","-63.57338333","18","1HR","0.01","0.06","0.09","0.11","0.13","0.15","0.18","0.22","0.27","0.32","0.6","1.01","98.90410959","0.13","0.13","0.11","0.11","0.08","0.09","0.12","0.14","0.14","0.12","0.12","0.13","0.12","0.058472683","",""
"030310","Sydney","NS","71 Welton Street","46.14221954","-60.17251968","27","1HR","0.03","0.08","0.11","0.13","0.16","0.17","0.21","0.25","0.33","0.41","0.69","1.17","98.85844749","0.16","0.16","0.15","0.13","0.11","0.1","0.1","0.13","0.12","0.13","0.21","0.2","0.14","0.069083529","",""
"040103","Fredericton","NB","437 Aberdeen Street","45.95731735","-66.64672089","21","1HR","0","0.13","0.16","0.2","0.31","0.46","0.73","0.98","1.22","1.64","3.96","4.31","14.28082192","0.4","0.23","","","","","","","","","","","","","",""
"040209","Saint John","NB","8 Castle Street","45.28028107","-66.05610657","41","1HR","0","0.12","0.14","0.15","0.17","0.18","0.2","0.22","0.26","0.28","0.46","0.6","96.87214612","0.17","0.17","0.17","0.17","0.14","0.14","0.14","0.16","0.16","0.15","0.15","0.16","0.16","0.039236643","",""
"040302","Moncton","NB","5 Thanet Street","46.10157776","-64.78965759","9","1HR","0","0.11","0.14","0.16","0.19","0.21","0.25","0.32","0.42","0.5","0.8","1.07","99.26940639","0.21","0.22","0.19","0.17","0.15","0.14","0.15","0.16","0.19","0.17","0.18","0.19","0.18","0.080482584","",""
"050109","Montréal","QC","2495 Duncan / Decarie, Mt-Royal","45.5026474","-73.66390991","41","1HR","0.07","0.16","0.2","0.24","0.29","0.33","0.39","0.46","0.55","0.63","0.88","1.1","99.09817352","0.3","0.29","0.29","0.24","0.22","0.22","0.23","0.25","0.3","0.26","0.27","0.28","0.26","0.102333342","",""
"050113","Laval","QC","1160 Boul Pie-Ix","45.54746246","-73.7483139","35","1HR","0.08","0.13","0.16","0.18","0.22","0.25","0.31","0.39","0.53","0.62","0.87","1.21","94.79452055","0.28","0.25","0.24","0.19","0.17","0.15","0.16","0.18","0.22","0.2","0.23","0.24","0.21","0.096737062","",""
"050128","Montréal","QC","90-A Rue Herve-Saint-Martin, Dorval","45.46832275","-73.74119568","33","1HR","0.07","0.13","0.15","0.18","0.21","0.24","0.29","0.35","0.43","0.52","0.72","1.33","96.35844749","0.24","0.24","0.22","0.19","0.17","0.15","0.16","0.17","0.21","0.18","0.19","0.23","0.2","0.080990988","",""
"050135","Montréal","QC","4240 Rue Charleroi","45.59339905","-73.63726044","41","1HR","0.07","0.14","0.17","0.2","0.24","0.27","0.33","0.41","0.54","0.65","1","1.33","99.42922374","0.28","0.29","0.26","0.21","0.19","0.17","0.17","0.19","0.24","0.21","0.24","0.25","0.23","0.101565498","",""
"050136","Montréal","QC","75 Rue Ontario Est","45.51218796","-73.56684113","32","1HR","0.07","0.14","0.17","0.2","0.23","0.25","0.29","0.33","0.41","0.47","0.74","1.02","99.41780822","0.24","0.25","0.25","0.21","0.18","0.16","0.18","0.19","0.23","0.21","0.22","0.24","0.21","0.070935874","",""
"050204","Gatineau","QC","255 St-Redempteur, Hull","45.43598557","-75.72342682","62","1HR","0.08","0.13","0.15","0.17","0.2","0.23","0.28","0.34","0.44","0.5","0.73","0.87","93.76712329","0.25","0.23","0.22","0.19","0.16","0.15","0.15","0.17","0.21","0.19","0.2","0.21","0.19","0.076903355","",""
"050308","Quebec","QC","600 Rue Des Sables","46.82117844","-71.22049713","8","1HR","0.08","0.13","0.15","0.18","0.21","0.24","0.31","0.39","0.53","0.68","1.29","1.72","93.43607306","0.27","0.26","0.21","0.18","0.16","0.16","0.17","0.19","0.21","0.21","0.24","0.23","0.21","0.112449672","",""
"054501","L'assomption","QC","801 St-Etienne/Route 344","45.80942154","-73.43473053","10","1HR","0.01","0.14","0.19","0.22","0.36","0.4","0.46","0.49","0.57","0.62","0.72","0.96","17.1347032","","","","0.29","","","","","","","","","","","",""
"060104","Ottawa","ON","Rideau & Wurtemburg","45.43432999","-75.6760025","68","1HR","0.03","0.12","0.15","0.18","0.21","0.22","0.26","0.29","0.35","0.4","0.59","0.67","79.57762557","","","0.22","0.2","0.17","0.15","0.16","0.17","0.22","0.18","0.2","0.2","","","",""
"060204","Windsor","ON","467 University Ave. West","42.31577682","-83.04367065","176","1HR","0.06","0.15","0.18","0.21","0.25","0.28","0.36","0.45","0.56","0.67","1.25","2.58","98.86986301","0.29","0.26","0.23","0.21","0.19","0.22","0.21","0.24","0.26","0.24","0.24","0.27","0.24","0.116193982","",""
"060430","Toronto","ON","125 Resources Road","43.70944214","-79.54350281","141","1HR","0.09","0.16","0.19","0.22","0.26","0.29","0.35","0.44","0.57","0.67","0.93","1.23","95.26255708","0.25","0.25","0.23","0.23","0.22","0.21","0.22","0.24","0.31","0.26","0.25","0.29","0.25","0.102097486","",""
"060438","Toronto","ON","401w - 125 Resources Rd.","43.71110535","-79.54342651","139","1HR","0.07","0.18","0.24","0.3","0.37","0.43","0.52","0.61","0.77","0.86","1.13","1.27","95.62785388","0.33","0.33","0.32","0.3","0.29","0.29","0.33","0.34","0.42","0.34","0.31","0.37","0.33","0.148154353","",""
"060440","Toronto","ON","4905 Dufferin Street","43.7804184","-79.46752167","","1HR","0.03","0.14","0.17","0.2","0.23","0.26","0.33","0.39","0.46","0.51","0.75","0.96","95.68493151","0.24","0.24","0.23","0.2","0.19","0.19","0.19","0.22","0.27","0.23","0.22","0.23","0.22","0.082939597","",""
"060512","Hamilton","ON","Elgin & Kelly","43.25777817","-79.86167145","90","1HR","0.02","0.15","0.18","0.2","0.25","0.29","0.37","0.46","0.58","0.66","0.99","2.13","98.81278539","0.25","0.25","0.24","0.24","0.24","0.19","0.2","0.22","0.31","0.24","0.23","0.25","0.24","0.114231843","",""
"070119","Winnipeg","MB","65 Ellen Street","49.89799118","-97.14653015","229","1HR","0","0.03","0.08","0.12","0.21","0.32","0.46","0.6","0.77","1.04","2.3","8.46","63.37899543","","","0.38","0.41","","","","0.19","0.1","0.08","0.09","0.1","","","",""
"080111","Regina","SK","1621 Albert St.","50.45270157","-104.6159973","585","1HR","0","0.1","0.1","0.2","0.2","0.2","0.2","0.3","0.4","0.4","0.7","1.1","94.17808219","0.22","0.21","0.21","0.17","0.14","0.12","0.15","0.16","0.2","0.15","0.19","0.19","0.17","0.074509681","",""
"080211","Saskatoon","SK","511 1st Avenue North","52.13613129","-106.6629333","483","1HR","0.07","0.12","0.15","0.17","0.21","0.23","0.29","0.34","0.42","0.49","0.81","1.04","94.70319635","0.23","0.23","0.23","0.19","0.16","0.14","0.17","0.17","0.2","0.17","0.23","0.2","0.19","0.080252094","",""
"090120","Edmonton","AB","6240 113 Street","53.50022125","-113.5260544","681","1HR","0.1","0.1","0.2","0.2","0.2","0.3","0.4","0.5","0.7","0.9","1.3","1.8","98.33333333","0.32","0.29","0.33","0.27","0.2","0.14","0.2","0.22","0.22","0.19","0.28","0.24","0.24","0.14435157","",""
"090121","Edmonton","AB","17 Street & 105 Avenue","53.54822922","-113.3681107","670","1HR","0","0.2","0.2","0.2","0.3","0.3","0.4","0.5","0.6","0.8","1.9","2.7","98.93835616","0.26","0.25","0.22","0.24","0.28","0.24","0.3","0.26","0.25","0.22","0.26","0.23","0.25","0.145311741","",""
"090130","Edmonton","AB","10255 - 104th Street","53.54444885","-113.4988403","663","1HR","0","0.2","0.2","0.3","0.3","0.3","0.4","0.5","0.6","0.7","1.2","1.8","98.75570776","0.33","0.38","0.28","0.25","0.23","0.23","0.3","0.3","0.3","0.26","0.31","0.27","0.29","0.121711186","",""
"090136","St. Albert","AB","37 Sunset Blvd","53.62690735","-113.6118851","681","1HR","0","0.1","0.2","0.2","0.2","0.3","0.3","0.4","0.5","0.6","1","1.4","98.86986301","0.28","0.25","0.24","0.18","0.16","0.13","0.18","0.19","0.19","0.19","0.26","0.22","0.21","0.110854595","",""
"090222","Calgary","AB","39 St. & 29 Ave. N.W.","51.07922363","-114.1418304","1120","1HR","0","0.1","0.1","0.2","0.2","0.2","0.3","0.4","0.6","0.7","1.1","1.4","99.20091324","0.23","0.26","0.22","0.19","0.17","0.13","0.2","0.23","0.25","0.15","0.23","0.19","0.2","0.12371984","",""
"090229","Calgary","AB","4700 110 Avenue Se","50.9551239","-113.9697418","1032","1HR","0","0.1","0.1","0.2","0.2","0.3","0.3","0.4","0.5","0.6","1","1.2","95.19406393","0.29","0.28","0.21","0.18","0.14","0.12","0.18","0.19","0.21","0.16","0.23","0.23","0.2","0.116214123","",""
"090250","Airdrie","AB","Chinook Winds Park","51.26807785","-114.037796","1090","1HR","0","0.1","0.2","0.2","0.2","0.2","0.3","0.4","0.4","0.5","0.9","1.4","74.21232877","","","","0.18","0.19","0.17","0.24","0.25","0.24","0.17","0.2","0.16","","","",""
"090302","Red Deer","AB","73 Street & Riverside Drive","52.29867172","-113.7935181","858","1HR","0","0.1","0.1","0.2","0.2","0.3","0.3","0.4","0.5","0.6","1","2.1","94.9543379","0.28","0.25","0.22","0.18","0.14","0.12","0.19","0.2","0.19","0.16","0.23","0.27","0.2","0.116335781","",""
"090502","Lethbridge","AB","","49.71620941","-112.8005981","918","1HR","0.1","0.1","0.2","0.2","0.2","0.2","0.3","0.4","0.5","0.6","1.1","1.6","98.65296804","0.21","0.21","0.21","0.19","0.18","0.14","0.19","0.23","0.28","0.17","0.18","0.21","0.2","0.102518532","",""
"090601","Fort Saskatchewan","AB","9209a-96 Ave","53.6987381","-113.222847","628","1HR","0","0","0","0.1","0.1","0.2","0.2","0.3","0.4","0.5","1","1.4","94.76027397","0.05","0.04","0.03","0.01","0.03","0.02","0.07","0.1","0.1","0.18","0.22","0.21","0.09","0.11661354","",""
"090701","Fort Mcmurray","AB","Franklin Avenue","56.73340988","-111.3904724","260","1HR","0","0.1","0.1","0.1","0.1","0.2","0.2","0.3","0.3","0.4","0.7","0.8","95.2739726","0.18","0.15","0.12","0.11","0.11","0.1","0.11","0.14","0.13","0.11","0.12","0.19","0.13","0.072212809","",""
