*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-03-25"
"",""
"Pollutant: NO2",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56037903","-52.71147156","7","1HR","0","1.1","2.3","4.1","8.9","12.3","15.8","20.2","25.7","29.4","39.2","46.9","99.6347032","7","6.3","4.3","10.4","12.6","9.8","5","5.9","4","5.1","6.1","6","6.9","6.635157294","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513077","-52.79476166","135","1HR","0","0.2","0.6","1","1.5","2","3.2","5.1","8.2","11.5","21.3","32.6","99.70319635","2.7","1.9","1.4","1.6","1.3","1.1","1","1","1","2.2","1.7","2","1.6","2.150807207","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92695999","-55.65966034","62","1HR","0","0.2","0.4","0.5","0.9","1.1","1.8","2.8","4.6","6.3","18.4","39.2","95.07990868","1.2","","1","1","0.7","0.6","0.6","1","0.7","0.9","1.1","1.1","0.9","1.430437676","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95223999","-57.92206955","100","1HR","0","0.4","0.8","1.3","2.5","3.6","5.9","8.9","13.1","17.2","26.9","33.1","98.97260274","3.6","3.6","2.7","2.4","2.7","2.1","1.9","2.2","1.8","2.1","2.6","2.6","2.5","3.254967086","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899139","-55.19852066","1","1HR","0","0","0.2","0.3","0.6","0.9","2","2.9","3.8","4.4","7.6","11.9","84.05251142","0.6","0.4","0.4","0.3","0.3","1.6","1.9","0.3","0.3","0.5","","","","","",""
"011002","Labrador City","NL","317 Hudson Drive","52.94548798","-66.91030884","558","1HR","0","0.5","0.9","1.5","2.8","4","6.8","10.6","17","22.3","37","53.4","99.20091324","5.8","5.3","4.1","2.8","3","2","1.4","1.5","2","1.8","2.5","3.3","3","4.19982058","",""
"020104","Charlottetown","PE","3 Brighton Road","46.23300171","-63.13666916","21","1HR","0","0.2","0.5","0.9","1.5","2.2","3.9","6.5","11.6","17.7","30.2","33.1","99.09817352","2.7","3.3","2.1","1.4","1","1.1","1.4","1.3","1.5","1.7","2.4","2.2","1.8","3.141053118","",""
"020301","Wellington","PE","40 Route 125 (Hackmatack Road)","46.4784317","-63.98762894","6","1HR","0","0","0.1","0.4","0.6","0.8","1.1","1.5","2.1","2.6","4.8","6.8","98.40182648","0.3","0.4","0.2","0.1","0.1","0.6","0.8","0.7","0.7","0.7","0.7","0.7","0.5","0.568961976","",""
"020401","Southampton","PE","2580 Route 313 (Cardigan Road)","46.38634872","-62.58272171","30","1HR","0","0","0","0.2","0.4","0.5","0.8","1.2","1.7","2.2","4.1","8.2","95.68493151","0.3","0.3","0.2","0.3","0.3","0.5","0.6","0.4","0.1","0.2","0.2","0.7","0.3","0.47664387","",""
"030113","Halifax","NS","1672 Granville Street","44.64710999","-63.5736618","28","1HR","0","1.4","2.9","4.3","6.7","8.7","12.3","15.8","21.5","25.1","34.6","36.1","76.25570776","","","6.6","7","6.8","5.4","5.8","5.1","5.4","5.8","5.4","5.5","","","",""
"030118","Halifax","NS","1649 Barrington Street","44.64642334","-63.57338333","18","1HR","0","1.4","3.5","5.7","8.6","10.7","14.5","18","22.7","26.9","35.1","50.5","97.85388128","9.9","10.5","8.1","8.4","7.5","6.4","6.2","5.4","5.4","6.1","5.4","5.4","7","5.624749429","",""
"030120","Dartmouth","NS","341 Cherrybrook Road","44.71979904","-63.48075867","68","1HR","0","0.1","0.3","0.6","1.1","1.6","2.4","3.5","5.1","6.4","10.4","23.4","97.7283105","1.4","1.4","0.8","0.8","0.5","1","1.1","1","0.9","1.1","1.2","1.2","1","1.323634748","",""
"030201","Port Hawkesbury","NS","18 Embree Street","45.61416245","-61.36235428","14","1HR","0","0","0.4","0.9","2","3.1","5.7","9.8","17.7","21.9","35.6","49.3","99.04109589","3.1","4.1","1.8","1.6","1.6","1.7","1.4","1.3","1.2","1.2","3.8","5.3","2.3","4.173121059","",""
"030310","Sydney","NS","71 Welton Street","46.14221954","-60.17251968","27","1HR","0","0.2","0.9","1.6","2.7","3.7","5.8","8.7","14.3","18.8","28.9","33.4","99.25799087","3.9","3.9","3.1","2.6","2.2","2","1.7","1.4","1.1","2.2","3.5","3.7","2.6","3.461172434","",""
"030701","Aylesford","NS","1009 Brow Mountain Road, Kings County","45.07254028","-64.84024811","235","1HR","0","0","0","0","0","0","0.3","0.5","0.9","1.3","3.2","5.6","30.23972603","0.2","0.1","0","0","","","","","","","","","","","",""
"030901","Pictou","NS","91 Beeches Road","45.68174362","-62.69657516","12","1HR","0","0","0.2","0.4","0.9","1.4","2.3","3.5","5","6.2","11.3","15","98.01369863","0.8","0.9","0.5","0.5","1","1.2","1.2","1.1","1","0.8","0.7","1.1","0.9","1.314050085","",""
"031101","Kentville","NS","32 Main Street","45.06728363","-64.47742462","60","1HR","0","0.1","0.4","0.6","1","1.3","2","2.8","4.2","5.8","12.6","18.4","99.07534247","1.2","1.5","0.8","0.8","0.9","1","1.1","0.5","0.5","0.6","0.9","1.2","0.9","1.179151543","",""
"040103","Fredericton","NB","437 Aberdeen Street","45.95731735","-66.64672089","21","1HR","0","0.2","1.1","2","3.7","5.8","10.8","16","24","27.5","36.6","39.2","24.16666667","4.4","5.4","2.4","","","","","","","","","","","","",""
"040104","Fredericton","NB","486 Needham Street","45.95729065","-66.64523315","10","1HR","0.1","0.8","1.2","1.7","2.4","3.2","5.2","7.7","12","15.1","21.5","25.3","42.84246575","","","","","","","","1.7","2.1","2.4","3.1","3.6","","","",""
"040203","Saint John","NB","Mountain Road","45.3087616","-66.0083847","41","1HR","0","0.5","0.9","1.6","3.2","4.8","7.6","10.5","14.9","18.5","28.9","32.1","85.53652968","3.4","3.7","2.7","2.5","2.8","4.6","","4.7","3.2","2.9","2.2","2.2","3.1","3.741507958","",""
"040207","Saint John","NB","476 Lancaster Avenue W.","45.25289917","-66.08006287","59","1HR","0","0.7","1.3","2","3.4","4.8","7.8","11.2","15.2","17.9","26.2","35.2","97.8196347","3.7","3.4","4.8","3.4","3","2.6","2.8","3","3","2.9","3","4.2","3.3","3.65272374","",""
"040209","Saint John","NB","8 Castle Street","45.28028107","-66.05610657","41","1HR","0","1","1.9","3","4.8","6.5","10","13.5","18.2","22.3","38.2","44.5","91.95205479","4.7","5.3","3.7","4.9","4.7","4.3","4.3","4","5.1","5.6","3.5","3.9","4.5","4.565641202","",""
"040302","Moncton","NB","5 Thanet Street","46.10157776","-64.78965759","9","1HR","0.1","0.9","1.5","2.3","3.7","5.1","8.2","12.9","19.5","24.3","38.9","45","98.81278539","6.1","7.4","4.3","3.8","2.6","2.6","2.4","2.8","2.8","3.5","4","4.1","3.8","4.582469665","",""
"041302","Bathurst","NB","1255 Rough Waters Drive","47.60969162","-65.63350677","16","1HR","0","0.5","0.8","1.1","1.6","2.1","3.3","5","8.2","11","21.6","27.7","97.99086758","2.8","3","2","1.5","1","1.1","1.1","1.3","1.5","1.3","1.9","1.8","1.7","2.074490362","",""
"041501","Edmundston","NB","19 Queen St.","47.36319351","-68.32230377","159","1HR","0.4","1.6","2.7","4.1","6","8.3","12","15.1","20","22.7","30.5","31.6","12.15753425","","","","","","","","","","","","5.8","","","",""
"050103","Montréal","QC","1050 A, Boul. Saint-Jean-Baptiste","45.64102554","-73.49967957","19","1HR","0.3","2.4","4.4","6.5","9.7","12.6","17.1","22.4","29.2","33.5","46.7","58.5","97.78538813","12","11.5","9.7","6.1","5.7","6.6","6.5","6.4","8.7","9.1","10.2","10","8.5","6.827122955","",""
