*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-03-25"
"",""
"Pollutant: NOX",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56037903","-52.71147156","7","1HR","0","1.8","3.4","5.7","12","15.9","22.6","32","48.8","60.3","124","220.7","99.6347032","10.3","9","5.9","13.5","16.6","14.5","10.7","10.1","6.1","8.6","9.3","9.2","10.3","12.74686424","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513077","-52.79476166","135","1HR","0","0.8","1.3","1.8","2.5","3.1","4.4","6.4","10.1","14.1","32.6","53.9","99.70319635","3.6","2.9","2.2","2.2","2.2","1.9","1.9","1.9","2","3.2","2.8","3.2","2.5","2.747618688","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92695999","-55.65966034","62","1HR","0.1","0.6","0.9","1.2","1.6","2","3.1","4.6","7.7","12","58.1","130.5","95.07990868","2.3","","2","1.8","1.4","1.3","1.5","1.8","1.9","2.2","2.1","2","1.9","3.728025445","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95223999","-57.92206955","100","1HR","0.1","0.9","1.3","2.1","3.5","4.9","8","12.5","19.3","24.4","39.3","54.5","98.97260274","4.9","4.7","3.8","3.3","3.8","3.3","3.1","3.5","2.9","3.2","3.9","3.9","3.7","4.656395365","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899139","-55.19852066","1","1HR","0","0.2","0.3","0.5","0.9","1.6","7.3","14.1","20.2","23.7","30.8","34.8","84.05251142","0.8","0.6","0.6","0.6","0.6","6.8","10.7","0.6","0.6","0.8","","","","","",""
"011002","Labrador City","NL","317 Hudson Drive","52.94548798","-66.91030884","558","1HR","0","0.8","1.4","2.2","3.7","5.3","8.6","13.8","22.4","30.6","75.6","122.6","99.20091324","7.6","7","5.2","3.8","4.1","3.1","2.2","2.3","2.8","2.6","3.6","4.5","4.1","6.254572162","",""
"020104","Charlottetown","PE","3 Brighton Road","46.23300171","-63.13666916","21","1HR","0","0.2","0.6","1","1.7","2.4","4.4","7.4","14.2","22.4","62.5","99.3","99.09817352","3.1","4.4","2.4","1.5","1.1","1.2","1.6","1.5","1.8","2","2.7","2.8","2.2","4.71128405","",""
"020301","Wellington","PE","40 Route 125 (Hackmatack Road)","46.4784317","-63.98762894","6","1HR","0","0","0.1","0.5","0.8","1","1.3","1.8","2.6","3.5","10.7","17.7","98.40182648","0.4","0.5","0.3","0.1","0.1","0.8","1.1","1","0.8","0.8","0.8","0.8","0.6","0.845968424","",""
"020401","Southampton","PE","2580 Route 313 (Cardigan Road)","46.38634872","-62.58272171","30","1HR","0","0","0","0.2","0.4","0.6","1","1.4","2.2","2.9","6.4","16.4","95.68493151","0.3","0.4","0.2","0.3","0.3","0.6","0.7","0.4","0.2","0.2","0.3","0.9","0.4","0.669331054","",""
"030113","Halifax","NS","1672 Granville Street","44.64710999","-63.5736618","28","1HR","0","1.9","4","6","9.3","12","17.6","25","39","54.8","118.9","173.5","76.25570776","","","9.3","10.1","10.4","8.1","9.1","8","9.8","9.4","7.4","7.2","","","",""
"030118","Halifax","NS","1649 Barrington Street","44.64642334","-63.57338333","18","1HR","0","2.4","5.6","9","13.8","17.8","26.5","36.1","50.4","65.1","119.6","215.3","97.85388128","15.9","15.7","12.1","13.9","13.2","12.3","12.4","10.8","11.8","12","10.4","10.3","12.5","13.18181895","",""
"030120","Dartmouth","NS","341 Cherrybrook Road","44.71979904","-63.48075867","68","1HR","0","0","0.4","0.8","1.4","1.9","2.9","4.2","6.5","8.7","21.3","79.7","97.71689498","1.4","1.7","1","0.9","0.6","1.2","1.6","1.5","1.5","1.5","1.7","1.5","1.3","2.220991776","",""
"030201","Port Hawkesbury","NS","18 Embree Street","45.61416245","-61.36235428","14","1HR","0","0","0.4","1","2.2","3.6","6.9","14.7","33.4","44.8","78.6","125.5","99.04109589","4.8","5.9","2.3","1.6","2.1","2.1","1.7","1.5","1.4","1.4","6.5","9.2","3.4","8.111379858","",""
"030310","Sydney","NS","71 Welton Street","46.14221954","-60.17251968","27","1HR","0","0.2","1.2","2.3","4.1","5.6","8.4","12.4","20","26","52.4","63.5","99.25799087","4.9","5.5","4.4","3.4","3.1","3.1","2.7","2.4","2.1","3.7","5.4","5.4","3.8","5.162980259","",""
"030701","Aylesford","NS","1009 Brow Mountain Road, Kings County","45.07254028","-64.84024811","235","1HR","0","0.1","0.3","0.4","0.6","0.8","1","1.2","1.7","2.3","7.9","14.8","30.23972603","0.4","0.7","0.5","0.6","","","","","","","","","","","",""
