*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-03-25"
"",""
"Pollutant: NO",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56037903","-52.71147156","7","1HR","0","0.3","0.9","1.5","2.6","3.8","7.4","12.6","24","33.7","85.1","186.2","99.64611872","3.4","2.7","1.6","3.2","4","4.7","5.7","4.2","2.1","3.5","3.2","3.2","3.5","7.447334857","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513077","-52.79476166","135","1HR","0","0.2","0.5","0.8","1.1","1.3","1.7","2.1","2.8","3.6","13.4","26.6","99.70319635","0.9","1","0.9","0.7","0.9","0.8","0.9","0.9","1","1.1","1.1","1.2","0.9","0.983760844","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92695999","-55.65966034","62","1HR","0","0.3","0.5","0.6","0.9","1","1.3","1.8","4","7.1","43.2","91.2","95.07990868","1.1","","1","0.8","0.7","0.7","0.8","0.9","1.2","1.3","1","0.9","0.9","2.541403705","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95223999","-57.92206955","100","1HR","0","0.4","0.5","0.7","1","1.3","2.2","3.6","7","9.8","17.1","28.2","98.97260274","1.2","1.1","1.1","0.9","1.1","1.2","1.3","1.3","1.1","1.1","1.3","1.3","1.2","1.709470649","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899139","-55.19852066","1","1HR","0","0","0.1","0.2","0.3","0.6","4.3","12","18.9","22.1","30.3","32.2","84.06392694","0.3","0.2","0.2","0.2","0.2","5.2","8.8","0.2","0.3","0.3","","","","","",""
"011002","Labrador City","NL","317 Hudson Drive","52.94548798","-66.91030884","558","1HR","0","0.2","0.4","0.6","0.9","1.2","2","3.5","7.1","11.4","39.4","69.2","99.21232877","1.9","1.7","1","1","1.2","1.1","0.9","0.9","1","0.8","1.1","1.2","1.1","2.690558391","",""
"020104","Charlottetown","PE","3 Brighton Road","46.23300171","-63.13666916","21","1HR","0","0","0","0.1","0.2","0.3","0.5","0.8","2.4","5.1","35.7","66.4","99.09817352","0.4","1.1","0.4","0.1","0.1","0.2","0.3","0.2","0.4","0.3","0.3","0.5","0.4","2.113437141","",""
"020301","Wellington","PE","40 Route 125 (Hackmatack Road)","46.4784317","-63.98762894","6","1HR","0","0","0","0.1","0.1","0.2","0.3","0.4","0.6","0.9","7.2","12.7","98.40182648","0.1","0.1","0.1","0","0","0.2","0.3","0.3","0.1","0.1","0.1","0.1","0.1","0.424182738","",""
"020401","Southampton","PE","2580 Route 313 (Cardigan Road)","46.38634872","-62.58272171","30","1HR","0","0","0","0","0.1","0.1","0.2","0.3","0.5","0.8","4.8","12.9","95.68493151","0.1","0.1","0","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.328496629","",""
"030113","Halifax","NS","1672 Granville Street","44.64710999","-63.5736618","28","1HR","0","0.3","0.8","1.5","2.5","3.4","6","9.9","20.1","34","86.9","140.6","76.24429224","","","2.7","3.1","3.6","2.7","3.3","2.9","4.4","3.5","2","1.7","","","",""
