*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DMAX8HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-03-25"
"",""
"Pollutant: O3 ",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"Daily Max 8hr is valid if at least 18 hours in day have valid running 8-hour average",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily max 8-hr average",""
"Annual average and standard deviation are reported if 50% of days have daily max 8-hr average and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56037903","-52.71147156","7","1HR","0","14","23","30","36","39","43","45","47","49","52","54","79.7716895","37","38","41","","","","21","20","21","23","28","31","","","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513077","-52.79476166","135","1HR","0","18","24","29","34","37","40","42","44","46","49","52","99.7260274","27","38","37","37","32","27","23","23","23","24","29","32","29","8.55332063","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92695999","-55.65966034","62","1HR","0","15","24","30","36","39","42","44","46","46","50","50","99.9086758","36","39","39","38","31","25","23","21","20","22","28","32","29","10.16674483","",""
"010601","Happy Valley - Goose Bay","NL","Abbot Street","53.30599976","-60.36314011","39","1HR","0","16","25","31","36","39","42","44","46","47","50","56","97.79680365","34","37","39","40","34","24","20","19","20","26","31","34","30","9.724981557","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95223999","-57.92206955","100","1HR","1","16","24","29","35","38","41","43","44","46","51","53","99.01826484","35","37","37","38","30","25","23","21","21","24","27","31","29","9.229235601","",""
"010801","Port Aux Choix","NL","Port Au Choix (Town Hall)","50.71229935","-57.36420822","13","1HR","3","17","22","28","35","38","41","43","44","46","49","51","94.76027397","36","39","38","39","32","24","20","19","21","25","29","21","29","9.278454181","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899139","-55.19852066","1","1HR","1","16","24","30","35","37","39","41","42","44","46","49","98.82420091","35","37","36","35","32","24","19","21","21","24","27","32","29","9.098581761","",""
"011002","Labrador City","NL","317 Hudson Drive","52.94548798","-66.91030884","558","1HR","1","17","26","32","40","46","52","55","57","58","62","66","93.94977169","41","43","46","49","","24","22","22","22","28","32","34","33","12.83053939","",""
"020104","Charlottetown","PE","3 Brighton Road","46.23300171","-63.13666916","21","1HR","1","17","25","31","36","38","41","43","44","46","56","63","99.16666667","31","35","35","35","32","26","22","22","22","26","35","38","30","9.249213707","",""
"020301","Wellington","PE","40 Route 125 (Hackmatack Road)","46.4784317","-63.98762894","6","1HR","0","14","24","30","35","37","41","43","45","46","55","60","97.53424658","34","37","38","36","32","25","21","20","19","24","28","30","28","10.32723908","",""
"020401","Southampton","PE","2580 Route 313 (Cardigan Road)","46.38634872","-62.58272171","30","1HR","0","16","24","30","35","38","41","43","45","46","57","67","95.03424658","33","37","38","37","33","26","22","19","20","25","28","30","29","9.949515233","",""
"030113","Halifax","NS","1672 Granville Street","44.64710999","-63.5736618","28","1HR","0","14","21","26","31","35","39","42","45","48","59","72","75.67351598","","","37","33","29","28","21","22","20","25","27","26","","","",""
"030118","Halifax","NS","1649 Barrington Street","44.64642334","-63.57338333","18","1HR","0","10","17","22","26","28","31","34","37","39","51","58","99.17808219","24","26","28","25","22","21","16","17","15","19","21","22","21","8.047967383","",""
