NAPS ID,City,P/T,Location,Latitude,Longitude,Elevation,ID,Minimum,Maximum,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard Deviation
010102,St. John's,NL,354 Water Street,47.56037903,-52.71147156,7,1HR,0,15,0.8,0.8,0.7,0.6,0.9,0.5,0.4,0.3,0.2,0.3,0.9,1.9,0.7,0.781674495
010401,Mount Pearl,NL,Old Placentia Road,47.50513077,-52.79476166,135,1HR,0,5.9,,0.5,0.9,0.9,1.1,1.4,1.5,1.8,1.4,1.5,0.9,0.6,1.1,0.686001303
010501,Grand Falls - Windsor,NL,Scott Avenue,48.92695999,-55.65966034,62,1HR,0,2,,0.7,0.8,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.253401023
010602,Corner Brook,NL,Macpherson Ave,48.95223999,-57.92206955,100,1HR,0,3.7,0.4,0.6,0.5,0.4,0.2,0.2,0.3,0.3,0.4,0.3,0.7,0.4,0.4,0.230303547
010901,Burin,NL,18 Hwy 220 (Main St.),47.09899139,-55.19852066,1,1HR,0,0.8,0.1,0.1,0.1,0.1,0.1,,,0.1,0,0,0,0,0.1,0.059938882
011002,Labrador City,NL,317 Hudson Drive,52.94548798,-66.91030884,558,1HR,0,38.6,0.9,0.4,0.5,0.7,0.8,0.5,0.3,0.3,0.3,0.2,0.3,0.3,0.4,1.534102533
020104,Charlottetown,PE,3 Brighton Road,46.23300171,-63.13666916,21,1HR,0,24.6,0.6,0.9,0.7,0.5,0.2,0.1,0.1,0.1,0.1,0,0.4,0.3,0.3,0.919705896
030113,Halifax,NS,1672 Granville Street,44.64710999,-63.5736618,28,1HR,0,7.5,,,,0.3,0.3,0.1,0.1,0.1,0.2,0.1,0.3,0.1,,
030118,Halifax,NS,1649 Barrington Street,44.64642334,-63.57338333,18,1HR,0,6.1,0.8,0.5,0.5,0.4,0.4,0.6,0.5,0.5,0.2,0.1,0.3,0.4,0.4,0.477183035
030120,Dartmouth,NS,341 Cherrybrook Road,44.71979904,-63.48075867,68,1HR,0,7.8,0.3,0.2,0.1,0.1,0,0,0.1,0,0,0,0.1,0.2,0.1,0.243632014
