*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2/11/2026"
"",""
"Annual Summary Report",""
"Pollutant: NOX",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
" ",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56038","-52.71147","7","1HR","0","1.8","3.2","4.7","7.6","11.5","20","31.7","52.4","70","129","161.6","98.97260274","7.6","7.1","11.1","8.9","11.4","13.3","10.6","7.1","8.2","8","6.3","8.2","9","13.00085496","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513","-52.79476","135","1HR","0","0.8","1.5","2.1","3","3.6","4.7","6.3","12.8","21.8","86.3","116","97.28310502","2.3","1.4","1.4","2.3","2.9","2.4","2.4","2.4","3","5.4","5.1","5.3","3.1","5.730258612","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92696","-55.65966","62","1HR","0.2","0.8","1.1","1.4","1.8","2.3","3.2","4.6","7.1","10.4","38.3","98.1","88.44748858","1.8","2.3","2.3","1.3","1.4","1.9","1.5","1.4","1.6","","2.7","2.8","1.9","2.762382262","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95224","-57.92207","100","1HR","0.3","1.4","2.2","3","4.4","5.7","8","11.3","16.2","20.5","32.9","57.9","97.0890411","3.2","4","3.2","4.4","4.1","5.2","5.1","4.6","4.5","4.4","3.6","3.7","4.2","3.834179609","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","1HR","0","0.2","0.3","0.5","0.7","0.9","1.3","1.7","2.7","3.8","14.1","23.3","81.52968037","","","0.6","0.6","0.6","0.6","0.7","0.7","0.3","0.8","0.9","1","","","",""
"011002","Labrador City","NL","317 Hudson Drive","52.945487","-66.910306","558","1HR","0.2","0.6","1","1.7","2.8","4","7.2","12.8","22.6","29.2","61.9","106.2","98.31050228","5.6","4.4","4.7","2.1","1.3","2.1","2.4","2.9","2.1","2.9","5.2","5.4","3.4","5.909991121","",""
"020104","Charlottetown","PE","3 Brighton Road","46.233","-63.13667","21","1HR","0","0.4","0.8","1.3","2","2.7","4.6","7.2","12.8","18.1","43.9","61.6","99.20091324","3.3","3","2.9","2","1.5","1.5","1.2","1.3","2.1","1.7","3.3","3.3","2.2","3.695994325","",""
"020301","Wellington","PE","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","1HR","0","0","0.2","0.4","0.7","0.9","1.3","2","3.1","4.2","11.8","22.3","98.07077626","0.9","1.1","0.5","0.6","0.6","0.4","0.6","0.6","0.5","0.4","0.7","0.8","0.6","0.943164639","",""
"020401","Southampton","PE","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","1HR","0","0","0.4","0.5","0.7","0.9","1.3","1.7","2.4","3.1","6.3","21.5","77.61415525","0.8","0.9","0.4","0.8","0.9","0.6","0.7","0.8","","","0.1","","","","",""
"030113","Halifax","NS","1672 Granville Street","44.64711","-63.57366","28","1HR","0","2.1","3.9","5.6","8.3","10.8","16.1","23.9","35.6","46.7","108.2","184.2","98.81278539","8.2","9.3","7","8.7","8.9","7.8","7.5","9.4","10.2","7.3","6.9","8.1","8.3","9.603230224","",""
