*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2/11/2026"
"",""
"Annual Summary Report",""
"Pollutant: NO",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
" ",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56038","-52.71147","7","1HR","0","0.4","1.1","1.7","2.6","3.6","6.7","13.7","27.6","42.7","89.5","123.9","98.97260274","2.1","2.3","3","3.4","5.6","6.5","6.2","3.1","3.5","3.1","2.3","3","3.7","7.972851431","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513","-52.79476","135","1HR","0","0.2","0.7","1.1","1.5","1.9","2.5","3.1","4.8","10.1","60.9","87","97.28310502","0.9","0.6","0.6","1.1","1.8","1.2","1.4","1.4","1.7","3.3","2.6","1.5","1.5","3.599329669","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92696","-55.65966","62","1HR","0","0.4","0.6","0.8","1","1.2","1.5","2.1","3.6","5.3","24.3","82.3","88.41324201","0.7","1.2","1.1","0.8","0.8","1.1","0.9","0.8","0.9","","1.3","1.3","1","1.795100285","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95224","-57.92207","100","1HR","0","0.4","0.6","1","1.4","1.8","2.6","3.7","6.4","8.4","16.3","36.6","97.0890411","0.9","1","0.9","1.5","1.3","1.8","1.9","1.8","2","1.5","1.1","0.8","1.4","1.605389431","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","1HR","0","0","0.1","0.2","0.3","0.4","0.6","0.8","1.1","1.6","11.1","19.9","81.52968037","","","0.2","0.2","0.3","0.2","0.3","0.4","0.2","0.4","0.5","0.4","","","",""
"011002","Labrador City","NL","317 Hudson Drive","52.945487","-66.910306","558","1HR","0","0.1","0.2","0.4","0.6","0.9","1.7","3.1","7.1","10.8","32.3","60","98.31050228","1.6","1.2","1","0.5","0.5","0.7","0.8","0.9","0.8","0.8","1.2","1.3","0.9","2.408949092","",""
"020104","Charlottetown","PE","3 Brighton Road","46.233","-63.13667","21","1HR","0","0","0.1","0.2","0.3","0.4","0.6","0.9","2.1","4.4","19.7","36.9","99.20091324","0.6","0.4","0.4","0.3","0.3","0.3","0.3","0.4","0.5","0.3","0.6","0.4","0.4","1.251647877","",""
"020301","Wellington","PE","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","1HR","0","0","0","0.1","0.2","0.2","0.3","0.5","0.8","1.4","6.5","18.2","98.07077626","0.2","0.3","0.2","0.2","0.2","0.1","0.1","0.1","0.2","0.1","0.2","0.2","0.2","0.450767748","",""
"020401","Southampton","PE","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","1HR","0","0","0.1","0.1","0.2","0.2","0.3","0.5","0.7","1","3.1","7","77.61415525","0.1","0.2","0.1","0.2","0.2","0.1","0.2","0.2","","","0.1","","","","",""
"030113","Halifax","NS","1672 Granville Street","44.64711","-63.57366","28","1HR","0","0.4","0.9","1.4","2.2","3","5.1","8.6","16.8","24.8","79.9","145.1","98.81278539","2.1","2.3","2.3","2.8","3","3","3","3.7","4.5","2.4","1.7","1.8","2.7","5.797278515","",""
"030118","Halifax","NS","1649 Barrington Street","44.646425","-63.573383","18","1HR","0.3","1.1","2.1","2.9","4.4","5.9","8.7","13.6","19.2","34.1","56.6","56.6","3.093607306","","","","","","","","","","","","","","","",""
"030120","Dartmouth","NS","341 Cherrybrook Road","44.7198","-63.48076","68","1HR","0","0","0","0","0.2","0.4","0.7","1","1.8","2.5","7.6","15.9","98.63013699","0.3","0.4","0.2","0.2","0.2","0.2","0.1","0.2","0","0.2","0.2","0.5","0.2","0.575424224","",""
"030201","Port Hawkesbury","NS","18 Embree Street","45.614161","-61.362356","14","1HR","0","0","0.2","0.3","0.5","0.7","1.7","4.9","13.6","20","60.6","94.5","98.18493151","1.7","1.2","0.9","1.2","1.2","0.6","0.7","0.4","0.6","2","1.3","3.1","1.2","4.299783776","",""
"030310","Sydney","NS","71 Welton Street","46.14222","-60.17252","27","1HR","0","0.2","0.5","0.9","1.4","1.9","2.8","3.7","5.9","7.9","17.9","29.7","99.04109589","1.4","1.5","1.2","1.5","1.4","1.1","1","1.1","1.2","1.5","1.3","1.5","1.3","1.588306108","",""
"030901","Pictou","NS","91 Beeches Road","45.681744","-62.696575","12","1HR","0","0","0","0.2","0.3","0.4","0.5","0.7","1.1","1.6","3.5","8.3","97.20319635","0.4","0","0.3","0.4","0.3","0.3","0.3","0","0.1","0.2","0.3","0.2","0.2","0.349274241","",""
