*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-04-04"
"",""
"Annual Summary Report",""
"Pollutant: NO2",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56037903","-52.71147156","7","1HR","0","0.4","1.2","2.3","4.4","6.2","9.7","13.7","18.9","22.8","33.5","39.6","85.23972603","5.6","3.2","3.6","3.5","3.4","5.1","5.5","3.2","3.6","3.5","4.1","","4","4.680888424","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513077","-52.79476166","135","1HR","0","0","0.3","0.6","1.1","1.5","2.7","4.3","7.5","10.7","26.9","59.7","96.47260274","3","1.2","1.1","0.5","0.8","1.3","1","0.5","0.8","1.1","1.7","1.4","1.2","2.420834973","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92695999","-55.65966034","62","1HR","0","0.6","1","1.3","1.7","2.1","2.8","3.6","5.3","6.7","14.4","28.5","92.1347032","1.8","1.4","0.7","1.1","1.2","1.3","1.8","1.5","1.7","2","2.7","2.3","1.6","1.29681458","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95223999","-57.92206955","100","1HR","0","0.8","1.4","2.1","3.2","4.3","6.6","9.1","12.5","14.6","22","38.6","98.94977169","2.8","3","3","2.9","5.6","3.8","3.4","2.6","2.1","2.7","2.1","2.5","3","2.915814095","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899139","-55.19852066","1","1HR","0","0.1","0.2","0.4","0.5","0.7","1","1.4","2.4","3.2","8.3","16.5","99.9086758","0.8","0.6","0.7","0.5","0.4","0.4","0.5","0.4","0.4","0.5","0.6","0.5","0.5","0.710830952","",""
"011002","Labrador City","NL","317 Hudson Drive","52.94548798","-66.91030884","558","1HR","0","0.4","0.7","1.3","2.3","3.3","5.6","8.8","14","18.4","34.6","60.5","99.09817352","3.7","2","2.9","1.9","2.2","1.7","1.8","1.9","1.6","2.4","3.1","4.3","2.5","3.643264079","",""
"020104","Charlottetown","PE","3 Brighton Road","46.23300171","-63.13666916","21","1HR","0","0.4","0.8","1.2","2","2.9","5.3","8","12.5","16.8","30.1","60.5","93.43607306","3.2","2.5","1.8","1.4","1.7","1.7","1.6","1.9","2.6","3.4","2.9","2.8","2.3","3.270194684","",""
"020301","Wellington","PE","40 Route 125 (Hackmatack Road)","46.4784317","-63.98762894","6","1HR","0","0.1","0.3","0.5","0.7","0.9","1.2","1.6","2.3","3","7.9","17.9","94.8173516","0.9","0.7","0.9","0.6","0.6","0.7","0.8","0.7","0.4","0.5","0.5","0.4","0.6","0.707480166","",""
"020401","Southampton","PE","2580 Route 313 (Cardigan Road)","46.38634872","-62.58272171","30","1HR","0","0.1","0.2","0.3","0.5","0.7","0.9","1.1","1.6","2.2","4.1","6","91.36986301","0.6","0.4","0.5","0.3","0.2","0.6","0.5","0.5","","0.4","0.4","0.5","0.4","0.434596869","",""
"030113","Halifax","NS","1672 Granville Street","44.64710999","-63.5736618","28","1HR","0","1.6","2.8","4.1","5.8","7.3","10.1","13.5","18.4","20.9","30.8","44.2","98.42465753","6.1","5.4","6.1","4.8","5.3","6.3","5.4","5.2","5.2","3.4","3.3","5.6","5.2","4.126900087","",""
