*DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*1HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*8HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*24HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*DMAX1HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*DMAX8HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*DAILYMEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
************DESCRIPTION************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File Generated On:,2/11/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant: O3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: ppb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day: from midnight to midnight.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All data reported in standard local time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Criteria for 1hr report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly averages are reported if at least 50% of the hours during the month have valid measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Criteria for 8hr report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 hour averages are valid if at least 18 of the 24 hours are valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Criteria for 24hr report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 hour averages are valid if at least 18 of the 24 hours are valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Criteria for DMax1hr report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily max 1-hour only valid if at least 18 of 24 hours have valid data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly averages are reported if at least 50% days have a valid daily 1-hr max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Criteria for DMax8hr report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 hour averages are valid if at least 6 of the 8 hours are valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Max 8hr is valid if at least 18 hours in day have valid running 8-hour average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly averages are reported if at least 50% days have a valid daily max 8-hr average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual average and standard deviation are reported if 50% of days have daily max 8-hr average and each quarter has at least 2 valid months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Criteria for DailyMean report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily means are valid if at least 18 of the 24 hours are valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly averages are reported if at least 50% days have a valid daily mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
************1HR************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPS ID,City,P/T,Location,Latitude,Longitude,Elevation,ID,Minimum,10th Percentile,30th Percentile,50th Percentile,70th Percentile,80th Percentile,90th Percentile,95th Percentile,98th Percentile,99th Percentile,99.9th Percentile,Maximum,Percent Completeness,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard Deviation
