*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-04-05"
"",""
"Annual Summary Report",""
"Pollutant: CO",""
"Units: ppm",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
" ",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56037903","-52.71147156","7","1HR","0.04","0.1","0.12","0.14","0.16","0.17","0.2","0.24","0.31","0.37","0.6","0.79","98.69080146","0.16","0.16","0.16","0.14","0.12","0.12","0.13","0.15","0.16","0.17","0.16","0.16","0.15","0.053820098","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513077","-52.79476166","135","1HR","0.03","0.11","0.14","0.16","0.19","0.21","0.24","0.26","0.3","0.34","0.51","0.66","97.99635701","0.17","0.26","0.2","0.17","0.21","0.15","0.14","0.14","0.16","0.15","0.16","0.15","0.17","0.054776453","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92695999","-55.65966034","62","1HR","0","0.07","0.09","0.11","0.14","0.16","0.18","0.21","0.27","0.32","0.62","0.9","89.82240437","0.2","0.16","0.11","0.1","0.14","0.13","0.08","0.08","0.11","0.12","0.14","","0.12","0.05794139","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95223999","-57.92206955","100","1HR","0","0.07","0.13","0.15","0.18","0.2","0.23","0.26","0.31","0.34","0.44","0.58","98.01912568","0.15","0.2","0.18","0.19","0.17","0.15","0.09","0.1","0.16","0.2","0.15","0.13","0.15","0.06303203","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899139","-55.19852066","1","1HR","0.06","0.1","0.12","0.13","0.14","0.15","0.16","0.18","0.21","0.22","0.36","0.44","95.69672131","0.15","0.12","0.13","0.13","0.16","0.15","0.14","0.12","0.12","0.11","0.12","0.12","0.13","0.02890732","",""
"030113","Halifax","NS","1672 Granville Street","44.64710999","-63.5736618","28","1HR","0","0.06","0.08","0.09","0.11","0.12","0.15","0.17","0.22","0.25","1.95","11.02","98.38342441","0.13","0.14","0.12","0.1","0.09","0.09","0.1","0.09","0.1","0.08","0.17","0.08","0.11","0.214255611","",""
"030310","Sydney","NS","71 Welton Street","46.14221954","-60.17251968","27","1HR","0.03","0.09","0.1","0.12","0.14","0.15","0.18","0.22","0.28","0.32","0.63","0.99","97.00591985","0.18","0.17","0.14","0.12","0.12","0.11","0.11","0.12","0.12","0.12","0.12","0.13","0.13","0.053109387","",""
"040209","Saint John","NB","8 Castle Street","45.28028107","-66.05610657","41","1HR","0.06","0.12","0.14","0.15","0.17","0.18","0.2","0.23","0.26","0.29","0.39","0.6","99.3510929","0.18","0.19","0.17","0.15","0.15","0.14","0.14","0.13","0.14","0.16","0.16","0.17","0.16","0.039070981","",""
"040302","Moncton","NB","5 Thanet Street","46.10157776","-64.78965759","9","1HR","0.06","0.11","0.14","0.15","0.17","0.19","0.23","0.29","0.42","0.51","0.94","1.06","88.37659381","0.23","0.22","0.18","0.16","0.14","0.13","0.14","0.14","0.16","","0.19","0.18","0.17","0.077286069","",""
"050109","Montréal","QC","2495 Duncan / Decarie, Mt-Royal","45.5026474","-73.66390991","41","1HR","0.08","0.15","0.18","0.21","0.26","0.29","0.36","0.43","0.52","0.6","0.95","1.15","98.5428051","0.3","0.3","0.23","0.18","0.2","0.21","0.21","0.23","0.23","0.24","0.27","0.24","0.24","0.099835424","",""
"050113","Laval","QC","1160 Boul Pie-Ix","45.54746246","-73.7483139","35","1HR","0.08","0.13","0.15","0.17","0.2","0.22","0.28","0.35","0.48","0.57","1.02","1.5","93.23770492","0.26","0.26","0.21","0.17","0.15","0.16","0.16","0.16","0.17","0.19","0.23","0.21","0.19","0.094091845","",""
"050128","Montréal","QC","90-A Rue Herve-Saint-Martin, Dorval","45.46832275","-73.74119568","33","1HR","0.07","0.12","0.14","0.16","0.18","0.21","0.26","0.32","0.43","0.53","0.74","1.04","98.42896175","0.25","0.25","0.2","0.16","0.15","0.14","0.15","0.15","0.16","0.16","0.2","0.19","0.18","0.076961898","",""
"050129","Montréal","QC","12400 Wilfrid-Ouellette (R-D-P)","45.65169144","-73.57382202","29","1HR","0.08","0.13","0.15","0.17","0.19","0.22","0.26","0.32","0.4","0.48","0.89","1","99.5787796","0.23","0.24","0.2","0.17","0.16","0.15","0.15","0.16","0.16","0.18","0.21","0.2","0.19","0.074833301","",""
"050135","Montréal","QC","4240 Rue Charleroi","45.59339905","-73.63726044","41","1HR","0.09","0.13","0.16","0.18","0.21","0.24","0.3","0.36","0.45","0.55","0.94","1.4","96.0154827","0.26","0.26","0.22","0.17","0.16","0.16","0.16","0.18","0.19","0.2","0.23","0.22","0.2","0.086767345","",""
"050136","Montréal","QC","75 Rue Ontario Est","45.51218796","-73.56684113","32","1HR","0.09","0.13","0.16","0.18","0.21","0.22","0.26","0.31","0.39","0.46","0.63","0.84","99.81785064","0.24","0.24","0.2","0.17","0.17","0.16","0.17","0.17","0.18","0.19","0.22","0.21","0.19","0.064429833","",""
"050204","Gatineau","QC","255 St-Redempteur, Hull","45.43598557","-75.72342682","62","1HR","0.09","0.13","0.14","0.16","0.19","0.21","0.25","0.31","0.39","0.45","0.78","0.98","94.9795082","0.22","0.23","0.2","0.16","0.15","0.14","0.15","0.16","0.16","0.18","0.22","0.19","0.18","0.06993042","",""
