*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-04-05"
"",""
"Annual Summary Report",""
"Pollutant: NO",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56037903","-52.71147156","7","1HR","0","0.2","0.5","1","3.4","4.2","4.9","7.6","15.2","22.5","42.2","90.5","86.62340619","","","4.7","3.8","1.6","2.9","2.5","1.1","1.2","2.8","1.7","2.3","","","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513077","-52.79476166","135","1HR","0","0","0.1","0.2","0.3","0.4","0.6","0.8","1.6","2.8","13.1","59","99.95446266","0.5","0.5","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.4","0.2","0.3","0.3","1.023417247","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92695999","-55.65966034","62","1HR","0","0.2","0.4","0.6","0.8","0.9","1.4","2.3","6.5","10.9","35.2","131.6","89.68579235","1","0.9","0.7","0.4","0.5","0.8","0.9","2.2","1","1.1","1.3","","1","2.834331624","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95223999","-57.92206955","100","1HR","0","0.1","0.2","0.3","0.5","0.8","1.4","2.6","5.1","7.4","14.5","22.3","99.6129326","0.5","0.8","1","0.7","0.7","0.8","1.2","0.7","0.4","0.7","0.6","0.3","0.7","1.374565833","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899139","-55.19852066","1","1HR","0","0.1","0.2","0.3","0.5","0.6","1","2.4","6.2","11.2","35.9","45.9","99.8064663","0.5","0.6","0.5","0.4","3.3","0.5","0.3","0.3","0.3","0.5","0.3","1.3","0.7","2.405147318","",""
"011002","Labrador City","NL","317 Hudson Drive","52.94548798","-66.91030884","558","1HR","0","0.1","0.3","0.5","0.8","1.1","2","3.3","6.8","12.2","35.2","70.1","98.67941712","0.1","1","1.5","1","0.5","0.8","1.1","1","1.6","1.1","1.4","1.6","1.1","2.650851588","",""
"020104","Charlottetown","PE","3 Brighton Road","46.23300171","-63.13666916","21","1HR","0","0","0.1","0.2","0.3","0.4","0.6","0.9","2.3","5","33.3","98.2","99.04371585","1.5","0.8","0.2","0.1","0.2","0.3","0.2","0.2","0.3","0.6","0.4","0.4","0.4","2.388764803","",""
"020301","Wellington","PE","40 Route 125 (Hackmatack Road)","46.4784317","-63.98762894","6","1HR","0","0","0","0.1","0.1","0.2","0.2","0.4","0.7","1.3","6.6","23.6","98.62249545","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.487954502","",""
"020401","Southampton","PE","2580 Route 313 (Cardigan Road)","46.38634872","-62.58272171","30","1HR","0","0.1","0.1","0.2","0.2","0.3","0.3","0.5","0.7","0.9","3.1","8.4","99.51047359","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.239474727","",""
"030113","Halifax","NS","1672 Granville Street","44.64710999","-63.5736618","28","1HR","0","0.4","0.8","1.4","2.4","3.4","5.5","7.9","12.5","16.6","50","88.5","96.45947177","2.6","2.2","1.7","1.1","1.4","2.8","3.3","1.9","3.2","2.6","3","4.1","2.5","3.82632118","",""
