*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2/11/2026"
"",""
"Annual Summary Report",""
"Pollutant: PM10",""
"Units: ug/m3 (S)",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
" ",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56038","-52.71147","7","1HR","1","5","9","11","14","16","21","25","32","39","59","110","99.87477231","13","14","15","16","12","9","10","11","10","11","14","13","12","7.036875967","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513","-52.79476","135","1HR","0","3","7","10","13","15","18","22","27","31","53","59","32.34289617","","","","","","","","","10","10","12","10","","","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92696","-55.65966","62","1HR","0","3","6","9","11","13","17","22","30","37","83","129","28.77959927","","","","","","","","","","9","10","10","","","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95224","-57.92207","100","1HR","0","3","7","9","11","13","16","19","26","42","116","198","32.57058288","","","","","","","","","10","9","12","10","","","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","1HR","0","3","6","9","12","14","18","22","29","34","55","73","99.98861566","11","12","12","12","11","7","7","9","8","9","12","11","10","6.735224652","",""
"080111","Regina","SK","1621 Albert St.","50.4527","-104.616","585","1HR","0","8","12","16","22","27","37","49","67","81","124","205","98.9298725","12","18","15","19","22","17","20","35","31","20","18","13","20","15.14486648","",""
"080211","Saskatoon","SK","511 1st Avenue North","52.13613","-106.66293","483","1HR","1","8","12","18","26","33","45","59","78","91","143","227","96.23178506","12","21","28","29","26","23","22","32","28","24","18","14","23","18.33765189","",""
"080402","Prince Albert","SK","63 - 12th Street East","53.201694","-105.75203","436","1HR","1","6","10","14","21","27","37","48","63","79","134","299","99.00956284","9","13","15","22","22","17","21","23","28","22","18","18","19","15.79931598","",""
"080502","Estevan","SK","528 1a Street","49.13235","-102.98499","563","1HR","1","8","12","17","24","30","41","54","71","86","146","202","99.48770492","15","19","20","23","23","21","20","35","34","20","17","13","22","16.71449823","",""
"081001","Swift Current","SK","1200 Begg St. W","50.285833","-107.81689","753","1HR","1","6","10","14","20","26","38","53","76","95","230","477","99.64708561","10","13","14","22","21","19","20","34","33","18","19","11","20","20.60562103","",""
"082002","Buffalo Narrows","SK","Buffalo Narrows Forest Protection Base","55.834566","-108.403332","425","1HR","0","3","5","7","9","11","14","18","29","43","81","144","98.50865209","5","5","6","7","10","12","10","9","10","8","8","7","8","7.487270049","",""
