*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","3/5/2025"
"",""
"Annual Summary Report",""
"Pollutant: NO2",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
" ",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56037903","-52.71147156","7","1HR","0","0.9","1.5","2.3","4.1","6.1","9.9","13.4","18.4","22.2","40.6","49.8","99.74885845","4.6","4.2","4","7.1","3.3","3.1","3.7","2.7","3.8","4.3","4.8","3.5","4.1","4.678768426","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513077","-52.79476166","135","1HR","0","0.1","0.3","0.5","0.9","1.2","2.1","3.3","5.1","7.5","16.9","23.5","99.10958904","1.2","1.1","1.1","1.1","0.8","0.7","0.6","0.6","0.7","0.9","1.4","1.2","0.9","1.487307375","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92695999","-55.65966034","62","1HR","0","0.4","0.6","0.8","1.1","1.3","1.8","2.3","3.2","4","7.9","22.1","83.42465753","","","1","1.1","1","1","0.9","0.7","0.8","1.4","1.4","0.9","","","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95223999","-57.92206955","100","1HR","0","0.4","0.8","1.2","2","2.9","4.7","7.1","10.7","13.5","21","27.5","99.08675799","2.5","3.1","2.3","2.1","2.8","1.7","1.4","2","1.4","2.1","1.2","2.2","2.1","2.581205638","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899139","-55.19852066","1","1HR","0","0.1","0.4","1.1","2.2","2.9","3.8","4.6","5.5","6.1","7.9","18.9","91.89497717","2.5","2.6","2.7","2.3","2.1","1.7","2.5","0.2","0.3","0.4","0.6","0.5","1.6","1.55246324","",""
"011002","Labrador City","NL","317 Hudson Drive","52.94548798","-66.91030884","558","1HR","0","0.4","0.8","1.4","2.6","3.7","6.1","9.6","15.2","20.4","34.5","49.2","99.41780822","3.2","5.1","3.1","2.5","1.8","1.6","1.8","1.8","1.9","3.3","2.9","3.6","2.7","3.872374921","",""
"020104","Charlottetown","PE","3 Brighton Road","46.23300171","-63.13666916","21","1HR","0","0.3","0.5","0.8","1.4","2","3.8","6.2","10.8","15.6","29.1","34.1","98.84703196","3.2","2.9","1.6","1.4","1.5","0.8","1","1","0.9","1.9","2.2","2","1.7","2.830083027","",""
"020301","Wellington","PE","40 Route 125 (Hackmatack Road)","46.4784317","-63.98762894","6","1HR","0","0.1","0.3","0.4","0.6","0.8","1","1.4","2.1","2.8","6.6","10.2","99.7716895","0.7","0.7","0.8","0.5","0.6","0.6","0.3","0.4","0.3","0.4","0.5","0.7","0.5","0.588663363","",""
"020401","Southampton","PE","2580 Route 313 (Cardigan Road)","46.38634872","-62.58272171","30","1HR","0","0.1","0.2","0.3","0.5","0.6","0.8","1.1","1.5","2","4","10.4","99.61187215","0.3","0.4","0.5","0.3","0.4","0.6","0.4","0.5","0.3","0.4","0.5","0.5","0.4","0.395418394","",""
"030113","Halifax","NS","1672 Granville Street","44.64710999","-63.5736618","28","1HR","0","1.3","2.5","3.7","5.6","7.2","9.9","13.1","17.2","19.7","27.5","37.4","99.42922374","5","5.6","6","4.7","4.3","4.3","3.9","4.4","4.1","4.1","6.5","5.5","4.9","4.012924181","",""
