*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","3/2/2026"
"",""
"Annual Summary Report",""
"Pollutant: CO",""
"Units: ppm",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
" ",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56038","-52.71147","7","1HR","0","0.1","0.13","0.14","0.16","0.18","0.21","0.24","0.29","0.33","0.49","1.33","94.69178082","0.13","0.14","0.16","0.17","0.16","0.14","0.13","0.13","0.13","0.16","0.17","0.17","0.15","0.052229968","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513","-52.79476","135","1HR","0.03","0.1","0.12","0.14","0.17","0.19","0.22","0.24","0.26","0.27","0.38","0.73","90.02283105","","0.13","0.12","0.14","0.21","0.22","0.15","0.13","0.15","0.17","0.13","0.13","0.15","0.047557558","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92696","-55.65966","62","1HR","0","0.05","0.08","0.13","0.18","0.19","0.22","0.24","0.27","0.29","0.5","0.83","86.79223744","0.19","0.19","0.18","0.14","0.1","0.09","","0.07","0.07","0.1","0.2","0.19","0.13","0.068060581","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95224","-57.92207","100","1HR","0","0.08","0.1","0.13","0.16","0.18","0.21","0.23","0.34","0.38","0.43","0.52","93.25342466","0.21","0.1","0.12","0.2","0.16","0.12","0.1","0.08","0.09","0.11","0.13","0.19","0.14","0.061926704","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","1HR","0.02","0.1","0.11","0.12","0.13","0.14","0.15","0.17","0.19","0.21","0.38","0.59","93.56164384","0.12","0.16","0.14","0.13","0.12","0.1","0.11","0.12","0.14","0.11","0.11","0.11","0.12","0.028376094","",""
"030113","Halifax","NS","1672 Granville Street","44.64711","-63.57366","28","1HR","0","0.09","0.11","0.12","0.14","0.16","0.18","0.22","0.27","0.31","0.45","0.69","99.32648402","0.16","0.15","0.16","0.15","0.12","0.11","0.13","0.13","0.13","0.13","0.12","0.13","0.13","0.046005788","",""
"030310","Sydney","NS","71 Welton Street","46.14222","-60.17252","27","1HR","0.05","0.09","0.1","0.12","0.13","0.15","0.17","0.2","0.26","0.31","0.62","0.9","97.2260274","0.11","0.11","0.14","0.13","0.12","0.11","0.12","0.12","0.11","0.15","0.13","0.14","0.13","0.0482953","",""
"040209","Saint John","NB","8 Castle Street","45.28028","-66.05611","41","1HR","0","0.11","0.13","0.15","0.17","0.18","0.2","0.22","0.24","0.27","0.35","0.45","97.87671233","0.18","0.17","0.18","0.16","0.14","0.14","0.14","0.15","0.14","0.14","0.13","0.15","0.15","0.038493367","",""
"040302","Moncton","NB","5 Thanet Street","46.101578","-64.789661","9","1HR","0","0.12","0.14","0.16","0.18","0.19","0.24","0.31","0.42","0.52","0.79","1.11","92.15753425","0.23","0.19","0.19","0.17","0.16","0.14","0.15","0.16","","0.18","0.16","0.19","0.17","0.077434888","",""
"050109","Montréal","QC","2495 Duncan / Decarie, Mt-Royal","45.502648","-73.663913","41","1HR","0.07","0.15","0.19","0.23","0.27","0.31","0.38","0.45","0.54","0.61","0.82","0.91","98.52739726","0.31","0.27","0.28","0.23","0.24","0.21","0.23","0.23","0.23","0.29","0.24","0.25","0.25","0.101067043","",""
