NAPS ID,City,P/T,Location,Latitude,Longitude,Elevation,ID,Minimum,Maximum,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard Deviation
010102,St. John's,NL,354 Water Street,47.56038,-52.71147,7,1HR,0.02,0.6,0.15,0.15,0.15,0.16,0.15,0.17,0.16,0.19,0.21,0.2,0.19,0.18,0.17,0.055529009
010401,Mount Pearl,NL,Old Placentia Road,47.50513,-52.79476,135,1HR,0,1.18,0.14,0.18,0.17,0.12,0.12,0.14,0.16,0.13,0.15,0.13,0.15,0.13,0.14,0.062188974
010501,Grand Falls - Windsor,NL,Scott Avenue,48.92696,-55.65966,62,1HR,0,0.69,0.19,0.21,0.16,0.15,0.1,0.09,0.08,0.11,0.13,0.14,0.19,0.16,0.14,0.065009429
010602,Corner Brook,NL,Macpherson Ave,48.95224,-57.92207,100,1HR,0,0.54,0.15,0.14,0.14,0.25,0.21,0.17,0.14,0.21,0.18,0.17,0.17,0.21,0.18,0.061295399
010901,Burin,NL,18 Hwy 220 (Main St.),47.09899,-55.19852,1,1HR,0,0.41,0.13,,,0.12,0.11,0.11,0.12,0.15,0.16,0.15,0.13,0.12,,
030113,Halifax,NS,1672 Granville Street,44.64711,-63.57366,28,1HR,0,1.11,0.13,0.14,0.13,0.14,0.14,0.2,0.18,0.19,0.18,0.17,0.15,0.16,0.16,0.05497316
030310,Sydney,NS,71 Welton Street,46.14222,-60.17252,27,1HR,0,0.7,0.14,0.14,0.13,0.15,0.14,0.16,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.04893882
040209,Saint John,NB,8 Castle Street,45.28028,-66.05611,41,1HR,0.05,0.63,0.17,0.16,0.16,0.15,0.14,0.18,0.19,0.2,0.2,0.19,0.17,0.17,0.17,0.04640576
040302,Moncton,NB,5 Thanet Street,46.101578,-64.789661,9,1HR,0.1,1.07,0.18,0.2,0.19,0.17,0.15,0.19,0.21,0.22,0.23,0.22,0.21,0.21,0.2,0.077989497
050109,Montréal,QC,"2495 Duncan / Decarie, Mt-Royal",45.502648,-73.663913,41,1HR,0.1,1.77,0.28,0.28,0.26,0.25,0.24,0.32,0.34,0.31,0.33,0.28,0.26,0.3,0.29,0.119023649
050113,Laval,QC,1160 Boul Pie-Ix,45.547463,-73.748317,35,1HR,0.09,1.7,0.22,0.25,0.2,0.19,0.16,,0.22,0.24,0.26,0.21,0.21,0.23,0.22,0.087555166
050128,Montréal,QC,"90-A Rue Herve-Saint-Martin, Dorval",45.468322,-73.741198,33,1HR,0.11,1.25,0.21,,,,,,,,,,,,,
050129,Montréal,QC,12400 Wilfrid-Ouellette (R-D-P),45.651691,-73.573825,29,1HR,0,1.78,0.2,,0.18,0.18,0.16,0.26,0.24,0.23,0.22,,0.19,0.22,0.21,0.091638165
050135,Montréal,QC,4240 Rue Charleroi,45.5934,-73.63726,41,1HR,0.12,0.83,0.24,0.28,,,,,,,,,,,,
050136,Montréal,QC,75 Rue Ontario Est,45.512189,-73.566842,32,1HR,0.11,2.35,0.2,0.22,0.19,0.19,0.18,0.27,0.27,0.25,0.24,0.21,0.2,0.24,0.22,0.091346831
050308,Québec,QC,600 Rue Des Sables,46.821177,-71.220495,8,1HR,0.09,1.29,0.21,0.25,0.18,0.17,0.16,0.22,0.25,0.22,0.24,0.22,0.22,0.23,0.21,0.099362408
050313,Québec,QC,Autoroute Henri Iv Nord/Sortie 138,46.781321,-71.308717,52,1HR,0.04,1.61,0.28,0.31,0.3,0.25,0.29,0.32,0.43,0.4,0.42,0.39,0.36,0.39,0.35,0.198138265
054401,Saint-Anicet,QC,1128 De La Guerre,45.120624,-74.2896,50,1HR,0.09,1.24,0.16,0.17,0.16,0.15,0.13,0.23,0.22,0.2,0.19,0.16,0.15,0.18,0.18,0.072029273
060204,Windsor,ON,467 University Ave. West,42.315778,-83.043667,176,1HR,0.01,1.93,0.24,0.23,0.22,0.21,0.22,0.34,0.26,0.29,0.27,0.24,0.25,0.25,0.25,0.112605273
060430,Toronto,ON,125 Resources Road,43.709444,-79.5435,141,1HR,0.04,1.76,0.25,0.24,0.25,0.23,0.25,0.34,0.32,0.31,0.3,0.26,0.21,0.24,0.27,0.114642766
060438,Toronto,ON,401w - 125 Resources Rd.,43.711106,-79.543425,139,1HR,0.01,1.83,0.32,0.31,0.31,0.29,0.34,0.42,0.4,0.4,0.39,0.36,0.34,0.38,0.35,0.155240883
060440,Toronto,ON,4905 Dufferin Street,43.78042,-79.46752,,1HR,0.05,1.71,0.2,0.21,0.2,0.19,0.2,0.28,0.26,0.26,0.25,0.24,0.22,0.23,0.23,0.096124005
060512,Hamilton,ON,Elgin & Kelly,43.25778,-79.86167,90,1HR,0,1.1,,,,,,,,,0.3,0.23,0.23,0.24,,
080111,Regina,SK,1621 Albert St.,50.4527,-104.616,585,1HR,0.09,1.84,0.19,0.18,0.18,0.16,0.2,0.17,0.21,0.24,0.28,0.18,0.17,0.19,0.2,0.093244303
080211,Saskatoon,SK,511 1st Avenue North,52.13613,-106.66293,483,1HR,0,2.13,0.2,0.19,0.19,0.16,0.21,0.2,0.23,0.25,0.32,0.19,0.18,0.21,0.21,0.121569671
090121,Edmonton,AB,17 Street & 105 Avenue,53.54823,-113.36811,670,1HR,0,2.59,0.27,0.19,0.2,0.25,0.33,0.29,0.36,0.33,0.36,0.2,0.22,0.24,0.27,0.168919867
090136,St. Albert,AB,37 Sunset Blvd,53.626908,-113.611883,681,1HR,0.03,2.31,0.3,0.2,0.21,0.16,0.28,0.18,0.37,0.36,0.37,0.23,0.23,0.28,0.27,0.172112344
090140,Edmonton,AB,9619 - 105a Avenue Nw,53.5495,-113.4859,1100,1HR,0.1,2.54,0.38,0.27,0.25,0.2,0.38,0.32,0.39,0.39,0.45,0.35,0.31,0.34,0.34,0.202441661
090141,Edmonton,AB,11313 - 61 Avenue Nw,53.4978,-113.527,671,1HR,0.08,2.26,0.34,0.23,0.22,0.17,0.3,0.22,0.3,0.3,0.35,0.21,0.24,0.28,0.26,0.176996959
090229,Calgary,AB,4700 110 Avenue Se,50.955122,-113.969742,1032,1HR,0.01,2.52,0.34,0.25,0.23,0.18,0.22,0.21,0.25,0.25,0.24,0.21,0.26,0.32,0.25,0.146473937
090230,Calgary,AB,2425 9th Ave Se,51.0309,-114.0091,1038,1HR,0.01,2.76,0.47,0.3,0.27,0.19,0.31,0.23,0.26,0.27,0.29,0.25,0.32,0.39,0.3,0.215156887
090235,Calgary,AB,3303 - 33 Street Nw,51.082655,-114.138827,1100,1HR,0,2.72,0.28,0.24,0.22,0.17,0.28,0.21,0.24,0.25,0.24,0.2,0.23,0.27,0.24,0.144999832
