*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","3/4/2026"
"",""
"Annual Summary Report",""
"Pollutant: CO",""
"Units: ppm",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
" ",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56038","-52.71147","7","1HR","0.03","0.11","0.13","0.15","0.17","0.19","0.21","0.24","0.29","0.34","0.49","1.26","95.49180328","0.18","0.18","0.18","0.16","0.17","0.14","0.15","0.16","0.16","0.14","0.14","0.14","0.16","0.04994324","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513","-52.79476","135","1HR","0.03","0.09","0.11","0.12","0.14","0.15","0.17","0.18","0.21","0.23","0.32","0.43","74.53324226","0.14","0.13","0.15","0.12","0.11","0.1","0.13","0.11","0.15","","","","","","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92696","-55.65966","62","1HR","0","0.09","0.12","0.14","0.17","0.19","0.22","0.24","0.27","0.31","0.47","0.56","93.11247723","0.2","0.19","0.18","0.14","0.13","0.13","0.13","0.1","0.18","0.11","0.14","0.21","0.15","0.053869932","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95224","-57.92207","100","1HR","0","0.06","0.09","0.15","0.2","0.22","0.31","0.37","0.41","0.44","0.56","0.82","95.04781421","0.28","0.37","0.2","0.2","0.21","0.19","0.12","0.09","0.07","0.06","0.09","0.14","0.16","0.0975988","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","1HR","0.02","0.1","0.11","0.12","0.13","0.13","0.14","0.15","0.17","0.18","0.21","0.36","95.05919854","0.12","0.13","0.12","0.13","0.11","0.11","0.11","0.11","0.1","0.11","0.13","0.14","0.12","0.020336629","",""
"030113","Halifax","NS","1672 Granville Street","44.64711","-63.57366","28","1HR","0","0.09","0.11","0.12","0.14","0.16","0.18","0.2","0.23","0.26","0.37","0.61","97.95081967","0.15","0.16","0.12","0.12","0.11","0.1","0.13","0.15","0.13","0.12","0.12","0.14","0.13","0.039442538","",""
"030310","Sydney","NS","71 Welton Street","46.14222","-60.17252","27","1HR","0.06","0.11","0.13","0.14","0.15","0.17","0.19","0.21","0.26","0.29","0.52","0.72","78.05100182","0.16","0.16","0.16","0.15","0.13","0.13","0.15","0.15","0.13","","","","","","",""
"040209","Saint John","NB","8 Castle Street","45.28028","-66.05611","41","1HR","0.08","0.12","0.14","0.16","0.18","0.19","0.21","0.23","0.26","0.29","0.4","0.56","96.50500911","0.16","0.17","0.17","0.16","0.15","0.14","0.17","0.19","0.18","0.16","0.15","0.16","0.16","0.038020158","",""
"040302","Moncton","NB","5 Thanet Street","46.101578","-64.789661","9","1HR","0.09","0.14","0.15","0.17","0.19","0.21","0.24","0.3","0.39","0.47","0.7","0.97","94.75182149","0.2","0.21","0.19","0.17","0.16","0.16","0.18","0.19","0.19","0.18","0.17","0.2","0.18","0.064990053","",""
"050109","Montréal","QC","2495 Duncan / Decarie, Mt-Royal","45.502648","-73.663913","41","1HR","0.09","0.16","0.2","0.24","0.3","0.33","0.4","0.48","0.58","0.66","0.98","1.59","99.41939891","0.27","0.3","0.26","0.22","0.24","0.24","0.26","0.3","0.3","0.26","0.26","0.31","0.27","0.11137978","",""
"050113","Laval","QC","1160 Boul Pie-Ix","45.547463","-73.748317","35","1HR","0.08","0.13","0.16","0.18","0.2","0.23","0.27","0.34","0.44","0.51","0.86","1.2","92.34972678","0.19","0.25","0.2","0.17","0.17","0.16","0.17","0.21","0.21","0.19","0.19","0.23","0.2","0.079525231","",""
"050129","Montréal","QC","12400 Wilfrid-Ouellette (R-D-P)","45.651691","-73.573825","29","1HR","0.1","0.13","0.15","0.17","0.2","0.23","0.28","0.33","0.4","0.49","0.66","0.82","72.42714026","0.2","0.23","0.2","0.16","0.17","","","0.2","0.21","0.18","0.18","","0.19","0.070382098","",""
