*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","3/4/2026"
"",""
"Annual Summary Report",""
"Pollutant: NOX_ALL",""
"Units: Unknown",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
" ",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56038","-52.71147","7","1HR","0","1","2","3","6","9","15","23","37","49","109","196","96.15209472","5","7","7","5","13","8","7","4","6","5","6","6","7","9.993683792","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513","-52.79476","135","1HR","0","0","1","1","1","2","3","4","6","9","21","31","99.46493625","1","2","2","1","2","1","1","1","1","1","1","2","1","1.831822874","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92696","-55.65966","62","1HR","0","1","1","1","2","2","4","5","8","13","53","82","78.7568306","","","2","2","2","3","3","2","2","2","2","2","","","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95224","-57.92207","100","1HR","0","1","1","2","3","3","5","8","13","16","32","50","90.23224044","3","3","3","2","","3","4","2","3","2","2","2","3","3.169829936","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","1HR","0","0","1","1","1","1","1","2","3","4","11","33","99.60154827","1","1","1","1","1","1","1","1","1","1","1","1","1","0.964422128","",""
"011002","Labrador City","NL","317 Hudson Drive","52.945487","-66.910306","558","1HR","0","1","1","2","4","5","9","15","26","35","65","140","99.30555556","7","8","5","4","5","3","2","3","3","2","5","5","4","6.522620012","",""
"020104","Charlottetown","PE","3 Brighton Road","46.233","-63.13667","21","1HR","0","0","1","1","2","2","3","5","11","17","44","99","96.74408015","3","3","2","2","2","1","1","1","2","2","1","3","2","3.518880497","",""
"020301","Wellington","PE","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","1HR","0","0","1","1","1","1","1","2","2","3","8","12","99.63570128","1","1","1","1","1","1","1","1","1","1","0","1","1","0.623138299","",""
"020401","Southampton","PE","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","1HR","0","0","0","1","1","1","1","2","3","3","9","31","98.45173042","1","1","1","1","1","1","1","1","1","1","0","0","1","0.806677544","",""
"030113","Halifax","NS","1672 Granville Street","44.64711","-63.57366","28","1HR","0","2","3","5","7","10","15","21","34","50","130","198","99.36247723","7","9","5","7","7","6","10","7","9","10","6","8","7","10.04004365","",""
"030120","Dartmouth","NS","341 Cherrybrook Road","44.7198","-63.48076","68","1HR","0","0","0","1","2","2","3","5","7","10","18","33","98.40619308","2","2","1","1","1","1","2","2","1","2","1","2","2","1.94068842","",""
"030201","Port Hawkesbury","NS","18 Embree Street","45.614161","-61.362356","14","1HR","0","0","1","1","2","4","8","21","45","60","90","106","98.55418944","9","8","6","3","2","2","2","2","2","2","4","10","4","10.42458048","",""
"030310","Sydney","NS","71 Welton Street","46.14222","-60.17252","27","1HR","0","0","1","2","3","4","7","10","16","25","61","78","78.11930783","5","7","3","2","2","2","3","3","3","","","","","","",""
"030901","Pictou","NS","91 Beeches Road","45.681744","-62.696575","12","1HR","0","0","1","1","1","1","2","3","5","6","21","33","98.98679417","2","2","1","2","1","1","1","1","1","1","1","1","1","1.472418959","",""
"031101","Kentville","NS","32 Main Street","45.067284","-64.477425","60","1HR","0","0","1","1","1","1","2","3","4","6","13","22","97.30191257","1","2","1","1","1","1","1","1","1","1","1","2","1","1.174054687","",""
"040104","Fredericton","NB","486 Needham Street","45.957289","-66.645236","10","1HR","0","1","1","2","2","3","5","7","11","14","26","84","96.86930783","3","4","3","2","2","2","2","1","2","3","2","3","2","2.886352076","",""
"040203","Saint John","NB","Mountain Road","45.308762","-66.008384","41","1HR","0","0","1","2","4","6","9","14","20","25","40","70","99.92030965","2","2","2","3","4","5","8","6","5","3","2","3","4","5.103721558","",""
"040207","Saint John","NB","476 Lancaster Avenue W.","45.252898","-66.080065","59","1HR","0","0","1","2","3","5","9","15","23","28","40","59","99.7723133","5","5","4","3","2","3","3","3","4","3","5","5","4","5.368434185","",""
"040209","Saint John","NB","8 Castle Street","45.28028","-66.05611","41","1HR","0","1","2","3","5","7","12","19","30","40","71","125","99.73816029","7","6","5","4","5","4","5","7","6","6","4","6","5","7.669639875","",""
"040302","Moncton","NB","5 Thanet Street","46.101578","-64.789661","9","1HR","0","1","2","2","4","5","9","14","21","27","56","74","98.57695811","6","6","4","4","3","3","3","3","4","4","4","6","4","5.414725016","",""
"040901","St. Andrews","NB","Marine Science Drive, Route 127","45.086912","-67.074036","25","1HR","0","0","0","1","1","1","1","2","2","3","8","39","99.69262295","1","1","1","1","1","1","1","1","0","1","0","1","1","0.873955439","",""
"041302","Bathurst","NB","1255 Rough Waters Drive","47.609693","-65.633509","16","1HR","0","0","0","1","1","2","3","4","7","10","22","50","99.72677596","2","2","1","1","1","1","1","1","1","1","1","2","1","2.122429094","",""
"041501","Edmundston","NB","19 Queen St.","47.363195","-68.322302","159","1HR","0","1","2","4","6","8","13","17","25","31","53","101","99.81785064","8","9","7","5","4","5","4","4","4","5","7","7","6","6.237738814","",""
"041601","Miramichi","NB","15 Gretna Green Drive","47.025671","-65.520487","24","1HR","0","0","0","1","1","1","2","3","4","6","13","27","98.55418944","1","1","1","0","0","1","1","1","1","1","1","1","1","1.258974875","",""
"050103","Montréal","QC","1050 A, Boul. Saint-Jean-Baptiste","45.641026","-73.499682","19","1HR","0","1","3","5","8","10","16","22","30","36","58","71","99.14617486","9","11","7","5","6","5","4","5","8","9","8","10","7","7.206549255","",""
"050109","Montréal","QC","2495 Duncan / Decarie, Mt-Royal","45.502648","-73.663913","41","1HR","0","4","8","14","22","28","39","53","68","79","116","130","95.91302368","23","26","17","13","14","17","16","16","18","20","21","25","19","16.38901249","",""
"050113","Laval","QC","1160 Boul Pie-Ix","45.547463","-73.748317","35","1HR","0","1","2","4","7","9","15","22","33","44","72","88","95.10473588","","12","7","5","5","4","3","4","6","6","8","11","7","8.319429932","",""
"050119","Longueuil","QC","Face Au 1819 Rue Victoria","45.52207","-73.4881","32","1HR","0","1","3","4","7","9","14","20","29","35","62","110","98.52003643","8","9","5","4","5","5","4","5","7","8","7","11","6","7.156130233","",""
