*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","3/4/2026"
"",""
"Annual Summary Report",""
"Pollutant: SO2",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
" ",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56038","-52.71147","7","1HR","0","0","0.1","0.1","0.2","0.2","0.3","0.5","0.7","0.9","1.6","2.9","96.06102004","0.1","0.1","0.2","0.1","0.2","0.1","0.2","0.1","0.3","0.1","0.1","0.1","0.2","0.174215179","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513","-52.79476","135","1HR","0","0","0.1","0.1","0.2","0.2","0.3","0.4","0.5","0.5","0.9","1.4","99.53324226","0.1","0.2","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.1","0.2","0.2","0.1","0.129001484","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95224","-57.92207","100","1HR","0","0.2","0.3","0.5","0.6","0.6","0.7","0.7","0.8","0.8","2.5","10.2","94.9795082","0.4","0.5","0.5","0.6","0.6","0.7","0.8","0.2","0.2","0.3","0.4","0.4","0.5","0.264129632","",""
"011002","Labrador City","NL","317 Hudson Drive","52.945487","-66.910306","558","1HR","0","0.1","0.2","0.2","0.4","0.5","0.6","1.2","3.5","5.8","16.5","29.2","99.36247723","0.2","0.3","0.6","0.9","0.8","0.4","0.2","0.3","0.2","0.3","0.9","0.5","0.5","1.236106468","",""
"020104","Charlottetown","PE","3 Brighton Road","46.233","-63.13667","21","1HR","0","0.1","0.2","0.2","0.3","0.3","0.4","0.4","0.5","0.6","1.4","1.8","97.49544627","0.3","0.3","0.2","0.2","0.2","0.1","0.2","0.3","0.2","0.3","0.2","0.1","0.2","0.121672353","",""
"030113","Halifax","NS","1672 Granville Street","44.64711","-63.57366","28","1HR","0","0.1","0.1","0.2","0.2","0.3","0.4","0.5","0.7","1.1","7.4","12.3","99.66985428","0.4","0.3","0.3","0.2","0.2","0.2","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.382583719","",""
"030120","Dartmouth","NS","341 Cherrybrook Road","44.7198","-63.48076","68","1HR","0","0.1","0.1","0.1","0.2","0.2","0.4","0.5","0.8","1","2.6","11.1","97.32468124","0.4","0.3","0.2","0.2","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.2","0.276939812","",""
"030201","Port Hawkesbury","NS","18 Embree Street","45.614161","-61.362356","14","1HR","0","0.2","0.3","0.4","0.6","0.8","1","1.4","2.9","7.1","24.6","51","99.37386157","0.6","0.8","0.9","0.6","0.4","0.3","0.8","1.2","0.6","0.6","0.7","0.8","0.7","1.686914959","",""
"030310","Sydney","NS","71 Welton Street","46.14222","-60.17252","27","1HR","0","0.1","0.2","0.3","0.4","0.5","0.7","1","2.7","5.2","20.8","41.4","78.35837887","0.8","0.9","0.4","0.4","0.4","0.2","0.7","0.2","0.4","","","","","","",""
"030901","Pictou","NS","91 Beeches Road","45.681744","-62.696575","12","1HR","0","0.1","0.1","0.2","0.2","0.3","0.4","0.5","0.7","1.4","9.2","40.7","98.20127505","0.4","0.3","0.4","0.3","0.2","0.2","0.1","0.2","0.2","0.3","0.3","0.2","0.3","0.768082944","",""
