File generated on // Fichier créé sur, 2024-01-26

Pollutant // Polluant:, PM10
Units // Unités, µg/m3
Note // Note,Data is hour ending local standard time // Données en heure normale locale
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles

Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-01,9,3,5,6,5,4,5,4,6,6,6,5,6,4,6,8,9,7,10,10,8,7,6,6
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-02,7,8,7,5,7,9,10,7,10,7,6,6,4,0,3,2,2,4,5,3,2,1,3,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-03,18,4,4,2,3,3,3,4,4,4,4,3,3,4,2,3,3,3,4,5,5,5,5,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-04,4,3,4,3,3,4,5,7,12,11,10,8,8,7,7,6,7,12,10,11,11,8,7,11
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-05,9,12,10,9,6,5,4,5,5,7,9,5,5,5,7,6,6,6,8,8,10,11,12,9
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-06,9,8,10,9,9,8,8,8,8,8,8,6,5,5,3,4,5,6,6,6,5,4,5,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-07,4,6,5,5,4,5,5,6,6,7,5,5,4,4,4,7,4,6,6,7,6,7,6,4
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-08,4,3,4,3,5,4,4,4,5,6,5,4,6,5,6,6,7,9,9,10,10,4,0,2
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-09,2,4,5,4,3,1,4,2,9,8,7,3,2,5,5,6,9,7,7,4,3,3,5,4
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-10,4,4,8,4,4,6,5,4,5,4,4,3,4,5,5,5,6,5,6,5,4,5,8,6
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-11,4,6,6,7,8,8,9,7,8,10,6,5,6,7,6,8,10,8,8,7,5,4,6,11
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-12,13,8,11,8,6,8,10,13,20,14,12,10,9,8,8,9,7,6,6,8,7,8,8,10
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-13,10,8,8,8,8,9,9,8,9,9,13,7,8,7,10,10,9,9,8,8,8,8,8,10
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-14,8,8,9,10,8,8,10,9,8,14,9,10,7,7,7,8,6,5,5,6,4,5,5,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-15,3,3,5,4,4,3,3,4,5,6,5,5,5,5,6,5,5,6,6,4,4,5,5,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-16,4,5,4,4,4,4,6,9,14,16,14,17,14,8,8,16,21,11,8,9,7,9,9,8
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-17,10,4,5,8,5,6,6,6,8,7,6,4,4,5,6,6,5,6,5,5,5,4,4,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-18,4,4,6,5,5,6,5,7,8,8,9,6,9,9,14,10,8,7,5,4,4,5,5,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-19,4,5,5,5,4,4,4,5,6,6,9,10,8,8,8,9,10,9,7,7,8,7,8,9
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-20,7,6,7,6,6,6,5,6,7,6,6,7,4,5,6,4,8,7,4,4,5,4,3,3
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-21,3,2,3,2,2,3,2,3,4,5,5,4,4,6,6,6,6,6,7,9,6,7,6,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-22,4,6,6,6,6,6,5,6,6,6,6,6,7,4,4,6,8,6,9,8,10,8,7,4
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-23,3,2,3,2,3,3,3,5,5,4,4,2,2,3,2,7,5,5,6,4,5,4,4,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-24,5,4,5,4,4,5,5,4,5,6,6,2,2,2,4,5,5,4,3,4,4,5,6,6
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-25,6,6,5,4,5,5,5,5,5,4,5,5,4,1,3,4,5,5,4,3,2,3,4,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-26,6,5,4,4,4,4,4,4,5,4,4,4,3,3,5,8,8,6,4,5,7,8,7,7
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-27,8,7,7,7,5,8,8,8,8,9,9,10,13,17,11,9,8,8,7,6,6,7,4,3
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-28,1,2,1,1,1,3,1,3,3,3,3,2,1,3,3,4,4,3,2,2,3,4,5,0
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-29,0,1,0,2,1,3,3,2,3,4,2,3,8,10,12,21,23,16,13,13,12,10,8,8
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-30,7,7,10,9,7,9,9,7,9,14,14,13,17,10,11,14,12,13,10,9,6,5,6,4
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-01-31,5,2,4,6,5,6,5,4,4,1,5,2,2,1,2,3,3,4,4,3,0,4,7,4
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-01,4,5,5,4,4,4,3,5,3,4,5,6,7,7,7,8,8,7,9,7,7,8,6,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-02,5,6,6,5,6,4,6,7,6,6,7,8,9,11,11,11,12,9,8,6,6,6,6,6
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-03,6,6,6,6,6,6,6,7,7,10,5,7,9,14,13,14,17,12,9,7,5,7,6,7
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-04,6,7,5,4,6,8,11,10,13,14,14,10,10,10,12,10,6,7,5,7,8,14,7,2
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-05,2,6,5,4,5,9,7,6,7,8,11,15,25,35,13,6,4,3,4,3,4,3,4,4
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-06,3,2,4,3,5,5,6,6,3,3,4,5,1,2,4,6,6,8,11,8,4,8,4,6
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-07,4,4,6,6,7,6,5,7,7,14,11,6,4,5,5,6,8,6,8,6,6,7,12,9
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-08,7,7,8,6,6,8,6,7,8,12,6,7,8,9,8,9,13,10,8,7,8,7,7,7
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-09,6,6,6,5,6,6,6,6,7,7,10,9,7,8,6,8,9,9,5,4,17,10,5,3
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-10,5,5,6,4,10,14,12,12,15,15,14,14,10,9,10,7,7,6,10,7,5,6,7,8
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-11,7,5,6,6,6,7,7,6,10,7,6,7,7,5,8,8,10,12,12,13,7,7,8,10
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-12,7,6,7,6,7,5,5,6,5,5,5,5,5,6,8,5,6,4,4,4,4,3,3,4
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-13,3,3,2,1,2,2,2,3,4,3,9,9,9,10,14,6,10,7,5,4,4,3,3,2
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-14,3,4,2,3,3,0,1,1,2,4,5,6,5,6,6,5,6,8,6,6,9,9,10,8
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-15,5,13,5,7,4,8,10,11,13,16,21,34,25,31,25,17,12,8,9,10,12,8,8,7
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-16,4,3,3,4,6,3,4,6,5,5,8,7,5,5,8,8,10,8,7,7,6,5,5,4
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-17,3,3,3,3,2,3,4,5,6,8,6,6,8,9,8,10,10,6,6,5,4,4,4,4
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-18,3,3,2,3,4,2,2,2,4,5,3,3,3,3,5,7,8,8,8,7,6,10,8,9
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-19,7,6,5,6,5,5,5,3,4,5,3,4,4,5,6,6,7,4,6,3,3,6,4,6
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-20,8,9,10,11,12,10,10,13,16,8,13,4,1,4,5,6,6,6,5,5,5,7,9,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-21,7,8,7,7,7,7,7,9,11,11,11,11,9,10,15,14,15,11,16,15,12,11,9,10
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-22,11,7,2,3,3,5,7,5,9,8,6,3,11,11,9,15,10,5,5,5,5,0,9,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-23,5,6,5,0,4,7,7,13,9,2,15,30,34,27,44,43,35,39,42,35,29,27,25,22
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-02-24,16,13,6,9,8,11,25,49,50,57,72,54,40,40,35,43,51,46,44,41,41,48,50,36
