File generated on // Fichier créé sur, 2026-02-27

Pollutant // Polluant:, CO
Units // Unités, ppm
Note // Note,Data is hour ending local standard time // Données en heure normale locale
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles

Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
CO,010102,St. John's,NL,47.56038,-52.71147,2022-01-01,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.08,0.11,0.12,0.11,0.12,0.13,0.17,0.22,0.26,0.24,0.23,0.17,0.13,0.14
CO,010102,St. John's,NL,47.56038,-52.71147,2022-01-02,0.10,0.10,0.10,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.10,0.10,0.11,0.10,0.11,0.11,0.10,0.10,0.10,0.10,0.10,0.10,0.10
CO,010102,St. John's,NL,47.56038,-52.71147,2022-01-03,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.15,0.13,0.13,0.13,0.12,0.12
CO,010102,St. John's,NL,47.56038,-52.71147,2022-01-04,0.12,0.12,0.12,0.12,0.11,0.11,0.17,0.17,0.16,0.16,0.33,0.08,0.09,0.08,0.08,0.13,0.10,0.07,0.07,0.06,0.06,0.06,0.05,0.06
CO,010102,St. John's,NL,47.56038,-52.71147,2022-01-05,0.05,0.05,0.05,0.06,0.06,0.06,0.08,0.11,0.17,0.18,0.12,0.06,0.07,0.05,0.04,0.05,0.07,0.07,0.05,0.06,0.04,0.03,0.02,0.02
CO,010102,St. John's,NL,47.56038,-52.71147,2022-01-06,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.02,0.10,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.10,0.11,0.12,0.12,0.11
CO,010102,St. John's,NL,47.56038,-52.71147,2022-01-07,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.14,0.20,0.16,0.14,0.12,0.14,0.12,0.14,0.16,0.15,0.13,0.11,0.14,0.12,0.12,0.10,0.13
CO,010102,St. John's,NL,47.56038,-52.71147,2022-01-08,0.10,0.10,0.09,0.10,0.10,0.10,0.10,0.11,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.11,0.10,0.09,0.09,0.10,0.10,0.11,0.09
CO,010102,St. John's,NL,47.56038,-52.71147,2022-01-09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.09,0.11,0.10,0.11,0.12,0.13,0.15,0.12,0.11,0.10,0.10,0.09,0.09
CO,010102,St. John's,NL,47.56038,-52.71147,2022-01-10,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.09,0.09,0.11,0.11,0.11,0.12,0.12,0.12,0.14,0.13,0.13,0.13,0.12,0.11,0.12
CO,010102,St. John's,NL,47.56038,-52.71147,2022-01-11,0.12,0.11,0.10,0.11,0.10,0.10,0.10,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.13,0.21,0.19,0.20,0.16,0.15,0.14,0.11,0.11
CO,010102,St. John's,NL,47.56038,-52.71147,2022-01-12,0.11,0.13,0.12,0.14,0.11,0.11,0.12,0.14,0.23,0.13,0.16,0.10,0.17,0.12,0.10,0.10,0.14,0.23,0.22,0.18,0.19,0.18,0.13,0.12
CO,010102,St. John's,NL,47.56038,-52.71147,2022-01-13,0.10,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.10,0.09,0.09,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.10,0.10,0.10,0.10,0.09,0.10
