NAPS_ID,Station_Name,Status,Location_Address,City,Province/Territory,Postal_Code,Timezone_UTC,Latitude,Longitude,Elevation_m,Start_Date,End_Date
10101,DUCKWORTH & ORDINANCE,0,DUCKWORTH & ORDINANCE,ST. JOHN'S,NEWFOUNDLAND AND LABRADOR,A1C 1E4,-3.5,47.56806,-52.70222,7,2/7/1975,7/26/1988
10102,WATER STREET POST OFFICE,1,354 WATER STREET,ST. JOHN'S,NEWFOUNDLAND AND LABRADOR,A1C 1C4,-3.5,47.56038,-52.71147,7,7/31/1988,
10301,CREDIT UNION,0,BROOK STREET,CORNER BROOK,NEWFOUNDLAND AND LABRADOR,A2H 2T7,-3.5,48.949479,-57.945387,5,6/30/2001,5/22/2014
10401,MOUNT PEARL,1,OLD PLACENTIA ROAD,MOUNT PEARL,NEWFOUNDLAND AND LABRADOR,A1N 4P4,-3.5,47.50513,-52.79476,135,5/4/2002,
10501,ABITIBI SITE,1,SCOTT AVENUE,GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,A2A 2K1,-3.5,48.92696,-55.65966,62,5/17/2004,
10601,GOOSE BAY,1,ABBOT STREET,HAPPY VALLEY - GOOSE BAY,NEWFOUNDLAND AND LABRADOR,A0P 1C0,-3.5,53.306,-60.36314,39,3/9/2005,
10602,MACPHERSON AVENUE,1,MACPHERSON AVE,CORNER BROOK,NEWFOUNDLAND AND LABRADOR,A2H 6Z4,-3.5,48.95224,-57.92207,100,7/14/2009,
10701,FERROLE POINT,0,FERROLE POINT LIGHTHOUSE,FERROLE POINT,NEWFOUNDLAND AND LABRADOR,A0K 4L0,-3.5,51.021995,-57.095567,13,12/31/2004,10/31/2009
10801,PORT AU CHOIX,1,PORT AU CHOIX (Town Hall),PORT AUX CHOIX,NEWFOUNDLAND AND LABRADOR,A0K 4C0,-3.5,50.7123,-57.36421,13,6/15/2010,
10901,MARYSTOWN_BURIN,1,18 HWY 220 (Main St.),BURIN,NEWFOUNDLAND AND LABRADOR,A0E 2E0,-3.5,47.09899,-55.19852,1,10/23/2011,
11001,LABRADOR CITY - SMOKEY MOUNTAIN,0,,LABRADOR CITY,NEWFOUNDLAND AND LABRADOR,,-4,52.9518,-66.9156,540,1/1/2014,12/31/2015
11002,FIREHALL-LABRADORCITY2,1,317 HUDSON DRIVE,LABRADOR CITY,NEWFOUNDLAND AND LABRADOR,A2V 1L6,-4,52.945487,-66.910306,558,1/1/2016,
20101,CHARLOTTETOWN - 56 FITZROY ST.,0,56 FITZROY ST.,CHARLOTTETOWN,PRINCE EDWARD ISLAND,C1A 1R5,-4,46.23543,-63.13078,2,1/3/1974,12/31/1997
20104,CHARLOTTETOWN - 3 BRIGHTON RD.,1,3 BRIGHTON ROAD,CHARLOTTETOWN,PRINCE EDWARD ISLAND,C1A 8T6,-4,46.233,-63.13667,21,1/1/2014,
20201,NORTH CAPE - ATLANTIC WIND TEST SITE,0,NORTH CAPE,NORTH CAPE,PRINCE EDWARD ISLAND,,-4,47.055,-63.99722,4,9/17/1992,12/31/1997
20301,WELLINGTON - 40 HACKMATACK RD.,1,40 ROUTE 125 (HACKMATACK ROAD),WELLINGTON,PRINCE EDWARD ISLAND,C0B 2E0,-4,46.47843,-63.98763,6,1/1/2014,
20401,SOUTHAMPTON - 2580 CARDIGAN RD.,1,2580 ROUTE 313 (CARDIGAN ROAD),SOUTHAMPTON,PRINCE EDWARD ISLAND,C0A 2A0,-4,46.38635,-62.58272,30,1/1/2014,
