"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-67.72","46.71","AROOSTOOK","8100300","2025-02-01","2025","02","01","¿","-11.5","","-19.0","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-67.72","46.71","AROOSTOOK","8100300","2025-02-02","2025","02","02","¿","-9.5","","-26.0","","-17.8","","35.8","","0.0","","0.0","","1.6","","1.6","","24","","","","",""
"-67.72","46.71","AROOSTOOK","8100300","2025-02-03","2025","02","03","¿","-3.0","","-15.0","","-9.0","","27.0","","0.0","","0.0","","6.4","","6.4","","24","","","","",""
"-67.72","46.71","AROOSTOOK","8100300","2025-02-04","2025","02","04","¿","-4.0","","-9.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-67.72","46.71","AROOSTOOK","8100300","2025-02-05","2025","02","05","¿","-13.0","","-20.5","","-16.8","","34.8","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-67.72","46.71","AROOSTOOK","8100300","2025-02-06","2025","02","06","¿","-1.0","","-25.5","","-13.3","","31.3","","0.0","","0.0","","6.0","","6.0","","29","","","","",""
"-67.72","46.71","AROOSTOOK","8100300","2025-02-07","2025","02","07","¿","0.5","","-10.0","","-4.8","","22.8","","0.0","","0.0","","0.6","","0.6","","34","","","","",""
"-67.72","46.71","AROOSTOOK","8100300","2025-02-08","2025","02","08","¿","-5.0","","-15.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-67.72","46.71","AROOSTOOK","8100300","2025-02-09","2025","02","09","¿","-7.0","","-15.5","","-11.3","","29.3","","0.0","","0.0","","0.4","","0.4","","31","","","","",""
"-67.72","46.71","AROOSTOOK","8100300","2025-02-10","2025","02","10","¿","-8.0","","-23.5","","-15.8","","33.8","","0.0","","0.0","","0.4","","0.4","","31","","","","",""
"-67.72","46.71","AROOSTOOK","8100300","2025-02-11","2025","02","11","¿","-8.0","","-28.0","","-18.0","","36.0","","0.0","","0.0","","0.4","","0.4","","31","","","","",""
"-67.72","46.71","AROOSTOOK","8100300","2025-02-12","2025","02","12","¿","-10.0","","-22.5","","-16.3","","34.3","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-67.72","46.71","AROOSTOOK","8100300","2025-02-13","2025","02","13","¿","-9.5","","-22.5","","-16.0","","34.0","","0.0","","0.0","","26.2","","26.2","","30","","","","",""
"-67.72","46.71","AROOSTOOK","8100300","2025-02-14","2025","02","14","¿","-8.5","","-18.0","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
