"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-65.17","45.69","MECHANIC SETTLEMENT","8102848","2010-01-01","2010","01","01","","-6.9","","-12.2","","-9.6","","27.6","","0.0","","","M","","M","0.0","","26","","6","","35",""
"-65.17","45.69","MECHANIC SETTLEMENT","8102848","2010-01-02","2010","01","02","","1.0","","-7.2","","-3.1","","21.1","","0.0","","0.0","","","M","32.1","","26","","9","","74",""
"-65.17","45.69","MECHANIC SETTLEMENT","8102848","2010-01-03","2010","01","03","","0.0","","-1.8","","-0.9","","18.9","","0.0","","0.0","","","M","8.3","","28","","3","","46",""
"-65.17","45.69","MECHANIC SETTLEMENT","8102848","2010-01-04","2010","01","04","","-1.1","","-2.5","","-1.8","","19.8","","0.0","","","M","","M","1.0","","45","","","","<31",""
"-65.17","45.69","MECHANIC SETTLEMENT","8102848","2010-01-05","2010","01","05","","-0.5","","-2.8","","-1.7","","19.7","","0.0","","","M","","M","14.7","","46","","","M","","M"
"-65.17","45.69","MECHANIC SETTLEMENT","8102848","2010-01-06","2010","01","06","","-2.6","","-5.0","","-3.8","","21.8","","0.0","","","M","","M","0.2","","43","","","M","","M"
"-65.17","45.69","MECHANIC SETTLEMENT","8102848","2010-01-07","2010","01","07","","-3.3","","-6.2","","-4.8","","22.8","","0.0","","","M","","M","0.0","","42","","","M","","M"
"-65.17","45.69","MECHANIC SETTLEMENT","8102848","2010-01-08","2010","01","08","","-5.0","","-7.7","","-6.4","","24.4","","0.0","","","M","","M","0.2","","42","","","","<31",""
"-65.17","45.69","MECHANIC SETTLEMENT","8102848","2010-01-09","2010","01","09","","-6.1","","-12.3","","-9.2","","27.2","","0.0","","0.0","","","M","1.4","","44","","33","","32",""
"-65.17","45.69","MECHANIC SETTLEMENT","8102848","2010-01-10","2010","01","10","","-10.4","","-16.3","","-13.4","","31.4","","0.0","","","M","","M","0.2","","44","","31","","35",""
