"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-01","2019","01","01","","-4.3","","-17.3","","-10.8","","28.8","","0.0","","","","","","12.8","","15","","11","","31",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-02","2019","01","02","","-3.4","","-10.7","","-7.0","","25.0","","0.0","","","","","","28.0","","44","","31","","60",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-03","2019","01","03","","-10.2","","-18.2","","-14.2","","32.2","","0.0","","","","","","2.7","","51","","31","","46",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-04","2019","01","04","","-7.5","","-19.2","","-13.4","","31.4","","0.0","","","","","","0.0","","46","","","","",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-05","2019","01","05","","0.3","","-7.6","","-3.6","","21.6","","0.0","","","","","","1.9","","43","","17","","31",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-06","2019","01","06","","3.2","","-1.0","","1.1","","16.9","","0.0","","","","","","13.9","","40","","24","","49",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-07","2019","01","07","","-0.3","","-7.6","","-3.9","","21.9","","0.0","","","","","","1.3","","35","","24","","53",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-08","2019","01","08","","-7.3","","-10.5","","-8.9","","26.9","","0.0","","","","","","0.0","","34","","1","","48",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-09","2019","01","09","","-4.5","","-7.5","","-6.0","","24.0","","0.0","","","","","","0.0","","34","","","","",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-10","2019","01","10","","0.3","","-5.1","","-2.4","","20.4","","0.0","","","","","","12.2","","36","","","","",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-11","2019","01","11","","1.0","","-3.2","","-1.1","","19.1","","0.0","","","","","","1.3","","36","","19","","41",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-12","2019","01","12","","-1.2","","-7.8","","-4.5","","22.5","","0.0","","","","","","1.2","","35","","25","","45",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-13","2019","01","13","","-2.1","","-10.8","","-6.5","","24.5","","0.0","","","","","","0.0","","34","","25","","50",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-14","2019","01","14","","-4.3","","-12.4","","-8.3","","26.3","","0.0","","","","","","0.0","","34","","28","","31",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-15","2019","01","15","","-2.9","","-8.5","","-5.7","","23.7","","0.0","","","","","","29.0","","35","","35","","57",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2019-01-16","2019","01","16","","-5.2","","-8.8","","-7.0","","25.0","","0.0","","","","","","0.0","","57","","32","","45",""
