"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-52.94","48.17","GRATES COVE","840B053","2025-01-01","2025","01","01","","4.3","","1.5","","2.9","","15.1","","0.0","","","","","","","","","","13","","79",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-02","2025","01","02","","5.6","","3.5","","4.6","","13.4","","0.0","","","","","","","","","","15","","90",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-03","2025","01","03","","5.1","","1.2","","3.2","","14.8","","0.0","","","","","","","","","","20","","43",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-04","2025","01","04","","4.7","","-0.4","","2.2","","15.8","","0.0","","","","","","","","","","6","","82",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-05","2025","01","05","","4.6","","1.8","","3.2","","14.8","","0.0","","","","","","","","","","9","","141",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-06","2025","01","06","","2.8","","1.7","","2.2","","15.8","","0.0","","","","","","","","","","14","","66",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-07","2025","01","07","","3.2","","0.5","","1.9","","16.1","","0.0","","","","","","","","","","","","",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-08","2025","01","08","","2.0","","-0.2","","0.9","","17.1","","0.0","","","","","","","","","","27","","44",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-09","2025","01","09","","2.2","","-0.4","","0.9","","17.1","","0.0","","","","","","","","","","26","","64",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-10","2025","01","10","","1.7","","0.3","","1.0","","17.0","","0.0","","","","","","","","","","21","","51",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-11","2025","01","11","","1.6","","0.8","","1.2","","16.8","","0.0","","","","","","","","","","33","","49",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-12","2025","01","12","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-52.94","48.17","GRATES COVE","840B053","2025-01-13","2025","01","13","","0.8","","-1.0","","-0.1","","18.1","","0.0","","","","","","","","","","2","","62",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-14","2025","01","14","","0.2","","-1.6","","-0.7","","18.7","","0.0","","","","","","","","","","33","","41",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-15","2025","01","15","","0.9","","-2.0","","-0.5","","18.5","","0.0","","","","","","","","","","3","","47",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-16","2025","01","16","","1.1","","-1.3","","-0.1","","18.1","","0.0","","","","","","","","","","2","","67",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-17","2025","01","17","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-52.94","48.17","GRATES COVE","840B053","2025-01-18","2025","01","18","","-0.9","","-5.1","","-3.0","","21.0","","0.0","","","","","","","","","","18","","37",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-19","2025","01","19","","3.7","","-1.2","","1.2","","16.8","","0.0","","","","","","","","","","17","","82",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-20","2025","01","20","","11.4","","0.2","","5.8","","12.2","","0.0","","","","","","","","","","26","","98",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-21","2025","01","21","","0.2","","-8.5","","-4.1","","22.1","","0.0","","","","","","","","","","30","","81",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-22","2025","01","22","","-7.1","","-12.5","","-9.8","","27.8","","0.0","","","","","","","","","","30","","65",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-23","2025","01","23","","-5.5","","-12.8","","-9.1","","27.1","","0.0","","","","","","","","","","30","","65",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-24","2025","01","24","","-0.3","","-6.9","","-3.6","","21.6","","0.0","","","","","","","","","","26","","59",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-25","2025","01","25","","-3.5","","-9.2","","-6.3","","24.3","","0.0","","","","","","","","","","29","","63",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-26","2025","01","26","","-1.5","","-6.2","","-3.9","","21.9","","0.0","","","","","","","","","","28","","49",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-27","2025","01","27","","-0.4","","-5.8","","-3.1","","21.1","","0.0","","","","","","","","","","30","","49",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-28","2025","01","28","","6.1","","-5.0","","0.5","","17.5","","0.0","","","","","","","","","","25","","95",""
"-52.94","48.17","GRATES COVE","840B053","2025-01-29","2025","01","29","","-0.7","","-5.4","","-3.1","","21.1","","0.0","","","","","","","","","","30","","81",""
