"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-01-01","2019","01","01","","-2.6","","-13.8","","-8.2","","26.2","","0.0","","","","","","","M","","","14","","70",""
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-01-02","2019","01","02","","-1.7","","-8.3","","-5.0","","23.0","","0.0","","","","","","","M","","","34","","109",""
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-01-03","2019","01","03","","-7.7","","-15.3","","-11.5","","29.5","","0.0","","","","","","","M","","","33","","78",""
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-01-04","2019","01","04","","-3.8","","-16.1","","-10.0","","28.0","","0.0","","","","","","","M","","","21","","44",""
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-01-05","2019","01","05","","0.2","","-4.1","","-1.9","","19.9","","0.0","","","","","","","M","","","21","","61",""
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-01-06","2019","01","06","","2.4","","-0.5","","1.0","","17.0","","0.0","","","","","","","M","","","11","","81",""
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-01-07","2019","01","07","","1.4","","-5.9","","-2.3","","20.3","","0.0","","","","","","","M","","","33","","78",""
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-01-08","2019","01","08","","-3.9","","-7.5","","-5.7","","23.7","","0.0","","","","","","","M","","","34","","74",""
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-01-09","2019","01","09","","-2.4","","-4.2","","-3.3","","21.3","","0.0","","","","","","","M","","","2","","49",""
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-01-10","2019","01","10","","0.2","","-2.6","","-1.2","","19.2","","0.0","","","","","","","M","","","14","","63",""
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-01-11","2019","01","11","","0.4","","-1.7","","-0.7","","18.7","","0.0","","","","","","","M","","","23","","48",""
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-01-12","2019","01","12","","0.6","","-5.4","","-2.4","","20.4","","0.0","","","","","","","M","","","25","","62",""
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-01-13","2019","01","13","","-1.3","","-9.0","","-5.2","","23.2","","0.0","","","","","","","M","","","28","","55",""
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-01-14","2019","01","14","","-3.5","","-9.6","","-6.6","","24.6","","0.0","","","","","","","M","","","29","","47",""
