"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-01","2025","01","01","","5.5","","4.1","","4.8","","13.2","","0.0","","","","","","","","","","8","","40",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-02","2025","01","02","","7.3","","3.8","","5.5","","12.5","","0.0","","","","","","","","","","14","","75",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-03","2025","01","03","","4.8","","1.1","","2.9","","15.1","","0.0","","","","","","","","","","20","","63",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-04","2025","01","04","","4.7","","0.4","","2.6","","15.4","","0.0","","","","","","","","","","2","","78",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-05","2025","01","05","","6.0","","0.9","","3.4","","14.6","","0.0","","","","","","","","","","4","","94",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-06","2025","01","06","","3.7","","2.0","","2.8","","15.2","","0.0","","","","","","","","","","","","",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-07","2025","01","07","","4.4","","0.9","","2.6","","15.4","","0.0","","","","","","","","","","","","",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-08","2025","01","08","","2.5","","-0.9","","0.8","","17.2","","0.0","","","","","","","","","","27","","36",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-09","2025","01","09","","2.1","","0.8","","1.4","","16.6","","0.0","","","","","","","","","","24","","42",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-10","2025","01","10","","2.9","","0.6","","1.8","","16.2","","0.0","","","","","","","","","","5","","45",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-11","2025","01","11","","2.7","","-0.2","","1.2","","16.8","","0.0","","","","","","","","","","34","","40",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-12","2025","01","12","","1.0","","-2.1","","-0.5","","18.5","","0.0","","","","","","","","","","36","","39",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-13","2025","01","13","","1.0","","-1.9","","-0.4","","18.4","","0.0","","","","","","","","","","35","","45",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-14","2025","01","14","","0.9","","-3.3","","-1.2","","19.2","","0.0","","","","","","","","","","34","","33",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-15","2025","01","15","","1.4","","-3.1","","-0.9","","18.9","","0.0","","","","","","","","","","3","","32",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-16","2025","01","16","","2.0","","-3.0","","-0.5","","18.5","","0.0","","","","","","","","","","36","","46",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-17","2025","01","17","","-0.4","","-5.4","","-2.9","","20.9","","0.0","","","","","","","","","","33","","31",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-18","2025","01","18","","1.7","","-4.1","","-1.2","","19.2","","0.0","","","","","","","","","","21","","44",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-19","2025","01","19","","5.3","","0.8","","3.0","","15.0","","0.0","","","","","","","","","","16","","74",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-20","2025","01","20","","7.3","","0.0","","3.7","","14.3","","0.0","","","","","","","","","","14","","73",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-21","2025","01","21","","0.3","","-8.6","","-4.1","","22.1","","0.0","","","","","","","","","","25","","72",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-22","2025","01","22","","-5.8","","-11.4","","-8.6","","26.6","","0.0","","","","","","","","","","30","","53",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-23","2025","01","23","","-4.6","","-10.7","","-7.6","","25.6","","0.0","","","","","","","","","","29","","51",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-24","2025","01","24","","0.1","","-5.6","","-2.8","","20.8","","0.0","","","","","","","","","","22","","56",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-25","2025","01","25","","-2.9","","-7.5","","-5.2","","23.2","","0.0","","","","","","","","","","30","","52",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-26","2025","01","26","","-0.6","","-4.7","","-2.6","","20.6","","0.0","","","","","","","","","","24","","40",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-27","2025","01","27","","0.6","","-2.9","","-1.1","","19.1","","0.0","","","","","","","","","","21","","60",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-28","2025","01","28","","5.2","","-1.2","","2.0","","16.0","","0.0","","","","","","","","","","17","","79",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-29","2025","01","29","","1.9","","-4.3","","-1.2","","19.2","","0.0","","","","","","","","","","13","","60",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-30","2025","01","30","","3.2","","-9.4","","-3.1","","21.1","","0.0","","","","","","","","","","28","","65",""
"-54.59","47.33","MARTICOT ISLAND","840KN90","2025-01-31","2025","01","31","","0.9","","-9.1","","-4.1","","22.1","","0.0","","","","","","","","","","29","","81",""
