"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-13","2025","02","13","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-14","2025","02","14","","-7.0","","-18.5","","-12.8","","30.8","","0.0","","","","","","0.0","","","","32","","76",""
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-15","2025","02","15","","2.0","","-7.0","","-2.5","","20.5","","0.0","","","","","","1.4","","","","34","","67",""
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-16","2025","02","16","","-1.7","","-3.9","","-2.8","","20.8","","0.0","","","","","","0.0","","","","32","","71",""
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-17","2025","02","17","","1.4","","-3.4","","-1.0","","19.0","","0.0","","","","","","3.2","","","","5","","50",""
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-18","2025","02","18","","1.0","","-1.6","","-0.3","","18.3","","0.0","","","","","","10.3","","","","4","","71",""
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-19","2025","02","19","","-1.6","","-6.8","","-4.2","","22.2","","0.0","","","","","","0.0","","","","33","","58",""
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-20","2025","02","20","","-4.9","","-7.9","","-6.4","","24.4","","0.0","","","","","","0.0","","","","29","","52",""
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-21","2025","02","21","","-6.3","","-12.9","","-9.6","","27.6","","0.0","","","","","","0.0","","","","30","","50",""
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-22","2025","02","22","","-3.8","","-17.6","","-10.7","","28.7","","0.0","","","","","","0.0","","","","29","","55",""
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-23","2025","02","23","","-4.0","","-15.8","","-9.9","","27.9","","0.0","","","","","","0.0","","","","22","","37",""
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-24","2025","02","24","","-8.5","","-20.0","","-14.3","","32.3","","0.0","","","","","","0.0","","","","20","","46",""
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-25","2025","02","25","","1.1","","-10.6","","-4.8","","22.8","","0.0","","","","","","0.0","","","","21","","59",""
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-26","2025","02","26","","-8.7","","-15.7","","-12.2","","30.2","","0.0","","","","","","0.0","","","","34","","63",""
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-27","2025","02","27","","-7.4","","-16.5","","-12.0","","30.0","","0.0","","","","","","0.0","","","","31","","59",""
"-57.04","53.68","CARTWRIGHT A","8501106","2025-02-28","2025","02","28","","-4.6","","-16.4","","-10.5","","28.5","","0.0","","","","","","0.0","","","","29","","55",""
