"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-65.47","43.45","BACCARO PT","8200255","2025-02-01","2025","02","01","","0.0","","-11.4","","-5.7","","23.7","","0.0","","","","","","3.1","","5","","3","","53",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-02","2025","02","02","","-3.4","","-12.7","","-8.0","","26.0","","0.0","","","","","","0.8","","4","","33","","32",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-03","2025","02","03","","3.5","","-3.4","","0.0","","18.0","","0.0","","","","","","4.5","","6","","21","","50",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-04","2025","02","04","","4.0","","-6.3","","-1.1","","19.1","","0.0","","","","","","9.2","","0","","27","","64",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-05","2025","02","05","","-4.8","","-12.0","","-8.4","","26.4","","0.0","","","","","","0.2","","0","","31","","52",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-06","2025","02","06","","4.0","","-10.8","","-3.4","","21.4","","0.0","","","","","","11.8","","3","","12","","62",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-07","2025","02","07","","5.0","","-1.5","","1.7","","16.3","","0.0","","","","","","0.2","","4","","26","","65",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-08","2025","02","08","","0.1","","-3.0","","-1.5","","19.5","","0.0","","","","","","0.0","","4","","31","","57",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-09","2025","02","09","","-0.8","","-9.7","","-5.2","","23.2","","0.0","","","","","","7.9","","6","","4","","46",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-10","2025","02","10","","0.4","","-8.9","","-4.3","","22.3","","0.0","","","","","","1.2","","7","","19","","49",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-11","2025","02","11","","1.1","","-12.4","","-5.6","","23.6","","0.0","","","","","","0.0","","9","","25","","60",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-12","2025","02","12","","0.1","","-7.3","","-3.6","","21.6","","0.0","","","","","","0.0","","6","","28","","41",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-13","2025","02","13","","6.2","","-5.8","","0.2","","17.8","","0.0","","","","","","18.5","","3","","10","","70",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-14","2025","02","14","","2.3","","-6.7","","-2.2","","20.2","","0.0","","","","","","","M","","","28","","91",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-15","2025","02","15","","-2.5","","-7.1","","-4.8","","22.8","","0.0","","","","","","0.2","","1","","31","","61",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-16","2025","02","16","","7.1","","-4.9","","1.1","","16.9","","0.0","","","","","","35.9","","1","","21","","73",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-17","2025","02","17","","5.9","","-3.9","","1.0","","17.0","","0.0","","","","","","0.3","","2","","26","","106",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-18","2025","02","18","","-2.9","","-6.7","","-4.8","","22.8","","0.0","","","","","","0.2","","","","28","","100",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-19","2025","02","19","","-0.8","","-6.8","","-3.8","","21.8","","0.0","","","","","","0.2","","2","","28","","57",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-20","2025","02","20","","1.1","","-3.3","","-1.1","","19.1","","0.0","","","","","","1.6","","2","","29","","32",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-21","2025","02","21","","0.7","","-3.3","","-1.3","","19.3","","0.0","","","","","","1.9","","8","","29","","54",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-22","2025","02","22","","-1.2","","-5.0","","-3.1","","21.1","","0.0","","","","","","0.2","","3","","29","","52",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-23","2025","02","23","","4.3","","-2.1","","1.1","","16.9","","0.0","","","","","","0.0","","2","","27","","48",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-24","2025","02","24","","3.8","","-3.4","","0.2","","17.8","","0.0","","","","","","0.2","","2","","18","","41",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-25","2025","02","25","","6.1","","1.9","","4.0","","14.0","","0.0","","","","","","0.2","","2","","17","","38",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-26","2025","02","26","","7.6","","0.2","","3.9","","14.1","","0.0","","","","","","1.5","","2","","29","","54",""
"-65.47","43.45","BACCARO PT","8200255","2025-02-27","2025","02","27","","","M","","M","","M","","M","","M","","","","","","M","2","","","M","","M"
"-65.47","43.45","BACCARO PT","8200255","2025-02-28","2025","02","28","","6.2","","-3.0","","1.6","","16.4","","0.0","","","","","","4.6","","0","","28","","53",""
