"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-01","2005","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-02","2005","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-03","2005","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-04","2005","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-05","2005","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-06","2005","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-07","2005","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-08","2005","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-09","2005","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-10","2005","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-11","2005","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-12","2005","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-13","2005","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-14","2005","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-15","2005","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-16","2005","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-17","2005","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-18","2005","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-63.53","44.60","MCNABS ISLAND (AUT)","8203478","2005-01-19","2005","01","19","","","","","","","","","","","","","","","","","","","","","","",""
