"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-01","2025","02","01","","-10.2","","-16.5","","-13.4","","31.4","","0.0","","","","","","0.0","","7","","32","","52",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-02","2025","02","02","","-9.8","","-18.0","","-13.9","","31.9","","0.0","","","","","","0.0","","5","","31","","34",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-03","2025","02","03","","-0.2","","-11.8","","-6.0","","24.0","","0.0","","","","","","0.7","","5","","18","","53",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-04","2025","02","04","","-0.1","","-10.0","","-5.0","","23.0","","0.0","","","","","","0.2","","10","","32","","48",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-05","2025","02","05","","-9.7","","-16.3","","-13.0","","31.0","","0.0","","","","","","0.0","","7","","31","","49",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-06","2025","02","06","","-1.6","","-16.5","","-9.0","","27.0","","0.0","","","","","","1.2","","7","","15","","38",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-07","2025","02","07","","1.6","","-6.5","","-2.4","","20.4","","0.0","","","","","","0.2","","6","","26","","55",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-08","2025","02","08","","-5.8","","-16.1","","-10.9","","28.9","","0.0","","","","","","0.0","","6","","30","","44",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-09","2025","02","09","","-9.4","","-16.4","","-12.9","","30.9","","0.0","","","","","","0.0","","6","","36","","35",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-10","2025","02","10","","","M","","M","","M","","M","","M","","","","","","M","6","","","M","","M"
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-11","2025","02","11","","-8.3","","-17.5","","-12.9","","30.9","","0.0","","","","","","0.5","","7","","31","","40",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-12","2025","02","12","","-8.9","","-23.0","","-15.9","","33.9","","0.0","","","","","","0.0","","6","","","","",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-13","2025","02","13","","-2.8","","-22.2","","-12.5","","30.5","","0.0","","","","","","9.5","","6","","11","","40",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-14","2025","02","14","","-3.4","","-12.2","","-7.8","","25.8","","0.0","","","","","","0.0","","16","","30","","83",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-15","2025","02","15","","-7.1","","-13.9","","-10.5","","28.5","","0.0","","","","","","0.0","","15","","29","","70",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-16","2025","02","16","","-2.6","","-12.4","","-7.5","","25.5","","0.0","","","","","","13.8","","15","","8","","48",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-17","2025","02","17","","3.4","","-11.9","","-4.2","","22.2","","0.0","","","","","","1.7","","17","","26","","94",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-18","2025","02","18","","-6.6","","-12.7","","-9.6","","27.6","","0.0","","","","","","0.4","","20","","26","","76",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-19","2025","02","19","","-1.9","","-8.8","","-5.4","","23.4","","0.0","","","","","","0.0","","16","","28","","36",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-20","2025","02","20","","0.3","","-10.2","","-5.0","","23.0","","0.0","","","","","","0.0","","16","","","","",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-21","2025","02","21","","-2.3","","-7.4","","-4.8","","22.8","","0.0","","","","","","0.0","","16","","33","","47",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-22","2025","02","22","","-5.0","","-13.0","","-9.0","","27.0","","0.0","","","","","","0.0","","16","","31","","36",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-23","2025","02","23","","-0.4","","-13.1","","-6.8","","24.8","","0.0","","","","","","0.0","","16","","22","","38",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-24","2025","02","24","","-1.6","","-11.6","","-6.6","","24.6","","0.0","","","","","","0.0","","16","","18","","42",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-25","2025","02","25","","4.8","","-1.8","","1.5","","16.5","","0.0","","","","","","0.0","","16","","23","","52",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-26","2025","02","26","","2.9","","-4.3","","-0.7","","18.7","","0.0","","","","","","0.0","","13","","36","","50",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-27","2025","02","27","","3.9","","-7.2","","-1.6","","19.6","","0.0","","","","","","1.6","","13","","17","","47",""
"-63.84","46.44","SUMMERSIDE","8300596","2025-02-28","2025","02","28","","4.6","","-10.0","","-2.7","","20.7","","0.0","","","","","","0.2","","11","","27","","65",""
