"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-01","2014","01","01","","-15.2","","-20.2","","-17.7","","35.7","","0.0","","","M","","M","0.0","","57","","25","","41",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-02","2014","01","02","","-16.2","","-26.0","","-21.1","","39.1","","0.0","","","M","","M","0.4","","56","","28","","37",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-03","2014","01","03","","-11.1","","-21.1","","-16.1","","34.1","","0.0","","","M","","M","1.5","","56","","34","","65",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-04","2014","01","04","","-8.4","","-21.9","","-15.2","","33.2","","0.0","","","M","","M","0.0","","63","","28","","43",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-05","2014","01","05","","-4.6","","-8.7","","-6.7","","24.7","","0.0","","","M","","M","0.0","","65","","","","<31",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-06","2014","01","06","","8.7","","-9.5","","-0.4","","18.4","","0.0","","","M","","M","4.9","","64","","16","","65",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-07","2014","01","07","","7.8","","-14.0","","-3.1","","21.1","","0.0","","","M","","M","0.5","","48","","25","","69",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-08","2014","01","08","","-9.8","","-14.7","","-12.3","","30.3","","0.0","","","M","","M","","M","47","","","","<31",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-09","2014","01","09","","-9.1","","-16.3","","-12.7","","30.7","","0.0","","","M","","M","0.0","","47","","28","","39",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-10","2014","01","10","","-3.4","","-18.7","","-11.1","","29.1","","0.0","","","M","","M","0.0","","47","","21","","33",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-11","2014","01","11","","8.7","","-7.6","","0.6","","17.4","","0.0","","","M","","M","10.3","","46","","19","","70",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-12","2014","01","12","","8.9","","1.2","","5.1","","12.9","","0.0","","","M","","M","0.5","","31","","20","","69",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-13","2014","01","13","","2.1","","-2.1","","0.0","","18.0","","0.0","","","M","","M","0.0","","26","","25","","44",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-14","2014","01","14","","8.4","","1.1","","4.8","","13.2","","0.0","","","M","","M","12.6","","26","","16","","48",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-15","2014","01","15","","8.0","","0.9","","4.5","","13.5","","0.0","","","M","","M","8.5","","12","","34","","48",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-16","2014","01","16","","2.0","","-0.2","","0.9","","17.1","","0.0","","","M","","M","14.9","","11","","","","<31",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-17","2014","01","17","","2.8","","-0.6","","1.1","","16.9","","0.0","","","M","","M","0.6","","10","","","","<31",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-18","2014","01","18","","2.5","","-1.7","","0.4","","17.6","","0.0","","","M","","M","0.4","","7","","","","<31",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-19","2014","01","19","","0.3","","-4.8","","-2.3","","20.3","","0.0","","","M","","M","2.4","","6","","24","","48",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-20","2014","01","20","","0.8","","-10.2","","-4.7","","22.7","","0.0","","","M","","M","1.5","","8","","26","","50",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-21","2014","01","21","","-10.2","","-16.2","","-13.2","","31.2","","0.0","","","M","","M","0.2","","10","","26","","35",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-22","2014","01","22","","-7.1","","-14.1","","-10.6","","28.6","","0.0","","","M","","M","6.3","","10","","34","","70",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-23","2014","01","23","","-8.7","","-18.4","","-13.6","","31.6","","0.0","","","M","","M","0.2","","40","","34","","54",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-24","2014","01","24","","-14.0","","-21.2","","-17.6","","35.6","","0.0","","","M","","M","0.0","","36","","","","<31",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-25","2014","01","25","","3.2","","-20.3","","-8.6","","26.6","","0.0","","","M","","M","0.4","","35","","14","","67",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-26","2014","01","26","","5.0","","-15.6","","-5.3","","23.3","","0.0","","","M","","M","4.6","","14","","14","","67",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-27","2014","01","27","","5.4","","-15.5","","-5.1","","23.1","","0.0","","","M","","M","3.4","","13","","15","","63",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-28","2014","01","28","","-4.8","","-13.3","","-9.1","","27.1","","0.0","","","M","","M","0.0","","11","","25","","61",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-29","2014","01","29","","-9.4","","-14.2","","-11.8","","29.8","","0.0","","","M","","M","1.7","","11","","","","<31",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-30","2014","01","30","","-8.8","","-13.4","","-11.1","","29.1","","0.0","","","M","","M","0.0","","12","","26","","33",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2014-01-31","2014","01","31","","1.1","","-9.0","","-4.0","","22.0","","0.0","","","M","","M","0.0","","12","","20","","50",""
