"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-01","2025","02","01","","-7.9","","-15.0","","-11.4","","29.4","","0.0","","","","","","0.0","","33","","31","","47",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-02","2025","02","02","","-11.3","","-17.3","","-14.3","","32.3","","0.0","","","","","","0.0","","25","","30","","40",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-03","2025","02","03","","-0.2","","-12.4","","-6.3","","24.3","","0.0","","","","","","1.2","","24","","17","","63",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-04","2025","02","04","","0.1","","-9.4","","-4.7","","22.7","","0.0","","","","","","1.9","","25","","28","","47",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-05","2025","02","05","","-9.4","","-19.0","","-14.2","","32.2","","0.0","","","","","","0.7","","26","","28","","41",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-06","2025","02","06","","-1.0","","-17.7","","-9.3","","27.3","","0.0","","","","","","2.1","","","","11","","46",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-07","2025","02","07","","2.1","","-6.7","","-2.3","","20.3","","0.0","","","","","","0.6","","24","","25","","49",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-08","2025","02","08","","-5.7","","-13.9","","-9.8","","27.8","","0.0","","","","","","0.0","","24","","27","","43",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-09","2025","02","09","","-8.0","","-13.6","","-10.8","","28.8","","0.0","","","","","","0.9","","24","","33","","47",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-10","2025","02","10","","","M","","M","","M","","M","","M","","","","","","M","24","","","M","","M"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-11","2025","02","11","","-8.8","","-17.0","","-12.9","","30.9","","0.0","","","","","","0.8","","24","","28","","42",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-12","2025","02","12","","-8.8","","-17.4","","-13.1","","31.1","","0.0","","","","","","0.6","","25","","","","",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-13","2025","02","13","","-0.8","","-17.7","","-9.3","","27.3","","0.0","","","","","","8.4","","25","","10","","51",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-14","2025","02","14","","-0.7","","-12.2","","-6.5","","24.5","","0.0","","","","","","0.0","","31","","30","","79",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-15","2025","02","15","","-7.4","","-14.2","","-10.8","","28.8","","0.0","","","","","","0.0","","31","","25","","65",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-16","2025","02","16","","-0.3","","-13.5","","-6.9","","24.9","","0.0","","","","","","14.2","","30","","7","","49",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-17","2025","02","17","","4.5","","-12.2","","-3.9","","21.9","","0.0","","","","","","3.7","","31","","24","","85",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-18","2025","02","18","","-7.7","","-12.7","","-10.2","","28.2","","0.0","","","","","","1.6","","53","","26","","75",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-19","2025","02","19","","-1.9","","-9.2","","-5.5","","23.5","","0.0","","","","","","0.2","","41","","27","","37",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-20","2025","02","20","","-0.7","","-7.9","","-4.3","","22.3","","0.0","","","","","","0.7","","40","","","","",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-21","2025","02","21","","","M","","M","","M","","M","","M","","","","","","M","39","","","M","","M"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-22","2025","02","22","","-5.4","","-12.0","","-8.7","","26.7","","0.0","","","","","","0.0","","32","","27","","33",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-23","2025","02","23","","-1.0","","-12.3","","-6.7","","24.7","","0.0","","","","","","0.0","","32","","19","","34",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-24","2025","02","24","","-1.2","","-8.3","","-4.7","","22.7","","0.0","","","","","","0.4","","32","","17","","51",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-25","2025","02","25","","6.1","","-2.5","","1.8","","16.2","","0.0","","","","","","0.0","","33","","17","","51",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-26","2025","02","26","","4.6","","-3.9","","0.4","","17.6","","0.0","","","","","","1.5","","29","","31","","50",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-27","2025","02","27","","5.1","","-7.0","","-0.9","","18.9","","0.0","","","","","","3.1","","28","","17","","58",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2025-02-28","2025","02","28","","5.2","","-9.9","","-2.3","","20.3","","0.0","","","","","","0.6","","30","","28","","66",""
