Station ID,Latitude,Longitude,CMAUID,CMANAME,PRUID
10102,47.56038,-52.71147,001,St. John's,10
10401,47.50513,-52.79476,001,St. John's,10
10501,48.92696,-55.65966,010,Grand Falls-Windsor,10
10602,48.95224,-57.92207,015,Corner Brook,10
30118,44.64643,-63.57338,205,Halifax,12
30310,46.14222,-60.17252,225,Cape Breton,12
40103,45.95732,-66.64672,320,Fredericton,13
40206,45.26968,-66.06151,310,Saint John,13
40302,46.10158,-64.78966,305,Moncton,13
50103,45.64103,-73.49968,462,Montréal,24
50109,45.50265,-73.66391,462,Montréal,24
50110,45.59458,-73.64154,462,Montréal,24
50113,45.54746,-73.74832,462,Montréal,24
50115,45.50153,-73.57431,462,Montréal,24
50128,45.46832,-73.7412,462,Montréal,24
50129,45.65169,-73.57382,462,Montréal,24
50204,45.43599,-75.72343,505,Ottawa - Gatineau (partie du Québec / Quebec part),24
50308,46.82118,-71.22049,421,Québec,24
54401,45.12062,-74.2896,,,
54501,45.80942,-73.43473,462,Montréal,24
55201,46.3037,-72.06069,,,
60104,45.43433,-75.676,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),35
60204,42.31578,-83.04367,559,Windsor,35
60303,44.22008,-76.52141,521,Kingston,35
60430,43.70944,-79.5435,535,Toronto,35
60433,43.66417,-79.38722,535,Toronto,35
60434,43.54697,-79.65869,535,Toronto,35
60512,43.25778,-79.86167,537,Hamilton,35
60903,43.00672,-81.20642,555,London,35
70118,49.93207,-97.11317,602,Winnipeg,46
70119,49.89799,-97.14653,602,Winnipeg,46
80110,50.45017,-104.61722,705,Regina,47
80211,52.13613,-106.66293,725,Saskatoon,47
90120,53.50022,-113.52606,835,Edmonton,48
90121,53.54823,-113.36811,835,Edmonton,48
90130,53.54445,-113.49884,835,Edmonton,48
90218,51.00943,-114.02542,825,Calgary,48
90222,51.07922,-114.14183,825,Calgary,48
90228,51.04701,-114.07564,825,Calgary,48
90302,52.29867,-113.79352,830,Red Deer,48
90402,50.04893,-110.68116,805,Medicine Hat,48
90502,49.71621,-112.8006,810,Lethbridge,48
90601,53.69874,-113.22285,835,Edmonton,48
90701,56.73341,-111.39047,860,Wood Buffalo,48
92001,55.1766,-118.8078,850,Grande Prairie,48
100110,49.27921,-122.97071,933,Vancouver,59
100111,49.28089,-122.84929,933,Vancouver,59
100112,49.28227,-123.12188,933,Vancouver,59
100118,49.26167,-123.16347,933,Vancouver,59
100119,49.21519,-122.98567,933,Vancouver,59
100121,49.30147,-123.02042,933,Vancouver,59
100127,49.13293,-122.69422,933,Vancouver,59
100128,49.14144,-123.10822,933,Vancouver,59
100132,49.32399,-123.0835,933,Vancouver,59
100134,49.18626,-123.15242,933,Vancouver,59
100135,49.28827,-122.79157,933,Vancouver,59
100138,49.36861,-123.27674,933,Vancouver,59
100140,49.00988,-123.082,933,Vancouver,59
100202,53.91472,-122.74194,970,Prince George,59
100701,49.86234,-119.47737,915,Kelowna,59
101003,49.04258,-122.30982,932,Abbotsford - Mission,59
101101,49.15585,-121.94028,930,Chilliwack,59
101202,49.24523,-122.70889,933,Vancouver,59
101301,49.09561,-122.5671,933,Vancouver,59
101401,49.36989,-121.49912,,,
101501,49.21494,-122.58206,933,Vancouver,59
101701,52.98169,-122.49323,952,Quesnel,59
102401,54.78331,-127.17732,,,
105604,49.05584,-119.50792,,,
106800,48.9218,-125.54121,,,
119003,60.71861,-135.04919,990,Whitehorse,60
129003,62.45207,-114.364,995,Yellowknife,61
8204020,44.83,-64.51,,,
8400104,47.31,-54.0,,,
8100300,46.71,-67.72,,,
8200255,43.45,-65.47,,,
8400301,48.97,-56.07,,,
8100468,47.8,-64.87,,,
8100467,47.8,-64.83,,,
8100506,47.63,-65.74,328,Bathurst,13
8200558,44.82,-62.33,205,Halifax,12
8200573,44.71,-63.63,205,Halifax,12
8200574,44.75,-63.66,205,Halifax,12
8400506,49.62,-57.92,,,
8400601,48.67,-53.11,,,
8200604,44.29,-66.35,,,
8400801,47.62,-57.62,,,
8400812,48.17,-57.33,,,
8401000,46.66,-53.08,,,
8200774,45.77,-62.68,,,
8501106,53.68,-57.04,,,
8100885,47.99,-66.33,,,
8300301,46.29,-63.12,105,Charlottetown,11
8200828,46.65,-60.95,,,
8501136,53.56,-64.09,,,
8501131,53.56,-64.11,,,
8201001,45.49,-62.01,,,
8401295,49.32,-57.39,,,
8401300,48.95,-57.95,015,Corner Brook,10
8401298,48.93,-57.92,015,Corner Brook,10
8401405,50.24,-57.58,,,
8201390,45.42,-63.47,215,Truro,12
8401500,49.17,-57.43,,,
8401502,49.21,-57.39,,,
8101201,46.59,-66.01,,,
8300418,46.46,-61.99,,,
8101303,47.42,-68.32,335,Edmundston,13
8401538,50.72,-56.11,,,
8201780,45.92,-60.65,225,Cape Breton,12
8401565,51.02,-57.1,,,
8101605,45.92,-66.61,320,Fredericton,13
8101505,45.87,-66.54,320,Fredericton,13
8101746,45.6,-64.95,,,
8101792,45.83,-66.43,,,
8401705,48.95,-54.57,011,Gander,10
8401703,48.94,-54.57,011,Gander,10
8104905,45.29,-65.81,310,Saint John,13
8501900,53.32,-60.42,,,
8201969,46.55,-61.04,,,
8101925,44.71,-66.8,,,
840B053,48.17,-52.94,,,
8202000,44.98,-64.92,,,
8202240,44.66,-63.58,205,Halifax,12
8202252,44.59,-63.55,205,Halifax,12
8202251,44.88,-63.51,205,Halifax,12
8202249,44.88,-63.51,205,Halifax,12
8202255,44.66,-63.61,205,Halifax,12
8501915,53.41,-60.56,,,
830P001,46.34,-63.17,105,Charlottetown,11
8202318,45.35,-60.98,,,
8502400,55.45,-60.22,,,
8202502,46.66,-60.41,,,
8202592,44.4,-65.2,,,
8202810,45.07,-64.48,210,Kentville,12
8102326,46.79,-65.01,,,
8402520,49.92,-55.67,,,
8202896,44.72,-63.48,205,Halifax,12
8402544,48.35,-53.9,,,
8203163,45.92,-59.97,225,Cape Breton,12
8203210,44.36,-64.3,,,
8102536,45.95,-66.9,320,Fredericton,13
8502580,55.08,-59.19,,,
8203405,44.98,-62.48,205,Halifax,12
8305500,46.3,-63.58,,,
840KN90,47.33,-54.59,,,
8502592,52.3,-55.85,,,
8203478,44.6,-63.53,205,Halifax,12
8102848,45.69,-65.17,,,
8402757,48.82,-56.54,,,
8100989,47.01,-65.47,329,Miramichi,13
8103050,48.01,-64.49,,,
8103202,46.11,-64.68,305,Moncton,13
8103201,46.11,-64.68,305,Moncton,13
8502799,56.55,-61.68,,,
8502801,56.55,-61.68,,,
8502810,56.55,-61.68,,,
8203702,45.76,-64.24,,,
8300516,47.06,-64.0,,,
8204161,46.82,-60.67,,,
8204154,46.37,-60.98,,,
8103780,45.51,-66.1,310,Saint John,13
8204190,44.61,-63.42,205,Halifax,12
8204402,45.41,-64.35,,,
8204453,44.77,-63.83,205,Halifax,12
8104201,45.07,-66.45,310,Saint John,13
840BR7C,49.11,-53.58,,,
8402980,47.57,-59.15,,,
8204495,45.66,-61.37,,,
8104295,47.44,-65.6,,,
8204708,43.93,-60.01,205,Halifax,12
8204703,43.93,-59.96,205,Halifax,12
8503249,58.48,-62.59,,,
8403255,47.37,-55.79,,,
8104901,45.32,-65.89,310,Saint John,13
8205090,44.63,-63.5,205,Halifax,12
8205093,44.63,-63.52,205,Halifax,12
8205092,44.63,-63.51,205,Halifax,12
8205130,43.7,-65.32,,,
8400416,47.86,-55.86,,,
8403399,51.38,-56.1,,,
8403603,47.51,-52.78,001,St. John's,10
8403619,46.92,-55.38,,,
8204909,47.23,-60.14,,,
8403389,51.39,-56.07,,,
8403505,47.62,-52.75,001,St. John's,10
8300562,46.45,-62.58,,,
8104935,45.21,-67.25,,,
8300590,46.42,-63.08,105,Charlottetown,11
8403801,48.54,-58.55,,,
8403820,48.56,-58.57,,,
8300596,46.44,-63.84,110,Summerside,11
8105210,45.74,-65.53,,,
8205701,46.16,-60.05,225,Cape Breton,12
8205703,46.16,-60.05,225,Cape Breton,12
8205702,46.16,-60.04,225,Cape Breton,12
8403851,48.56,-53.97,,,
8205895,45.61,-61.68,,,
8404025,49.68,-54.8,,,
8204193,45.23,-63.06,215,Truro,12
8504177,52.92,-66.86,,,
8504176,52.92,-66.86,,,
8206240,43.99,-64.66,,,
8404242,47.14,-55.33,,,
8105603,46.15,-67.54,,,
8404343,47.71,-59.31,,,
8206495,43.83,-66.09,,,
8206496,43.83,-66.09,,,
8206491,43.83,-66.09,,,
